Run,Project,Feature_1,Feature_2
Run_1,Promise_synapse12,LOC,CBO
Run_2,Promise_synapse12,WMC,RFC
Run_3,Promise_synapse12,LOC,WMC
Run_4,Promise_synapse12,WMC,RFC
Run_5,Promise_synapse12,LOC,WMC
Run_6,Promise_synapse12,LOC,WMC
Run_7,Promise_synapse12,WMC,LOC
Run_8,Promise_synapse12,LOC,WMC
Run_9,Promise_synapse12,WMC,LOC
Run_10,Promise_synapse12,LOC,WMC
Run_11,Promise_synapse12,LOC,WMC
Run_12,Promise_synapse12,LOC,WMC
Run_13,Promise_synapse12,LOC,WMC
Run_14,Promise_synapse12,LOC,WMC
Run_15,Promise_synapse12,LOC,WMC
Run_16,Promise_synapse12,WMC,LOC
Run_17,Promise_synapse12,LOC,WMC
Run_18,Promise_synapse12,LOC,WMC
Run_19,Promise_synapse12,LOC,WMC
Run_20,Promise_synapse12,LOC,WMC
Run_21,Promise_synapse12,LOC,WMC
Run_22,Promise_synapse12,WMC,LOC
Run_23,Promise_synapse12,LOC,WMC
Run_24,Promise_synapse12,WMC,LOC
Run_25,Promise_synapse12,LOC,WMC
Run_26,Promise_synapse12,LOC,WMC
Run_27,Promise_synapse12,LOC,WMC
Run_28,Promise_synapse12,LOC,WMC
Run_29,Promise_synapse12,LOC,WMC
Run_30,Promise_synapse12,LOC,WMC
