Run,Project,Feature_1,Feature_2
Run_1,Promise_xalan27,LOC,NPM
Run_2,Promise_xalan27,LOC,NPM
Run_3,Promise_xalan27,LOC,NPM
Run_4,Promise_xalan27,WMC,LOC
Run_5,Promise_xalan27,WMC,NPM
Run_6,Promise_xalan27,RFC,LOC
Run_7,Promise_xalan27,LOC,NPM
Run_8,Promise_xalan27,WMC,LOC
Run_9,Promise_xalan27,WMC,LOC
Run_10,Promise_xalan27,LOC,NPM
Run_11,Promise_xalan27,LOC,NPM
Run_12,Promise_xalan27,LOC,NPM
Run_13,Promise_xalan27,LOC,NPM
Run_14,Promise_xalan27,WMC,NPM
Run_15,Promise_xalan27,WMC,NPM
Run_16,Promise_xalan27,WMC,LOC
Run_17,Promise_xalan27,LOC,NPM
Run_18,Promise_xalan27,WMC,NPM
Run_19,Promise_xalan27,WMC,LOC
Run_20,Promise_xalan27,LOC,NPM
Run_21,Promise_xalan27,WMC,NPM
Run_22,Promise_xalan27,LOC,NPM
Run_23,Promise_xalan27,WMC,NPM
Run_24,Promise_xalan27,LOC,NPM
Run_25,Promise_xalan27,WMC,NPM
Run_26,Promise_xalan27,LOC,NPM
Run_27,Promise_xalan27,RFC,LOC
Run_28,Promise_xalan27,WMC,LOC
Run_29,Promise_xalan27,LOC,NPM
Run_30,Promise_xalan27,LOC,NPM
