Run,Project,Feature_1,Feature_2
Run_1,Promise_xalan27,NPM,CBO
Run_2,Promise_xalan27,NPM,CBO
Run_3,Promise_xalan27,NPM,CBO
Run_4,Promise_xalan27,NPM,LOC
Run_5,Promise_xalan27,NPM,LOC
Run_6,Promise_xalan27,NPM,CBO
Run_7,Promise_xalan27,NPM,CBO
Run_8,Promise_xalan27,NPM,CBO
Run_9,Promise_xalan27,NPM,CBO
Run_10,Promise_xalan27,NPM,CBO
Run_11,Promise_xalan27,NPM,CBO
Run_12,Promise_xalan27,RFC,NPM
Run_13,Promise_xalan27,LOC,NPM
Run_14,Promise_xalan27,NPM,CBO
Run_15,Promise_xalan27,NPM,CBO
Run_16,Promise_xalan27,NPM,CBO
Run_17,Promise_xalan27,NPM,CBO
Run_18,Promise_xalan27,NPM,CBO
Run_19,Promise_xalan27,NPM,LOC
Run_20,Promise_xalan27,NPM,CBO
Run_21,Promise_xalan27,NPM,CBO
Run_22,Promise_xalan27,NPM,CBO
Run_23,Promise_xalan27,NPM,CBO
Run_24,Promise_xalan27,NPM,RFC
Run_25,Promise_xalan27,NPM,CBO
Run_26,Promise_xalan27,NPM,LOC
Run_27,Promise_xalan27,NPM,CBO
Run_28,Promise_xalan27,NPM,RFC
Run_29,Promise_xalan27,NPM,CBO
Run_30,Promise_xalan27,NPM,CBO
