CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,6,18,4,20,0,0,243,13,0
0,0,5,1,5,0,0,71,5,0
0,1,16,6,11,0,0,59,3,0
0,2,14,3,11,0,2,308,10,0
0,0,2,0,2,0,0,27,2,0
0.206642,3,31,4,17,1,0,379,15,1
0,1,2,0,2,0,0,28,1,0
0.260052,1,104,3,46,1,0,2226,40,1
0,7,32,3,15,0,4,305,15,0
0,14,14,2,14,1,0,197,14,0
0,1,32,22,51,1,0,341,6,1
0,0,3,1,3,0,0,100,3,0
0.270563,9,34,0,22,0,0,391,21,0
0.0896703,1,95,5,19,0,0,520,1,0
0.224024,4,80,17,37,0,0,771,21,1
0.0860007,29,301,58,194,0,0,4734,79,1
0.262172,1,16,2,12,0,0,141,9,0
0.288761,1,56,7,39,0,0,720,16,1
0.113201,1,428,4,88,0,0,2648,53,1
0.0339463,9,42,27,32,0,0,442,13,0
0,3,5,14,12,0,6,155,5,0
0.88746,5,20,3,10,1,0,114,9,0
0,0,4,3,4,1,3,93,16,0
0.17383,40,409,1,68,0,0,3645,67,0
0,8,8,3,8,0,4,109,8,1
0,0,5,0,5,0,1,61,5,0
0,0,2,0,2,0,0,19,2,0
0,1,14,15,21,0,0,146,9,0
0,2,3,2,5,0,0,60,2,0
0.221609,86,208,109,286,0,0,2801,106,0
0.410163,1,1237,214,498,0,0,5163,85,1
0.275113,9,334,88,273,0,0,2321,88,0
0.132772,12,214,93,90,0,19,2318,26,0
0,1,96,55,86,0,0,1077,18,1
0.0653829,1,131,57,42,2,0,422,343,0
0,3,6,4,5,0,8,85,3,0
0,1,44,13,19,1,0,129,179,0
0,168,170,84,170,0,14,2470,170,0
0.395455,6,20,11,27,2,3,230,42,0
0.494318,8,16,12,22,2,3,157,39,0
0,2,63,31,48,2,0,217,15,1
0.20197,5,26,14,48,3,0,226,43,0
0.29918,6,43,16,54,2,0,377,41,0
0,4,14,8,25,1,0,159,29,0
0.340961,3,27,7,30,2,0,243,35,0
0.196653,3,27,11,39,2,0,271,36,0
0,3,13,7,22,2,0,133,32,0
0.235988,3,23,7,31,2,0,211,38,0
