CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,0,0,1,0,1,0,3,0,0
0,2,2,5,5,1,0,11,2,0
0,2,2,5,5,1,0,11,2,0
0,0,0,0,0,0,1,3,0,0
0,2,2,5,5,1,0,11,2,0
0,2,2,5,5,1,0,11,2,0
0,2,2,5,5,1,0,11,2,0
0,2,3,7,7,1,0,16,2,0
0.460317,2,6,4,3,1,0,31,2,0
0.920635,2,6,4,3,1,0,31,2,0
0,2,2,3,2,1,0,12,2,0
0,2,3,5,5,1,0,21,2,0
0,2,3,5,5,1,0,21,2,0
0,2,2,5,5,1,0,11,2,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0,1,1,3,1,1,0,8,1,0
0,1,1,2,1,1,0,7,1,0
0,1,1,2,1,1,0,7,1,0
0,1,1,3,1,1,0,8,1,0
0,1,1,2,1,1,0,7,1,0
0,2,2,5,5,1,0,11,2,0
0,2,2,5,5,1,0,11,2,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0,2,2,5,5,1,0,11,2,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0,2,2,4,3,1,0,14,2,0
0,2,2,4,3,1,0,14,2,0
0,2,2,4,3,1,0,14,2,0
0,2,2,4,3,1,0,14,2,0
0,2,2,4,3,1,0,13,2,0
0,2,2,4,3,1,0,13,2,0
0,1,1,1,2,0,0,11,1,0
0.102601,1,112,9,61,1,0,659,10,0
0.0799941,1,374,43,141,0,0,1577,8,1
0.15,1,82,8,32,0,0,356,9,1
0,1,51,9,28,1,0,193,15,1
0,0,1,3,2,1,0,12,1,0
0,1,40,12,30,0,0,122,9,0
0,2,16,9,15,1,0,60,4,0
0.106838,1,37,2,11,0,0,141,3,0
0,1,9,4,5,1,0,50,3,0
0,8,31,33,35,1,0,153,10,1
0,0,0,1,0,1,0,97,4,0
0,1,32,16,21,1,0,134,5,0
0,9,58,16,32,1,0,209,8,0
0,1,38,15,41,1,0,204,6,0
0.146154,3,47,5,22,1,0,213,17,0
0,9,19,11,16,1,0,84,10,1
0,10,66,33,60,1,0,229,15,1
0,9,18,15,27,1,0,98,10,1
0.0814815,7,112,26,83,2,0,452,29,1
0.553719,1,9,0,2,0,0,37,1,0
0,1,11,1,4,1,0,52,4,0
0,1,16,4,6,1,0,82,4,0
0,2,8,6,8,0,0,37,2,0
0.0404578,1,187,21,82,1,0,720,7,0
0.0518428,3,110,12,40,1,0,477,27,1
0,1,12,0,5,0,0,57,5,0
0,2,4,2,4,1,0,22,2,1
0,3,26,2,25,0,0,112,14,0
0,2,20,2,21,0,0,103,20,0
0,1,42,3,34,0,0,220,13,0
0,1,18,0,14,0,0,101,10,0
0,3,40,17,46,1,0,206,17,0
0,0,0,0,0,0,0,103,0,1
0.186851,1,33,0,15,0,0,115,7,0
0.108224,1,469,5,76,0,1,2271,3,1
0,2,52,2,15,1,0,234,4,1
0,2,67,30,77,1,0,434,32,1
0,3,90,25,80,1,1,452,48,1
0,1,41,14,27,0,0,296,19,0
0,1,18,1,9,0,4,111,8,0
0,2,28,7,24,0,5,178,14,1
0,3,20,6,13,1,0,59,15,0
0,0,11,3,8,1,0,50,9,0
0,0,8,3,10,1,0,71,8,0
0,1,35,5,22,1,0,194,9,1
0,3,13,2,10,1,0,53,15,1
0,0,12,5,13,1,0,92,8,1
0,2,88,14,36,1,0,304,16,1
0,1,7,3,8,0,0,56,5,0
0.099658,1,124,20,75,0,0,573,18,1
0,1,7,6,11,0,0,50,5,0
0,0,1,0,1,0,1,12,1,0
0,1,54,0,12,0,0,234,8,0
0,1,29,1,19,0,0,335,19,0
0.136179,1,36,2,12,1,0,148,6,0
0.0193527,2,184,36,113,1,2,1444,35,1
0.264151,1,26,3,7,0,0,128,3,0
0,3,22,4,16,1,0,132,4,0
0.107774,1,174,35,90,1,0,1306,24,1
0,4,54,16,31,2,0,311,36,1
0.039501,1,134,27,74,2,1,595,36,1
0.0662919,1,314,36,128,1,1,1173,8,1
0,1,53,22,42,1,0,196,7,1
0,0,1,0,1,0,2,13,0,0
0,0,1,2,2,1,0,12,2,0
0,1,28,5,18,0,0,145,8,1
0,3,71,13,21,1,2,264,3,1
0,1,3,0,3,0,0,16,2,0
0,1,20,3,17,0,0,106,10,0
0,1,31,15,23,1,0,154,6,0
0,2,54,8,22,1,0,267,7,0
0,3,40,7,16,1,0,237,4,0
0,3,43,9,24,0,0,208,4,0
0,0,0,1,0,1,0,152,4,0
0,0,2,1,2,1,0,247,1,1
