CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,0,2,0,2,0,2,33,2,0
0,0,0,0,0,0,0,19,0,0
0.332599,0,27,0,4,0,0,123,4,0
0,1,11,3,8,0,0,66,2,0
0,1,6,3,7,0,2,44,6,0
0.505155,1,18,0,5,0,0,71,5,0
0,1,99,3,16,0,0,983,6,0
0,1,52,1,16,0,0,334,16,0
0.348624,7,21,2,10,0,0,107,8,0
0,0,4,0,4,0,0,20,4,0
0,0,9,4,9,1,0,43,10,0
0,0,1,0,1,0,3,8,1,0
0,5,107,15,60,0,0,653,24,0
0,1,3,2,3,0,0,23,1,0
0,2,5,1,5,1,0,37,11,0
0,8,8,2,8,0,21,68,8,0
0,0,15,0,15,0,10,73,15,0
0,0,7,5,15,0,0,39,7,0
0,1,5,3,3,0,0,18,1,0
0,1,20,7,11,1,0,111,3,0
0.636238,1,17,6,23,1,0,130,5,0
0.812844,5,35,0,12,0,0,236,11,0
0,2,10,2,8,0,0,82,3,0
0,2,6,6,13,1,3,43,20,0
0,0,7,1,7,0,7,22,7,0
0,1,90,12,48,0,6,429,16,1
0,2,10,7,13,0,0,49,5,0
0,1,28,9,17,0,2,106,4,0
0,1,5,5,7,0,0,26,1,0
0,1,17,6,10,1,5,73,19,0
0,1,4,3,6,1,2,19,4,0
0.158915,1,7,1,3,0,3,66,1,1
0.189208,2,78,12,42,1,0,270,44,1
0.0695168,2,391,40,135,0,0,1772,21,1
0,1,3,7,7,0,0,17,1,0
0,2,12,6,13,1,0,54,6,1
0.0241411,1,73,12,35,0,0,352,18,1
0,2,11,0,10,0,0,78,9,0
0,2,20,0,10,0,0,94,10,0
0,1,19,8,29,0,0,111,13,0
0.306667,2,15,0,7,0,0,81,7,0
0,8,99,27,82,1,0,485,39,0
0,0,21,2,8,0,0,91,8,0
0,3,8,11,13,1,0,66,5,0
0.124169,5,54,27,65,1,0,345,18,1
0.268734,1,28,0,7,0,0,107,5,1
0,1,4,1,3,0,0,36,3,0
0,1,4,1,3,0,0,35,3,0
0,1,1,0,1,0,0,240,1,0
0,1,6,11,10,1,0,31,3,0
0.0617284,2,141,13,103,0,0,611,43,1
0,0,2,3,5,1,0,15,3,0
0,1,2,4,6,1,0,19,3,0
0,1,14,7,11,0,0,79,5,0
0.0887832,1,148,3,26,0,0,551,5,1
0.152514,1,140,18,73,0,0,578,6,1
0,0,1,0,1,0,0,8,1,0
0,1,8,3,8,0,0,38,1,0
0,1,3,1,8,1,0,22,14,0
0,3,42,4,12,1,0,139,18,0
0,1,5,2,4,0,0,30,4,0
0,1,50,6,22,0,0,197,2,0
0,1,1,0,1,0,0,16,1,0
0,1,5,2,9,1,0,26,15,0
0,1,3,2,8,1,0,21,14,0
0,2,16,5,11,0,0,96,10,0
0,1,19,6,22,0,4,100,11,0
0.2,1,9,1,5,0,0,76,1,0
0,1,3,5,5,1,0,23,2,0
0.287179,1,10,4,6,0,0,66,1,0
0,3,35,9,26,0,0,209,9,0
0,0,1,1,2,1,0,8,5,0
0,0,1,1,2,1,0,7,5,0
0,2,15,4,8,0,2,62,4,0
0,1,1,0,1,0,0,25,1,0
0.21286,1,15,12,16,0,0,80,2,0
0.746377,1,7,9,14,1,0,47,19,0
0,1,5,7,9,1,0,37,19,0
0.211896,1,16,10,27,1,0,179,13,0
0,1,16,10,25,1,0,132,13,0
0.172164,4,32,20,39,2,1,167,47,1
0,2,9,10,11,1,1,40,10,0
0,2,7,5,16,1,0,73,23,0
0.0690691,1,26,8,28,1,0,128,24,0
0,1,10,2,4,0,0,87,3,0
0,1,1,0,1,0,0,36,1,0
0.306891,5,226,16,72,2,0,1763,31,1
0.415254,2,7,1,2,0,0,58,2,0
0.293413,2,10,1,2,0,0,75,2,0
0,1,1,0,1,0,0,98,1,0
0,3,39,24,34,1,0,172,32,0
0,1,9,1,6,0,0,88,4,0
0,2,10,7,14,2,0,89,19,0
0,1,4,4,6,0,0,60,3,0
0.187552,3,33,11,30,3,0,199,59,0
0,1,14,11,31,1,0,109,9,0
0,2,9,7,7,1,0,49,5,0
0,1,1,0,1,0,0,68,1,0
0,1,43,0,10,0,0,352,7,0
0,1,1,0,1,0,0,25,1,0
0,1,22,10,12,1,0,96,9,1
0.483221,1,18,3,9,0,0,91,4,1
0,3,41,0,7,0,0,124,4,0
0,2,30,2,8,0,0,186,6,1
0,0,3,0,3,0,0,21,3,0
0,1,9,0,5,0,0,34,4,0
0,1,14,0,8,0,0,73,8,0
