CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,0,9,2,8,1,1,99,8,1
0,1,28,1,12,0,1,178,9,0
0,4,10,4,18,0,0,159,10,0
0,1,23,5,21,0,0,196,12,1
0,5,29,8,26,2,7,121,23,0
0,1,7,2,6,0,2,31,4,0
0,1,13,2,10,3,4,44,28,0
0,6,15,4,10,0,0,84,7,1
0,1,38,10,16,0,0,208,6,1
0,1,12,2,8,0,0,53,6,0
0,2,79,14,38,0,0,324,8,0
0.131917,1,103,18,29,0,0,342,3,0
0,5,59,24,45,0,0,182,12,0
0,1,31,7,14,0,0,115,4,1
0,1,3,2,3,0,0,20,2,1
0,1,41,0,8,0,0,139,3,0
0,0,5,2,5,1,0,31,5,0
0,1,47,13,29,0,0,190,10,1
0,0,6,3,8,0,0,44,4,0
0,1,2,2,1,0,0,18,1,0
0,1,14,6,10,1,0,62,5,1
0.20202,1,23,2,9,1,0,89,5,0
0,1,71,16,50,0,0,366,13,0
0,1,27,5,17,0,0,179,9,0
0,1,20,1,12,0,1,71,10,0
0,1,55,8,22,0,0,170,4,0
0,1,31,7,14,0,0,111,2,0
0.0634371,1,66,25,64,0,0,344,5,1
0,1,93,7,35,0,1,298,11,1
0,0,2,3,3,1,0,12,12,0
0,0,9,2,6,1,0,35,6,0
0,1,19,0,5,0,0,79,4,1
0.165649,1,65,7,14,0,0,345,4,1
0,1,80,14,35,0,0,322,11,0
0,1,32,10,26,0,1,115,1,0
0,2,54,15,46,0,0,241,24,1
0,0,0,0,0,0,0,270,0,1
0.177191,1,63,18,48,0,0,245,14,0
0,1,23,7,12,0,0,78,4,0
0.0866845,1,53,9,30,0,1,206,7,1
0.0498715,1,108,23,88,1,0,428,31,1
0,0,5,0,1,0,0,22,1,0
0.289855,1,13,1,8,0,0,58,5,0
0,1,151,25,95,1,0,823,25,1
0.153374,1,56,4,13,0,0,237,4,1
0,1,3,5,4,0,0,54,1,1
0,1,124,15,45,1,0,429,7,0
0,1,5,5,5,0,0,31,3,0
0.0576802,4,86,16,44,1,0,327,16,0
0,2,9,0,8,0,0,41,8,0
0.102564,1,68,13,44,1,0,364,10,1
0,2,29,0,10,0,0,106,6,0
0,1,2,2,3,1,0,11,8,0
0.0809399,4,119,20,58,0,0,418,22,1
0,1,6,12,22,0,0,39,1,0
0,1,26,2,6,0,0,133,3,0
0.169841,2,47,4,16,0,0,170,8,1
0,1,14,11,18,0,0,71,1,0
0,4,17,7,16,2,0,55,10,0
0,5,70,8,31,1,2,226,10,0
0,3,96,27,58,2,0,448,11,1
0,7,12,1,9,0,0,39,9,0
0.193846,2,29,0,14,0,0,116,13,0
0.11522,2,31,0,11,0,0,179,11,0
0,1,17,2,10,0,2,72,9,0
0,1,40,18,26,0,0,160,6,0
0,7,8,1,8,0,0,48,7,0
0.520958,0,5,6,6,1,0,34,10,0
0.550633,0,5,6,4,1,0,33,10,0
0,1,10,10,17,2,0,46,11,0
0,1,17,6,18,2,0,75,16,0
0,1,14,10,16,3,2,61,27,0
0,1,2,5,4,1,0,13,2,0
0,3,8,5,8,1,2,35,4,0
0,3,11,4,11,4,0,49,28,1
0.245487,3,21,8,23,4,0,102,35,1
0,1,161,32,60,1,0,545,6,0
0.0343554,1,313,25,94,2,0,1054,9,0
0,1,8,1,4,0,0,95,4,0
0.5,1,7,2,3,0,0,23,1,0
0,1,5,1,5,0,0,24,4,0
0,1,22,9,12,0,0,113,3,0
0.301251,1,63,6,30,0,0,449,2,0
0,0,5,1,5,0,0,49,5,0
0,2,24,3,16,0,2,105,5,0
0,1,34,17,27,0,0,146,0,1
0,2,187,42,99,2,1,592,23,0
0.35473,2,13,7,11,0,0,47,0,1
0.183791,1,137,11,46,2,0,391,22,1
0,3,18,10,19,1,0,65,5,0
0,1,6,3,9,4,0,28,26,0
0.0756844,1,73,7,28,1,1,279,6,0
0,1,12,6,9,1,0,74,8,0
0,2,61,20,29,0,0,265,0,1
0,1,39,7,25,1,3,133,20,0
0,0,11,2,5,0,0,43,2,0
0,1,2,1,2,1,0,71,2,1
0.195531,1,45,8,27,3,2,147,25,0
0,1,4,2,6,4,0,21,26,0
0,3,20,7,16,1,0,78,5,0
0,1,60,5,17,1,0,226,21,0
0,1,96,16,45,0,0,388,2,1
0.460526,1,7,5,7,0,0,34,0,1
0.128591,1,45,3,18,2,0,151,22,0
0.392857,1,9,1,2,0,0,30,1,0
0.256228,3,86,5,37,0,2,385,19,0
0,1,15,6,12,2,0,62,14,0
0.171429,1,23,9,18,6,0,104,61,0
