CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,0,3,0,3,0,0,16,2,0
0,1,48,20,53,0,0,276,8,0
0,1,46,3,21,0,0,255,2,0
0,1,2,0,2,0,0,9,1,0
0,1,5,1,5,0,48,52,3,1
0,1,8,3,7,2,0,39,9,1
0,2,59,1,20,0,0,220,12,1
0,1,14,2,13,2,3,74,9,1
0.676385,1,84,3,8,2,0,226,9,0
0,2,3,4,6,1,0,16,4,0
0,1,8,2,10,2,0,40,10,0
0,1,5,3,5,2,0,35,8,0
0,1,2,1,3,3,1,12,10,0
0,1,4,3,6,2,0,20,8,0
0,1,2,1,3,4,0,12,11,0
0,1,9,2,9,1,0,54,8,0
0,1,4,4,11,2,0,19,8,0
0.0533333,1,176,0,27,0,0,487,13,0
0,2,3,4,6,1,0,15,4,0
0,1,12,2,10,2,7,76,14,0
0,1,8,7,15,1,0,62,9,0
0,1,15,4,19,2,0,146,17,0
0,1,2,4,5,2,0,16,8,0
0,1,89,2,53,0,0,742,45,0
0,1,3,1,5,1,48,20,6,1
0,3,6,2,8,0,26,72,4,1
0,1,4,1,4,1,9,24,6,0
0,2,3,4,6,1,0,15,4,0
0,1,2,1,3,3,0,12,10,0
0,0,11,0,3,0,0,87,3,0
0,1,8,8,15,1,0,100,10,0
0.69,1,8,4,9,2,0,40,9,0
0.651866,1,321,0,19,0,0,998,2,0
0,1,3,4,6,1,0,56,5,0
0,1,26,2,4,2,0,205,8,0
0,1,2,4,4,1,0,16,4,0
0,1,9,3,5,2,0,56,8,0
0,1,16,2,6,2,0,84,8,0
0,3,20,4,22,2,2,134,8,0
0.31016,1,15,4,14,3,0,83,12,0
0.16338,1,23,6,19,3,0,180,15,0
0.239796,1,15,0,11,0,0,99,11,0
0.201717,1,17,0,13,0,0,109,13,0
0,1,7,0,3,0,0,35,1,0
0,1,3,0,3,0,0,30,2,0
0,0,1,0,1,0,0,10,1,0
0,1,64,7,33,1,0,442,27,0
0,5,72,4,30,1,0,396,17,0
0,3,55,2,34,0,1,423,17,0
0,1,10,7,12,1,0,101,8,0
0,1,8,8,15,1,0,95,10,0
0.556452,1,11,4,10,2,0,65,11,0
0,1,58,0,7,0,0,239,0,0
0.112745,1,8,6,10,1,0,187,7,0
0.527958,1,79,0,1,0,0,454,1,0
0.792683,1,4,4,7,2,0,27,8,0
0,1,12,3,10,2,0,72,10,0
0,1,9,8,14,1,0,103,9,0
0.552,1,11,4,10,2,0,55,11,0
0,1,145,0,20,0,0,681,0,0
0,1,1,2,1,1,0,7,5,0
0,3,6,3,13,1,0,39,10,0
0,1,15,3,20,1,2,88,13,0
0,1,6,2,6,1,0,35,9,0
0.350158,1,15,4,14,2,0,104,9,1
0.200772,1,10,3,8,2,0,89,9,0
0.320652,1,11,3,9,2,0,66,9,1
0,1,9,2,5,2,0,62,9,0
0,1,12,7,16,1,0,133,11,0
0.469388,1,14,4,13,2,0,74,13,0
0.0380395,1,114,0,18,0,0,377,1,0
0,1,16,0,5,0,0,96,4,0
0,1,4,5,8,2,0,21,8,0
0,2,6,0,6,0,0,47,6,0
0,1,3,5,9,2,0,20,8,0
0,1,5,4,7,2,0,17,8,0
0,1,19,7,21,1,0,161,11,0
0.102679,1,8,7,11,1,0,224,7,0
0.200573,1,16,0,1,0,0,285,1,0
0,1,5,1,3,3,0,27,10,0
0.792683,1,4,4,7,2,0,27,8,0
0,1,7,4,9,2,0,41,9,0
0.0634686,1,58,0,21,0,0,605,5,0
0,1,9,4,14,1,0,70,11,0
0,1,34,3,24,2,0,249,13,0
0,1,62,8,46,1,0,517,23,0
0,1,8,2,9,3,0,51,19,0
0,1,6,2,7,3,0,27,18,0
0,1,6,2,9,3,0,25,18,0
0,1,4,7,9,1,0,27,5,0
0,1,6,4,10,2,0,45,9,0
0,1,19,8,31,1,0,228,20,0
0,1,11,3,8,2,0,45,8,0
0,1,15,4,25,2,0,168,15,1
0.492051,6,70,1,25,0,0,674,10,0
0,1,1,7,5,1,0,9,3,0
0,1,8,3,15,2,0,46,8,0
0,1,9,0,7,0,0,56,7,0
0,0,4,5,4,1,0,33,1,0
0.0960145,1,17,4,11,0,0,193,7,0
0,1,36,19,34,0,0,318,11,0
0.365517,1,4,4,6,0,0,62,3,0
0.975904,1,8,1,1,1,1,36,2,0
0,0,0,0,0,0,0,10,0,0
0,1,15,4,13,0,0,113,10,0
0,1,14,3,11,0,0,92,5,0
0,1,28,14,33,0,0,214,18,0
0,2,9,4,9,1,3,48,5,0
0,1,57,14,34,1,5,285,11,0
0,1,8,3,8,1,0,49,3,0
0.238779,1,11,5,14,2,0,95,13,0
0,0,11,0,11,0,0,87,11,0
0,1,4,5,7,3,0,36,17,0
0,1,10,8,5,2,0,53,5,0
0,3,16,6,14,2,1,81,15,0
0,0,0,0,0,0,0,3,0,0
0.673016,1,11,4,12,2,1,96,13,0
0.397638,1,8,13,11,2,0,79,5,0
0,2,6,3,7,2,1,52,12,0
0,1,1,11,8,2,1,35,5,0
0,1,10,6,5,3,0,53,5,0
0,0,3,5,7,3,0,27,13,0
0.174927,1,31,5,17,2,0,195,13,1
0,1,2,7,14,0,0,69,1,0
0,1,6,3,9,0,0,62,5,0
0,0,5,0,5,0,0,42,5,0
0,2,17,1,15,0,0,166,12,0
0,2,11,6,20,1,0,77,20,0
0,2,3,3,7,1,0,19,16,0
0,2,5,3,10,1,0,26,18,0
0,1,3,3,7,1,0,16,16,0
0,1,3,3,6,1,0,14,16,0
0.485549,1,12,7,21,1,0,71,17,0
0,2,12,4,16,1,0,79,20,0
0,2,11,3,8,1,0,55,18,0
0,2,3,3,7,1,0,18,16,0
0,1,2,5,11,1,0,24,16,0
0,1,2,4,7,1,0,14,16,0
0,2,4,3,9,1,0,24,18,0
0,2,34,5,29,0,20,215,15,0
0,1,36,19,41,1,4,184,25,1
0.156028,1,13,11,24,1,0,101,18,0
0,1,3,3,8,1,0,16,16,0
0.252336,1,9,6,15,2,0,48,17,0
0.322034,1,10,7,18,3,0,45,21,0
0.722222,1,7,6,18,2,0,50,17,0
0.707447,1,7,6,17,2,0,50,17,0
0.686916,1,8,7,18,3,0,47,21,0
0.603524,1,10,6,20,2,2,59,19,0
0.102662,3,18,6,25,1,4,132,16,0
0,2,3,2,6,1,1,21,16,0
0,1,2,3,5,3,0,12,20,0
0,1,2,3,5,2,1,12,18,0
0,4,6,4,9,2,1,28,26,0
0,3,18,6,14,3,1,73,36,0
0,3,6,7,8,3,0,35,33,0
0,1,2,2,3,3,0,11,31,0
0,6,9,4,13,2,3,45,29,0
0,5,16,6,16,2,0,82,29,0
0,2,6,3,10,1,0,36,18,0
0,1,75,5,35,1,0,309,28,0
0,4,6,3,7,2,0,28,26,0
0,2,17,7,20,1,0,107,20,0
0,1,47,5,23,0,0,234,4,0
0.317694,1,51,1,19,0,0,360,12,0
0.987805,1,8,0,1,0,0,29,1,0
0,2,9,0,8,0,0,101,8,0
0,1,13,10,19,0,0,121,6,0
0,1,6,0,5,0,0,53,5,0
0,1,40,1,17,0,0,253,14,0
0,1,1,11,12,0,0,37,1,0
0,1,4,1,3,0,0,50,2,0
0,1,21,3,9,1,0,105,4,0
0.150183,1,10,1,4,0,0,77,2,0
0,1,2,4,4,0,0,27,2,0
0,1,15,8,21,0,0,85,1,0
0,1,3,6,6,1,0,29,2,0
0,1,8,5,7,0,0,60,3,0
0,0,1,7,6,0,0,28,1,0
0.127619,2,62,28,69,2,0,400,5,0
0,0,8,1,8,1,0,54,8,0
0,1,2,0,2,0,0,21,2,0
0,1,10,2,4,0,0,52,3,0
0,1,13,0,11,0,0,79,10,0
0,1,18,0,5,0,0,140,3,0
