CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,2,7,1,8,0,5,39,3,0
0,0,1,0,1,0,0,86,0,0
0,0,0,0,0,0,0,4,0,0
0,5,5,7,5,1,0,31,8,0
0,1,1,5,3,1,0,26,4,0
0,0,6,3,6,0,0,35,4,0
0,1,2,7,4,1,0,37,4,1
0,1,1,1,2,0,0,6,1,0
0,0,5,3,5,0,0,30,4,0
0,1,2,8,5,1,0,38,4,1
0,1,1,1,2,0,0,6,1,0
0,0,5,4,5,0,0,38,4,0
0,0,0,0,0,0,0,4,0,0
0,1,1,7,4,1,0,27,4,0
0,7,11,4,10,0,0,65,8,0
0,3,6,2,3,2,0,31,7,0
0,1,1,6,13,0,0,22,1,0
0,0,6,2,6,2,0,42,4,0
0,1,3,8,14,0,0,34,1,0
0,1,1,1,1,2,0,7,5,0
0,1,1,1,1,2,0,7,5,0
0,1,7,3,7,1,3,35,5,0
0.242525,1,16,3,13,2,2,112,9,1
0,0,3,3,5,3,0,33,11,0
0,1,9,3,9,2,0,62,8,1
0,0,4,4,6,3,0,39,11,0
0,1,3,3,5,2,0,24,7,0
0,1,1,1,1,1,0,6,1,0
0,1,3,2,3,1,0,24,1,0
0,1,7,1,6,1,2,39,5,1
0,1,13,2,12,2,4,76,9,1
0,2,9,2,12,3,0,48,13,0
0,1,8,1,11,1,0,45,6,0
0,2,10,2,13,3,0,64,14,0
0.40566,2,12,2,12,3,0,71,13,0
0,1,9,1,11,1,0,56,6,0
0.34127,2,15,2,13,3,0,84,14,0
0,1,1,1,1,2,0,6,5,0
0,5,8,15,14,0,0,40,5,1
0,1,7,6,12,0,0,43,2,1
0,2,14,3,15,0,0,95,1,1
0,2,11,4,13,0,0,101,11,1
0.189591,1,33,6,12,0,0,169,2,1
0,2,65,15,51,0,0,443,19,1
0,1,2,6,4,0,0,70,1,1
0,1,1,1,1,0,0,8,1,0
0,8,39,9,26,0,0,292,18,0
0,0,1,4,2,0,0,20,1,0
0,1,56,16,35,0,0,275,2,1
0,1,1,2,2,0,0,6,1,1
0,1,1,2,2,0,0,6,1,1
0,1,5,0,2,0,0,24,2,0
0,1,4,0,4,0,0,25,4,0
0,5,13,2,11,0,0,72,5,0
0,1,1,1,1,0,0,8,1,0
0,1,11,1,7,0,0,59,4,1
0,4,4,2,4,1,3,21,4,0
0,2,2,1,4,3,0,37,51,0
0.387836,3,120,4,57,2,1,992,49,0
0,1,17,2,9,0,2,98,3,0
0,2,2,3,2,1,0,4,3,0
0,2,2,3,2,1,0,4,3,0
0,0,1,0,1,0,0,26,0,0
0,1,2,1,2,1,0,20,2,0
0,1,1,1,1,1,0,7,1,0
0,1,4,2,4,1,0,40,2,1
0,1,1,1,1,1,0,7,1,0
0,0,2,1,2,1,0,17,2,1
0,0,8,0,4,0,2,38,1,0
0,0,3,2,4,1,1,27,3,0
0,1,4,0,2,0,0,18,1,0
0,1,11,1,8,0,0,47,6,0
0,0,16,1,7,0,0,85,3,1
