CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,1,21,9,22,1,0,150,3,0
0,1,1,2,2,1,0,6,1,0
0,1,1,2,2,1,0,6,1,0
0,2,8,13,19,2,0,53,14,0
0,2,8,16,23,2,0,43,14,0
0,2,5,10,16,2,0,39,14,1
0,2,5,10,16,2,0,35,14,0
0.217476,2,18,17,29,2,0,107,16,1
0.114345,2,65,35,100,2,0,512,26,1
0,1,1,1,2,0,0,7,1,0
1,1,1,2,1,1,0,8,1,0
1,1,1,2,1,1,0,8,1,0
0,0,7,3,9,1,0,38,5,1
0,1,15,12,8,1,0,112,1,1
0,1,10,10,15,3,0,45,6,0
0,1,8,12,15,3,0,44,7,0
0,2,22,15,27,4,0,96,8,0
0,1,2,8,6,1,0,13,1,0
0,1,3,5,10,1,0,24,1,1
0,1,3,2,2,2,0,37,1,0
0,1,3,5,8,3,0,43,19,0
0,1,7,4,11,3,0,61,21,0
0,1,8,5,7,3,0,39,18,0
0.316032,3,25,21,55,3,0,217,22,0
0.614476,1,6,9,19,0,0,291,5,0
0.68338,1,6,12,23,0,0,232,5,0
0.839506,1,3,5,10,2,0,46,12,0
0.912752,1,3,5,10,2,0,74,12,0
0.96131,1,3,5,10,2,0,150,12,0
0.723404,1,3,5,10,2,0,31,12,0
0.901515,1,3,5,10,2,0,66,12,0
0.972458,1,3,5,10,2,0,207,12,0
0.948207,1,3,5,10,2,0,115,12,0
0.796875,1,3,5,10,2,0,40,12,0
0.944444,1,3,5,10,2,0,109,12,0
0.886957,1,3,5,10,2,0,64,12,0
0,0,1,3,1,2,0,14,1,0
0,0,1,3,1,2,0,14,1,0
0,0,1,7,1,2,0,18,1,0
0,3,10,7,22,2,0,57,17,0
0,1,9,11,46,0,0,98,1,0
0,1,9,2,5,0,0,25,1,0
0.888,3,23,13,32,2,0,138,18,0
0.35309,3,34,26,49,2,0,185,21,1
0.365751,2,19,19,30,3,0,96,20,0
0,1,1,3,2,3,0,11,19,0
0.257824,3,28,21,36,2,1,160,18,0
0.888,3,23,13,32,2,0,138,18,0
0.35,3,34,27,50,2,0,190,21,1
0,2,7,10,12,2,1,48,18,0
0,2,9,8,16,3,0,82,21,0
0,2,8,9,11,2,0,107,3,0
0.777778,1,6,6,21,3,0,84,21,1
0.785714,1,6,6,21,3,0,84,21,1
0,1,5,10,20,1,0,66,1,0
0,1,10,3,7,0,3,73,2,0
0,0,4,0,4,0,0,20,4,0
0,0,32,4,30,1,0,215,30,0
0,0,6,2,6,1,0,61,6,0
0,0,10,2,10,1,0,84,10,0
0,0,8,2,8,1,0,75,8,0
0.283186,1,16,0,8,0,0,73,7,1
0.347826,1,16,0,8,0,0,66,7,1
0.229508,1,10,5,6,1,0,69,5,0
0,2,8,4,8,1,0,53,6,0
0.412214,1,6,3,7,2,0,66,42,0
0,1,9,2,9,1,0,83,9,0
0.0846395,1,41,11,41,1,1,367,38,0
0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,16,0,0
0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,5,0,0
0,0,6,1,6,1,0,58,6,0
0,1,10,0,10,0,0,45,10,0
0.0959119,5,106,18,74,2,0,558,23,1
0,1,1,1,4,0,0,27,1,0
0,1,73,15,47,1,0,423,10,1
0.372703,3,7,7,12,0,0,123,3,0
0,1,5,2,4,1,0,27,3,0
0,1,7,1,4,1,0,33,3,0
0.423963,1,19,10,17,1,0,129,12,0
0.152318,1,15,3,11,1,0,115,11,0
0.0703661,1,42,12,39,1,0,393,34,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0.255172,1,25,3,11,2,0,123,11,1
0.314607,1,17,1,7,2,0,96,7,1
0,0,13,5,13,1,0,117,13,0
0,0,0,1,0,1,0,3,20,0
0,0,20,1,20,0,1,95,20,0
0,1,5,2,5,1,0,28,5,0
0,1,1,0,1,0,0,5,1,0
0,1,2,1,2,0,0,21,1,0
0.709091,1,8,2,4,1,2,83,3,0
0.852273,1,5,2,4,2,0,35,3,0
0.224509,3,133,28,111,1,0,651,23,0
0.334951,1,16,1,8,1,0,97,8,1
0.382395,1,31,10,20,1,0,189,16,0
0.368421,0,2,1,2,0,0,21,2,1
0.435407,1,17,2,6,0,0,61,6,1
0.152318,1,15,3,11,1,0,117,11,0
0,0,6,3,6,1,0,64,6,0
0.0566138,1,41,12,38,1,0,395,34,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0.255172,1,25,3,11,2,0,135,11,1
0.314607,1,17,1,7,2,0,96,7,1
0,0,9,4,9,1,0,79,9,0
0,0,4,0,4,0,0,23,4,0
0,0,18,1,18,0,0,90,18,0
0,1,5,2,5,1,0,28,5,0
0,1,1,0,1,0,0,8,1,0
0,1,3,1,2,0,0,23,1,0
0.709091,1,8,2,4,1,2,83,3,0
0.852273,1,5,2,4,2,0,35,3,0
0.263099,3,151,27,122,2,0,713,28,0
0.324873,1,16,1,8,1,0,90,8,1
0.41844,1,6,4,3,1,0,42,3,0
0,0,8,2,8,1,0,41,8,0
0,0,9,4,11,1,0,101,9,0
0,1,20,6,17,1,0,105,4,1
0.335079,1,16,1,8,1,0,67,8,1
0,0,2,1,2,0,0,15,1,0
0.153086,1,86,13,44,0,0,488,11,1
0,1,2,2,2,0,0,8,1,1
0,1,1,1,2,0,0,10,1,0
0,2,3,1,3,1,0,33,3,0
0.478495,1,8,8,11,1,0,53,3,0
0.301695,1,8,8,13,1,0,98,2,0
0,1,1,0,1,0,0,14,1,0
0.247899,2,12,4,6,0,0,60,0,0
0,1,1,3,2,1,0,14,1,0
0.0989011,1,15,0,6,0,0,90,6,0
0,1,12,6,10,0,0,89,4,0
0,1,13,1,10,0,0,75,7,0
0,1,30,11,22,1,0,206,5,0
0.125387,1,39,10,30,0,0,199,20,0
0,1,11,1,10,1,0,67,10,1
0,0,21,6,26,0,0,117,15,0
0,0,8,0,8,0,0,69,8,1
0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0.6,0,18,3,8,0,0,87,2,0
0,3,22,6,15,0,0,87,5,0
0.576923,2,11,4,12,1,2,55,5,0
0.12685,3,21,1,13,2,0,116,12,1
0,0,4,0,4,0,0,21,4,0
0.13363,3,20,1,13,2,0,111,12,1
0,2,7,1,7,0,0,39,7,0
0,1,2,0,2,0,0,13,2,0
0,1,5,2,3,0,0,25,2,0
0.232919,3,36,6,36,1,0,153,17,0
0,0,6,1,6,0,0,31,6,0
0,0,4,0,4,0,0,22,4,0
0.113475,11,48,2,21,0,0,213,18,0
0,2,6,0,4,0,0,42,4,0
0,1,1,1,1,0,0,6,0,0
0,2,5,1,3,0,0,22,1,0
0.175758,2,53,4,22,0,0,271,10,1
0,1,3,1,3,0,0,16,2,0
0,1,2,0,2,0,0,12,1,0
0,0,12,0,5,0,0,55,5,0
0,1,8,2,8,1,0,43,6,0
0,1,3,1,3,1,0,16,3,0
0,1,12,7,16,1,0,84,8,0
0,2,7,3,6,1,0,43,5,0
0,1,21,7,24,1,0,157,18,0
0,0,6,2,6,1,0,58,6,0
0,1,6,4,12,1,0,39,6,0
0,1,5,3,10,1,0,36,5,1
0.309179,1,16,1,8,1,0,71,7,1
0,2,2,2,5,0,0,20,2,0
0,1,6,3,4,1,0,47,4,0
0.192308,1,14,2,8,1,0,79,8,1
0,0,6,1,6,1,0,34,6,0
0,1,4,3,8,1,0,37,4,0
0,1,17,2,18,0,0,82,7,0
0,0,1,0,1,0,0,9,1,0
0,1,5,7,20,1,0,53,5,0
0,1,17,1,8,1,0,98,8,1
0.52521,1,35,2,14,1,0,183,14,1
0.571705,1,39,3,14,1,0,182,14,1
0.359375,1,28,2,10,1,0,141,10,1
0,1,18,11,21,1,0,123,11,0
0,2,3,3,8,1,0,34,2,0
0,1,10,2,6,1,0,65,3,0
0,1,6,0,1,0,0,36,1,0
0,3,3,3,3,1,0,18,3,0
0,0,4,0,4,0,0,20,4,0
0,1,17,1,17,0,1,128,17,0
0,0,1,1,1,1,0,8,18,0
0,0,12,0,10,0,0,85,10,1
0,1,6,2,3,0,0,34,1,0
0,1,5,1,5,2,0,40,5,1
0,1,1,2,3,0,0,8,1,0
0,0,6,0,6,0,0,33,6,0
0.335079,1,16,1,8,1,0,66,7,1
0,1,6,1,6,0,3,30,6,1
0,1,8,5,13,0,0,25,1,1
0,2,3,2,5,1,0,19,8,0
0,1,6,3,6,1,0,29,7,0
0,1,7,2,8,1,0,38,11,0
0,2,4,2,4,1,0,20,3,0
0,1,2,5,5,1,0,28,2,0
0,0,11,3,10,1,0,92,10,0
0,0,11,3,10,1,0,94,10,0
0,1,2,4,4,1,0,17,2,0
0,1,12,1,7,1,3,51,6,0
0,0,4,0,4,0,0,22,3,0
0,0,4,1,8,1,0,19,8,0
0,1,7,0,5,0,3,42,4,1
0,0,4,0,4,0,0,18,4,0
0,1,9,1,7,0,1,67,4,0
0,2,34,0,8,0,0,189,2,0
0,1,7,1,5,0,0,33,1,0
0,2,14,2,6,0,0,67,4,0
0,0,2,0,2,0,0,13,2,0
0,0,2,0,2,0,3,13,1,0
0.460317,0,10,4,5,1,0,63,4,0
0.29375,0,7,5,9,1,0,67,4,0
0.144615,0,14,6,10,1,0,84,5,0
0.270115,0,7,5,8,1,0,67,4,0
0,1,18,0,14,0,0,85,14,0
0,1,29,0,2,0,0,63,1,0
0.109777,2,41,2,14,0,2,234,13,0
0.271605,1,16,1,10,0,0,86,7,0
0,0,2,1,2,1,0,26,15,0
0.249249,1,8,3,12,0,0,69,2,0
0,0,2,1,2,1,0,24,15,0
0.229381,1,26,6,19,0,0,186,3,0
0,1,1,1,2,0,0,5,1,0
0,0,1,1,1,2,0,6,10,0
0,1,14,1,6,0,0,67,2,0
0.606061,1,27,4,10,0,2,134,3,0
0,1,1,1,1,1,0,9,1,0
0,0,4,0,4,0,0,21,4,0
0,0,4,0,4,0,0,21,4,0
0,1,5,1,1,2,0,28,10,0
0,1,1,0,1,0,0,5,1,0
0,1,9,1,10,1,5,44,10,0
0,0,2,1,2,3,0,12,14,0
0,1,5,1,1,2,0,21,10,0
0.690789,1,8,1,1,2,0,49,10,0
0,1,5,1,3,3,0,23,10,0
0,1,9,1,9,1,1,40,9,0
