CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,4,7,0,7,0,0,44,6,0
0.310324,1,439,36,107,0,0,2236,53,0
1,1,3,0,1,0,0,11,1,0
0.389344,1,15,5,5,1,0,52,1,0
0,0,1,0,1,0,0,4,0,0
0,1,11,3,3,1,0,31,1,0
0.397638,1,15,5,5,1,0,53,1,0
0,1,3,2,4,1,7,6,34,0
0,1,5,3,4,2,0,23,34,0
0,1,5,3,4,2,0,25,34,0
0,1,5,3,4,2,0,24,34,0
0,1,5,3,4,2,0,26,34,0
0,1,9,4,5,2,0,40,34,0
0,1,5,2,3,2,0,21,34,0
0,1,5,3,4,2,0,22,34,0
0,0,0,0,0,0,16,2,0,0
0,0,1,1,1,0,0,5,0,0
0,1,10,4,4,1,0,36,1,0
0.217877,1,9,4,4,1,0,39,1,0
0,1,9,3,3,1,0,31,1,0
0.236842,1,17,4,4,1,0,51,1,0
0.347619,1,15,4,4,1,0,47,1,0
0.458937,1,13,5,5,1,0,48,1,0
0.47099,1,17,5,5,1,0,64,1,0
0.465438,1,13,5,5,1,0,49,1,0
0.475248,1,17,5,5,1,0,65,1,0
0,1,23,7,8,1,0,78,1,0
0,1,7,3,3,1,0,29,1,0
0,1,7,3,3,1,0,24,1,0
0.417143,1,13,4,4,1,0,43,1,0
0,1,13,2,3,1,0,38,2,0
0,0,4,0,4,0,0,46,2,0
0.277096,8,567,60,146,0,0,3261,69,0
1,1,3,0,1,0,0,11,1,0
0,2,5,3,7,1,3,21,3,0
0,1,16,5,4,2,31,53,49,0
0,3,41,1,18,0,3,149,13,0
0,0,1,0,1,0,0,6,0,0
0,0,0,0,0,0,0,3,0,0
0,1,3,5,5,2,0,18,4,0
0,2,31,9,23,1,0,83,19,0
0,1,10,6,9,1,0,36,4,0
0,1,6,5,8,3,0,26,49,0
0.756098,1,6,5,8,3,0,26,49,0
0,1,6,5,8,3,0,26,49,0
0,1,8,6,9,3,0,32,49,0
0.745562,1,8,6,9,3,0,32,49,0
0,1,8,6,9,3,0,33,49,0
0.745562,1,8,6,9,3,0,32,49,0
0.756098,1,6,5,8,3,0,26,49,0
0,1,15,2,5,1,0,33,6,0
0,1,4,4,5,2,0,19,5,0
0,3,25,8,22,1,0,117,20,0
0,2,10,4,8,1,0,34,4,0
0,1,14,1,8,0,0,39,6,0
0.324159,1,14,6,11,3,0,52,50,0
0.858182,1,10,6,11,3,0,48,50,0
0.858182,1,10,6,11,3,0,48,50,0
0.858182,1,10,6,11,3,0,48,50,0
0.775701,1,14,6,11,3,0,52,50,0
0.869888,1,10,6,11,3,0,48,50,0
0.869888,1,10,6,11,3,0,48,50,0
0.869888,1,10,6,11,3,0,48,50,0
0.323171,1,14,5,10,3,0,52,50,0
0.865942,1,10,6,11,3,0,48,50,0
0.865942,1,10,6,11,3,0,48,50,0
0.865942,1,10,6,11,3,0,48,50,0
0.775701,1,14,6,11,3,0,52,50,0
0.869888,1,10,6,11,3,0,48,50,0
0.869888,1,10,6,11,3,0,48,50,0
0.869888,1,10,6,11,3,0,48,50,0
0,1,20,0,8,0,4,46,6,0
0,1,12,5,10,3,0,44,50,0
0.369176,1,13,5,10,3,0,46,50,0
0.375912,1,12,5,10,3,0,46,50,0
0,1,2,2,3,1,0,9,6,0
0,1,12,5,10,3,0,43,50,0
0.752475,1,12,5,10,3,0,43,50,0
0,1,12,5,10,3,0,43,50,0
0.752475,1,12,5,10,3,0,43,50,0
0,0,1,0,1,0,0,5,0,0
0,0,0,1,0,0,0,6,0,0
0,1,22,5,5,0,4,87,0,0
0.275991,1,184,3,18,1,0,541,6,0
0,1,17,2,6,1,0,50,6,0
