CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,2,10,4,14,2,0,47,27,0
0,1,1,2,3,0,0,12,1,0
0,2,7,3,9,2,0,29,48,0
0,1,6,3,9,1,2,31,44,0
0,2,4,4,6,2,2,26,46,0
0,1,1,3,4,1,0,7,1,0
0,2,60,2,42,0,2,290,38,0
0,0,2,0,2,0,1,11,2,0
0.146875,1,20,1,9,0,0,70,2,0
0,0,4,2,7,1,0,45,6,0
0,1,15,13,27,1,0,70,10,0
0,1,11,8,13,0,0,50,4,0
0,3,3,5,9,1,0,18,10,0
0,3,5,4,6,1,0,25,4,0
0,3,21,3,18,1,71,137,47,0
0,1,7,2,7,0,0,47,7,0
0,1,26,6,25,0,0,150,16,0
0,1,1,2,2,1,0,5,1,0
0,1,50,3,30,1,1,259,20,0
0,1,1,2,2,2,0,6,47,0
0,7,60,5,30,1,2,292,18,0
0,1,3,0,3,0,0,13,2,1
0,1,2,6,8,0,0,13,2,0
0,2,10,5,12,2,0,50,54,0
0,4,6,5,14,2,0,56,52,1
0,4,20,2,20,1,0,72,14,0
0,2,36,2,28,1,0,108,12,0
0.0937951,3,24,6,44,2,0,139,70,0
0,1,2,6,8,0,0,14,2,0
0,1,1,1,1,2,0,7,47,0
0,1,6,8,14,2,0,47,51,0
0,1,1,1,1,2,0,5,48,0
0,1,2,6,5,0,0,14,2,0
0.31441,2,4,7,14,2,0,54,51,0
0,1,1,2,2,2,0,6,48,0
0,1,1,2,2,2,0,6,48,0
0,1,1,1,1,2,0,6,48,0
1,0,1,2,2,4,0,6,47,0
1,0,1,2,2,3,0,6,47,0
0,1,2,2,3,3,1,11,46,0
0,1,6,7,16,2,0,45,52,0
0,1,1,1,1,2,0,6,48,0
0,1,2,13,7,0,0,22,2,0
0,1,30,4,28,2,0,165,63,0
0,2,19,3,23,2,0,97,66,0
0,1,9,3,10,2,0,42,51,0
0,1,11,3,9,2,0,50,54,0
0,1,1,2,2,2,0,6,48,0
0,1,13,3,11,2,0,58,55,0
0,1,1,1,1,3,0,4,51,0
0,1,1,1,1,2,0,4,48,0
0,1,1,0,1,0,0,4,1,0
0,1,1,1,1,2,0,4,48,0
0,2,2,1,2,2,0,6,48,0
0,2,2,1,2,2,0,7,49,0
0,3,3,1,3,2,2,8,50,0
0,1,1,1,1,3,0,5,51,0
0,2,2,1,2,2,0,9,49,0
0,3,14,14,36,2,0,92,60,0
0.102467,2,18,9,32,2,0,115,61,0
0,1,1,1,1,2,0,6,47,0
0,0,0,1,0,2,0,1,47,0
0,2,2,1,3,3,0,11,47,0
1,1,2,1,2,2,0,9,47,0
0,1,1,1,1,2,0,5,47,0
0,1,1,2,2,2,0,6,47,0
1,2,2,1,2,2,0,9,47,0
0,0,1,1,1,3,0,6,47,0
0,1,1,1,1,3,0,6,48,0
0,2,2,1,2,2,0,10,47,0
0,2,2,1,2,2,3,12,47,0
0,1,2,4,11,2,0,18,49,0
0,1,1,1,1,2,0,5,48,0
0,2,3,4,6,1,0,19,3,0
0,1,1,3,2,1,0,6,1,0
0,1,8,6,12,2,0,50,54,1
0,1,1,1,1,2,0,6,48,0
0,1,1,2,2,2,0,6,48,0
0,1,1,1,1,2,0,5,48,0
0,3,3,1,3,2,0,8,50,0
0,2,3,8,6,0,0,21,2,0
0,2,2,5,4,2,0,15,49,0
0,1,1,2,2,0,0,5,1,0
0,4,4,2,4,2,0,20,18,0
0,1,1,1,1,0,0,5,1,0
0,1,2,3,4,2,0,38,48,0
0.2,2,9,6,16,2,0,75,54,0
0,1,1,1,1,2,0,2,48,0
0,1,1,1,1,2,0,2,48,0
0,1,1,1,1,2,0,2,48,0
0,1,1,3,2,3,0,6,8,0
0,1,1,2,2,2,0,2,48,0
1,1,1,3,2,3,0,6,8,0
1,1,1,1,1,2,0,2,48,0
0,1,2,1,3,2,2,12,7,0
0,1,1,4,6,2,0,17,48,0
0,2,2,3,3,2,0,10,49,0
0,1,7,5,10,2,0,46,51,0
0,1,1,0,1,0,0,5,1,0
0,2,23,6,26,1,2,125,7,0
0,4,30,7,31,2,0,174,29,0
0,5,70,5,53,0,0,760,42,1
0,1,5,2,6,0,0,62,4,0
0.125668,0,4,1,6,0,0,50,4,0
0.146875,1,20,1,9,0,0,79,1,0
0,0,1,0,1,0,0,5,0,0
0,1,9,6,9,1,0,40,6,0
0,1,4,1,2,1,0,20,2,0
0,1,1,0,1,0,0,6,1,0
0,1,15,10,17,4,0,55,11,0
0,1,21,3,13,1,0,66,7,0
0,0,1,0,1,0,0,10,1,0
0,1,23,10,31,0,0,129,7,0
0,0,2,5,2,1,0,10,11,0
0,0,0,1,0,4,0,1,10,0
0,5,14,5,13,0,0,92,3,0
0,3,4,5,8,1,0,28,11,0
0,1,6,2,5,0,0,21,1,0
0,1,4,3,4,0,0,20,2,0
0,1,6,6,14,0,0,42,5,0
0,3,4,2,4,0,0,33,4,0
0,2,2,2,3,1,0,10,3,0
0,2,3,1,3,0,0,9,2,0
0,2,2,1,2,0,0,9,2,0
0,0,1,2,2,4,0,8,11,0
0,1,20,0,12,0,0,78,9,0
0,0,1,2,1,0,2,3,1,0
0,1,3,1,3,0,3,11,3,1
0,1,3,2,3,1,0,17,4,0
0,0,0,0,0,0,0,3,0,1
0,2,12,9,18,4,1,48,10,1
0,2,16,11,23,1,1,83,2,1
0,4,4,7,10,4,0,25,10,1
0,1,3,4,7,1,0,15,1,0
0,1,2,5,4,1,0,12,1,1
0,1,20,8,17,1,0,76,2,1
0,0,6,3,5,1,0,28,3,1
0,1,20,7,23,0,0,113,12,1
0,2,8,0,5,0,0,39,4,0
0,0,2,4,4,1,0,11,1,1
0,1,6,0,4,0,0,48,4,0
0,1,6,0,4,0,0,33,4,0
0,1,15,2,7,0,2,66,1,0
0,1,1,2,2,1,0,6,1,0
0,1,3,2,3,1,0,15,2,1
0,2,2,1,2,1,0,11,2,0
0,1,17,5,20,1,0,87,13,0
0,1,10,8,9,1,0,46,5,0
0,1,6,4,5,1,0,35,6,0
0,1,2,4,2,1,0,8,4,0
0,1,3,3,5,2,0,17,4,0
0,1,3,4,3,1,0,12,4,0
0,1,1,3,2,1,0,6,4,0
0,1,1,2,1,1,0,6,4,0
0,1,4,3,3,1,0,17,5,0
0,1,5,0,5,0,0,26,5,0
0,1,1,1,2,0,0,8,1,0
0,2,2,0,2,0,0,10,2,0
0,1,11,1,8,1,0,54,8,0
0,3,4,1,5,2,0,21,5,0
0,2,5,1,6,1,1,24,3,0
0,2,13,0,6,0,8,48,2,0
0,0,3,4,5,1,0,19,13,0
0,0,3,5,6,1,0,28,12,0
0,0,2,4,5,1,0,16,12,0
0,1,14,6,10,0,0,63,2,0
0,1,11,6,15,2,0,48,4,1
0,0,0,0,0,0,0,4,0,0
0,0,4,0,4,0,0,25,4,0
0,1,23,16,32,2,1,93,8,0
0,1,10,8,15,1,0,45,4,0
0,1,25,15,39,2,0,111,6,0
0,1,1,1,2,0,0,5,1,0
0,1,1,2,3,0,0,5,1,0
0,1,26,6,22,0,0,107,4,0
0,1,4,1,2,0,0,21,1,0
0,1,1,1,2,0,0,6,1,0
0,1,1,1,2,0,0,5,1,0
0.40604,1,17,7,10,0,0,71,6,0
0,1,4,2,3,3,1,20,10,0
0,1,25,4,12,0,0,82,6,0
0,1,12,6,12,0,0,51,4,0
0,1,9,5,14,0,0,40,6,0
0,0,1,1,2,1,0,8,5,0
0,1,3,0,2,0,2,11,1,0
0,1,6,2,3,1,0,30,2,0
0,1,2,1,2,1,0,12,2,0
0,1,4,1,2,1,0,30,2,0
0,1,2,2,2,0,0,11,1,0
0,1,2,2,3,1,0,14,2,0
0,1,5,3,5,1,0,32,2,1
0,1,3,2,4,1,0,20,2,0
0,8,8,4,13,0,0,71,8,0
0,1,5,2,5,2,0,38,4,0
0,1,1,1,2,0,0,6,1,0
0,4,9,6,11,1,0,62,6,1
0,2,2,1,2,1,0,11,3,1
0,1,5,3,4,1,0,22,2,1
0,3,4,3,4,1,3,25,1,0
0,1,1,2,4,1,0,11,1,0
0,1,4,3,5,1,0,19,2,0
0,1,10,1,8,2,0,65,6,1
0,1,2,2,3,2,0,15,2,0
0.728814,5,5,3,5,1,4,40,1,1
1,1,2,2,6,1,0,15,1,1
0.704918,5,5,3,5,1,3,42,5,1
1,1,2,2,6,1,0,15,1,1
0,1,2,4,3,1,0,14,2,0
0,2,2,3,2,1,2,13,1,0
0,1,1,2,3,1,0,7,1,0
0,1,3,4,5,0,1,25,2,0
0,1,1,3,2,1,0,6,4,0
0,2,33,0,23,0,0,214,20,1
0,1,19,14,34,0,0,160,14,0
0,4,12,11,21,0,5,133,11,0
0,0,1,2,1,1,0,6,11,0
0,2,7,3,7,0,0,57,7,0
0,6,6,4,6,1,0,32,13,0
0,1,3,3,4,1,10,20,3,0
0,3,8,3,6,0,11,55,5,0
0,4,4,3,4,1,0,21,7,0
0,2,5,2,6,1,0,18,5,0
