CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,1,8,5,14,0,0,60,2,0
0,1,2,3,5,1,0,20,2,0
0,1,10,1,5,1,0,59,6,0
0,1,5,6,8,1,0,39,2,0
0,1,6,6,7,0,0,47,2,0
0.132678,4,22,9,21,0,23,128,7,0
0,1,39,7,31,0,0,237,20,0
0,1,1,3,1,2,0,17,2,0
0,1,1,3,1,2,0,10,2,0
0,1,1,5,1,2,0,54,2,0
0.368996,3,9,20,39,1,0,275,7,0
0.143158,1,6,20,43,0,0,137,6,0
0,3,27,35,89,0,0,557,15,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,5,0,0
0,1,1,0,1,0,0,6,1,0
0,1,7,8,19,0,0,68,6,0
0,1,1,11,14,0,0,23,1,0
0,1,12,19,20,0,0,129,4,0
0,1,1,3,2,1,0,7,2,0
0,1,2,2,1,1,0,15,1,0
0,1,1,3,2,1,0,7,2,0
0,1,4,3,3,1,0,20,1,0
0,1,3,5,6,1,0,41,1,0
0.121001,1,37,22,69,0,0,319,15,0
0,1,1,5,3,3,0,10,24,0
1,1,1,1,1,1,0,7,1,0
1,1,1,1,1,1,0,7,1,0
1,1,1,2,2,1,0,7,1,0
1,1,1,2,2,1,0,7,1,0
0.0139373,2,47,7,22,0,0,404,3,0
0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,7,0,0
0.0287206,3,27,13,33,0,0,193,10,0
0,1,2,4,4,1,0,9,1,0
0,1,1,2,2,1,0,7,1,0
0,1,3,8,8,0,0,27,2,0
0,1,1,4,2,1,0,7,4,0
0.341021,2,79,21,56,1,0,770,17,0
0,1,1,0,1,0,0,7,1,0
0,1,6,0,1,0,0,24,1,0
0,1,5,0,1,0,0,50,1,0
0,2,3,3,3,1,0,18,3,0
0,0,2,1,2,1,0,14,2,0
0,4,9,4,9,0,0,77,4,0
0,1,5,1,4,1,2,37,4,0
0.383333,1,8,1,6,0,0,52,4,0
0,1,1,1,2,0,0,7,1,0
1,1,1,1,2,0,0,7,1,0
1,1,1,1,2,0,0,7,1,0
0,1,14,1,10,1,0,66,5,0
0,1,11,1,6,2,0,57,5,0
0,1,16,1,8,2,0,80,7,0
0,1,23,2,39,2,0,164,37,0
0,1,21,13,46,1,0,138,21,0
0,1,12,1,12,0,0,86,10,0
0,1,6,1,7,0,0,47,6,0
0,1,14,1,13,0,0,97,11,0
0,1,11,1,12,0,0,93,11,0
0,2,4,13,7,3,0,28,13,0
0,1,1,6,3,1,0,7,1,0
0,1,1,4,1,1,0,7,1,0
0,1,12,13,26,0,0,105,6,0
0,0,2,3,3,1,2,17,9,0
0,1,5,13,14,1,0,55,3,0
0,2,4,11,5,2,0,32,15,0
0,0,4,4,4,1,0,25,4,0
0.0180832,2,45,42,62,0,0,362,0,0
0,1,2,8,7,1,0,17,2,0
0,1,1,4,2,1,0,7,1,0
0,1,1,1,1,0,0,11,1,0
0,1,3,0,3,0,0,21,2,0
0,1,2,6,6,1,0,16,2,0
0.370065,1,23,37,62,0,0,416,12,0
0.380952,5,17,2,7,1,0,80,5,0
0,1,2,9,12,0,0,29,1,0
