CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,1,4,0,2,0,0,34,2,0
0,5,5,7,5,1,1,26,5,0
0,0,0,0,0,0,0,5,0,0
0,0,0,1,0,1,0,5,1,0
0,1,9,1,9,0,0,19,9,0
0,0,0,1,0,1,0,5,1,0
0,1,15,4,15,0,0,33,14,0
0,1,10,2,10,0,0,27,9,0
0,0,0,2,0,0,0,18,0,0
0,3,3,0,3,0,0,15,3,0
0,0,0,1,0,1,0,5,1,0
0,0,0,1,0,1,0,5,1,0
0,1,5,0,5,0,0,23,5,0
0.335358,1,50,9,30,0,2,315,19,1
0,1,4,3,4,1,0,21,2,0
0,1,28,16,44,1,0,182,30,1
0.167315,1,33,20,42,1,0,223,28,1
0,1,1,5,4,4,0,7,13,0
0,3,11,19,18,4,0,63,14,0
0.114286,7,190,11,162,3,2,1007,148,1
0,1,31,5,22,1,2,141,16,0
0.271363,1,219,4,194,0,7,1608,94,0
0.172116,8,19,5,58,1,2,403,105,0
0,7,8,3,11,4,3,41,148,0
0,7,45,3,23,3,2,218,18,1
0.886179,1,24,2,8,1,2,93,5,1
0.865079,1,25,3,10,4,4,97,148,1
0,0,1,2,2,2,0,5,106,0
0,1,2,3,5,1,0,17,94,0
0,3,4,5,7,1,0,26,96,0
0.129555,13,77,4,38,0,0,385,15,0
0.163162,10,21,6,23,0,0,190,10,0
0,1,1,2,1,1,0,6,1,0
0,1,2,2,1,1,0,7,1,0
0,1,1,2,1,1,0,6,1,0
0,1,1,2,1,1,0,6,1,0
0,1,1,2,1,1,0,6,1,0
0,1,1,2,1,1,0,6,1,0
0,1,1,2,1,1,0,6,1,0
0,1,2,2,1,1,0,7,1,0
0,1,2,2,1,1,0,7,1,0
0,1,2,2,1,1,0,7,1,0
0,2,2,4,5,0,0,40,2,0
0.0657194,3,42,1,37,0,0,214,25,0
0,2,22,1,24,0,0,111,17,0
0,2,12,4,46,0,0,177,2,0
0,2,2,2,6,0,0,32,2,0
0,1,13,5,18,2,5,60,9,1
0.323519,35,278,11,221,5,0,1514,170,1
0,1,4,3,5,0,0,25,0,0
0,1,46,2,22,4,0,264,29,0
0,1,8,2,5,0,0,41,3,0
0,2,3,4,6,1,0,21,95,0
0,1,36,4,73,5,0,203,150,1
0,71,167,5,154,3,0,830,148,1
0.124248,1,42,4,50,3,0,212,33,1
0,0,4,0,4,0,0,18,4,0
0,0,1,2,2,2,0,5,106,0
0,1,2,3,6,1,0,17,94,0
0,1,2,3,5,1,0,16,94,0
0,1,52,8,29,0,2,295,1,0
0,5,11,7,16,1,0,51,1,0
0,5,7,5,10,1,0,35,1,0
0.0885417,1,49,4,27,0,0,331,1,0
0,1,21,4,11,0,0,109,1,0
0,1,23,2,8,0,0,137,1,0
0,0,1,1,1,0,0,13,0,0
0,3,29,9,24,5,3,164,148,1
0,0,1,1,1,0,0,9,0,0
0,3,25,7,16,2,0,136,21,1
0,1,1,2,2,0,0,8,0,1
0.392786,7,39,4,45,6,0,259,148,1
0.0895813,6,33,4,45,6,0,236,148,1
0.202077,8,54,6,63,6,0,279,148,1
0,1,22,2,22,4,0,111,33,0
0,6,39,6,63,5,0,201,152,1
0,18,18,3,54,0,0,144,18,0
0,2,42,6,76,5,0,253,151,1
0,2,3,4,6,1,0,23,95,0
0.0146628,4,157,7,279,3,0,844,149,1
0.270774,5,140,12,86,0,0,778,49,1
0,3,5,5,10,2,0,28,16,0
0,7,83,7,58,5,0,466,150,1
0.0711864,9,54,4,55,5,0,339,150,1
0.372831,26,42,4,85,0,0,510,26,0
0.0445753,16,83,22,99,2,6,504,44,1
0,1,1,3,2,1,0,6,1,0
0.0222058,4,85,24,71,1,7,413,15,1
0,1,1,0,1,0,0,6,1,0
0,1,1,1,2,0,0,6,1,0
0,1,1,1,1,0,0,7,1,0
0,1,1,3,2,1,0,6,1,1
0,1,1,1,2,0,0,6,1,1
1,1,1,1,2,0,0,6,1,1
0,1,1,1,2,0,0,6,1,0
0,1,1,1,2,0,0,6,1,0
0,1,1,1,2,0,0,6,1,0
0,1,1,1,2,0,0,6,1,0
0,0,1,3,2,0,0,12,0,0
0,1,4,8,5,1,0,24,1,0
0,2,7,6,10,3,0,35,25,1
