CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0.751092,1,9,5,8,1,0,78,4,0
0,1,46,5,15,0,0,387,5,0
0,1,6,5,8,1,0,42,36,0
0,2,142,32,84,0,1,731,33,1
0,1,5,8,4,0,0,22,2,1
0,0,2,1,2,0,0,17,2,0
0,1,16,14,23,0,0,73,3,0
0,1,17,11,9,0,0,107,3,0
0,0,2,1,2,0,0,25,2,0
0,2,64,14,33,0,0,318,18,0
0,1,21,27,30,0,0,189,5,0
0,1,2,1,2,0,0,14,2,0
0,1,25,15,22,0,0,116,1,0
0,1,26,20,13,0,0,82,2,0
0,1,5,3,5,0,1,19,3,0
0.0683091,2,74,39,54,2,0,403,49,0
0.0578313,9,106,57,83,1,1,700,36,0
0,1,13,10,7,1,0,36,5,0
0.108463,2,44,46,41,1,0,238,12,0
0,16,24,16,24,1,1,79,35,0
0,1,12,8,25,0,0,59,2,0
0.0788177,1,45,12,47,0,0,249,25,0
0,17,20,11,20,0,0,49,20,0
0,2,18,14,21,2,2,76,38,0
0,3,34,4,10,1,0,152,25,0
0,1,2,0,1,0,0,13,1,0
0,0,1,2,2,3,0,3,39,0
0,1,86,40,106,0,0,413,45,0
0,1,19,5,3,0,0,100,2,0
0.157085,7,64,52,70,3,0,288,63,0
0,3,52,7,35,0,1,291,22,0
0,1,5,5,7,0,0,25,4,0
0,0,1,3,2,4,0,5,12,0
0,0,5,9,10,3,2,36,11,0
0,0,1,3,2,2,0,10,8,0
0,0,1,6,2,4,1,13,14,0
0,0,1,3,2,4,0,8,12,0
0,0,1,2,2,3,0,5,6,0
0,0,1,2,2,3,0,5,6,0
0,0,1,2,2,2,0,7,8,0
0,0,1,2,2,2,0,7,8,0
0,1,7,16,18,3,4,45,13,0
0,0,1,2,2,3,1,6,15,0
0,0,2,4,2,4,0,16,16,0
0,0,1,2,2,1,2,5,4,0
0,0,1,4,3,2,0,13,8,0
0,0,7,20,21,3,0,56,10,0
0,0,1,8,6,5,1,13,15,0
0,0,1,5,2,4,2,11,14,0
0,1,5,9,6,4,4,31,16,0
0,0,1,4,2,6,0,5,16,0
0,0,1,9,8,5,0,25,15,0
0,0,1,14,13,5,0,38,17,0
0,0,1,11,4,5,0,15,17,0
0,0,1,13,10,5,0,29,17,0
0,0,1,10,4,5,0,14,17,0
0,0,5,11,9,2,0,26,12,0
0.470383,0,7,14,13,1,0,59,4,0
