CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,0,1,2,1,1,0,9,1,0
0,1,51,6,14,1,0,222,0,0
0,1,5,2,2,0,0,16,1,0
0,1,2,0,1,0,0,9,1,0
0,1,6,0,6,0,0,35,6,0
0,4,65,6,42,1,1,517,50,0
0,1,1,1,1,0,0,6,1,0
0,1,1,0,1,0,0,6,1,0
0,0,2,1,2,1,0,10,6,0
0,1,1,1,1,0,0,6,1,0
0,1,7,0,6,0,2,60,6,0
0,1,5,6,10,1,0,41,17,0
0.00816827,1,419,25,107,0,0,1150,11,0
0,0,2,2,2,1,0,10,18,0
0,1,5,0,2,0,0,24,1,0
0,0,2,2,2,1,0,10,18,0
0.0575051,2,281,8,63,0,0,1148,18,1
0,4,28,2,19,0,13,153,16,0
0,11,83,6,27,0,0,235,9,0
0,1,4,0,1,0,0,10,1,0
0,1,3,0,1,0,0,11,1,0
0,1,5,0,2,0,0,21,2,0
0.275081,1,35,6,15,1,0,142,18,0
0,0,0,0,0,0,0,4,0,0
0.180638,1,82,1,30,0,0,294,26,0
0,2,10,6,13,1,0,81,18,0
0,1,13,4,12,0,0,77,6,0
0.187484,3,175,19,53,1,1,574,22,0
0,1,11,1,2,0,0,46,1,0
0,1,9,1,2,0,0,28,1,0
0.448498,3,30,4,17,0,0,173,10,0
0.542857,3,26,4,14,0,0,159,10,0
0,1,21,3,9,0,0,89,4,0
0,2,4,2,5,2,0,21,24,0
0,2,29,8,12,1,0,96,20,0
0.0966887,3,41,3,20,0,0,206,14,0
0,5,14,0,11,0,0,64,10,0
0,2,31,4,8,0,0,145,0,0
0,2,10,1,3,0,0,21,2,0
0.0439189,2,25,8,15,0,0,108,0,0
0,1,3,3,5,1,0,22,17,0
0,1,3,2,4,1,0,18,17,0
0.100257,2,12,9,14,1,0,92,20,0
0.458824,1,7,1,6,0,0,37,6,0
0.0658784,3,17,8,13,0,0,73,0,0
0,1,2,2,3,1,0,13,16,0
0.115727,2,14,10,11,1,0,75,19,0
0.4875,1,7,1,7,0,0,37,6,0
0.28654,1,160,5,14,0,0,576,3,0
0,1,41,1,3,0,0,92,1,0
0.140014,1,71,18,46,1,0,305,25,0
0,3,18,3,15,0,0,97,11,0
0,0,4,2,6,0,0,21,3,0
0,1,2,1,2,0,0,21,1,0
0,2,15,1,3,0,0,46,2,0
0.102553,1,141,7,35,1,0,602,17,0
0,1,2,0,1,0,0,10,1,0
0,1,10,3,5,2,0,54,13,0
0,1,16,4,13,0,0,93,7,0
0,1,25,7,9,2,0,144,13,0
0,1,9,2,4,1,0,40,12,0
0.0790754,3,91,6,25,1,0,442,15,0
0,1,2,1,2,1,0,9,8,0
0,2,2,1,3,0,0,12,2,0
0,1,11,2,7,1,0,59,15,0
0,1,28,3,11,1,0,101,13,0
0,1,18,1,4,1,0,78,12,0
0.616216,4,10,5,12,2,0,68,9,0
0.619565,4,10,4,12,2,0,68,9,0
0.42132,4,9,4,13,2,0,67,9,0
0.619565,4,10,4,12,2,0,68,9,0
0,2,7,4,10,2,0,56,9,0
0.619565,4,10,4,12,2,0,68,9,0
0.0416809,3,182,84,136,0,0,743,8,0
0,1,3,0,1,0,0,10,1,0
0,1,2,0,1,0,0,10,1,0
0,1,13,1,7,0,0,56,7,0
0,1,5,2,3,1,0,30,12,0
0,1,15,1,4,1,0,62,14,0
0,1,10,6,15,0,0,56,8,0
0,3,20,11,22,1,0,98,17,0
0,2,19,3,6,0,0,123,0,0
0,1,45,9,17,1,0,187,12,0
0,1,10,6,14,0,0,53,8,0
0.726316,1,16,4,8,1,0,68,13,0
0,0,1,1,1,3,0,6,17,0
0,1,46,2,12,1,0,213,12,0
0.480278,1,19,4,7,1,0,70,13,0
0,1,7,2,4,3,0,28,17,0
0,1,13,2,6,1,0,68,12,0
0,1,28,3,9,1,0,152,12,0
0,1,21,1,3,1,0,92,12,0
0,1,13,4,14,1,0,88,8,0
0,1,10,2,4,1,0,38,12,0
0,1,3,0,1,0,0,11,1,0
0,1,8,1,3,1,0,38,12,0
0,1,11,2,4,1,0,64,12,0
0,1,13,0,1,0,0,30,1,0
0,1,25,6,13,1,0,144,15,0
0,2,8,0,4,0,0,31,2,0
0,1,23,6,11,1,0,104,14,0
0,1,5,0,3,0,0,24,1,0
0,1,11,1,4,1,0,55,12,0
0,1,31,3,16,0,39,207,12,0
