CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,0,0,0,0,0,0,2,0,0
0,4,9,4,10,2,12,56,10,0
0,0,1,3,1,1,4,7,2,0
0.14,2,37,8,18,0,0,205,8,0
0,2,6,3,6,3,1,24,12,0
0,1,3,3,5,2,0,14,3,0
0,3,15,9,25,0,0,111,5,0
0,1,1,2,1,2,0,6,6,0
0,1,11,3,12,0,0,120,7,0
0,1,43,33,77,1,0,260,32,0
0,1,3,5,6,0,0,18,1,0
0,1,8,6,7,0,0,45,2,0
0,2,2,1,2,3,0,11,10,0
0,0,1,3,1,2,4,7,1,0
0,3,11,3,10,3,0,52,16,0
0,1,4,4,2,2,0,19,1,0
0,1,8,5,12,3,0,41,5,0
0,1,2,2,3,4,0,11,14,0
0,2,10,5,9,3,0,50,13,0
0,1,3,3,5,2,0,14,3,0
0,2,14,5,11,3,1,52,15,0
0,1,3,6,5,2,0,18,1,0
0.25,1,11,9,17,3,0,54,5,0
0,3,9,2,8,3,0,41,15,0
0.917526,1,5,6,5,3,0,27,2,0
0.24594,1,21,15,30,3,0,84,5,0
0,2,8,2,4,2,8,35,4,0
0.131841,1,19,5,13,1,0,106,11,0
0,1,2,2,3,4,0,14,17,0
0,2,19,4,14,3,0,97,18,0
0.317881,1,7,7,5,3,0,39,2,0
0.215517,1,28,13,30,3,0,150,5,0
0,3,7,2,7,3,0,29,13,0
0,1,5,9,7,3,0,17,2,0
0,1,6,10,12,3,0,26,5,0
0,0,1,0,1,0,0,32,1,0
0,3,8,6,11,3,0,81,13,0
0,1,3,5,7,3,0,16,5,0
0,3,10,3,8,3,0,44,15,0
0.917526,1,5,6,5,3,0,28,2,0
0.468182,1,10,9,18,3,0,54,5,0
0,2,3,3,5,3,0,17,10,0
0,1,3,5,5,3,0,13,5,0
0,3,14,5,14,3,3,111,19,0
0,0,1,2,2,2,3,11,2,0
0.779661,1,6,2,3,4,0,22,20,0
0.951219,1,2,6,3,2,0,14,1,0
0,1,12,7,17,3,0,53,3,0
0.779661,1,6,2,3,4,0,22,20,0
0.951219,1,2,6,3,2,0,14,1,0
0,1,15,11,26,3,0,71,3,0
0.1,1,44,6,14,4,0,138,23,0
0,1,2,6,3,2,0,14,1,0
0,1,16,11,23,3,0,92,3,0
0,1,12,5,12,1,0,63,9,0
0,0,6,2,8,0,0,27,3,0
0,1,9,4,13,0,0,62,6,0
0,1,11,3,11,0,0,60,2,0
0,1,3,3,5,0,0,22,1,0
0,1,3,1,3,0,0,14,1,0
0,1,10,5,11,0,0,48,2,1
0,1,53,5,22,0,0,155,5,1
0.283401,1,3,2,9,0,0,184,3,0
0,1,3,5,10,2,13,15,15,0
0,0,2,1,3,1,0,10,6,0
0,1,34,21,60,3,0,166,24,1
0,1,8,3,10,3,7,42,21,0
0,1,2,4,6,2,18,14,15,0
0,0,1,1,1,0,0,18,1,0
0,1,9,11,14,3,0,53,20,0
0.541667,1,2,3,3,1,0,17,2,0
1,1,2,4,2,1,0,11,1,0
0,1,9,11,15,3,0,52,20,0
0,2,8,10,16,3,0,45,39,1
0,1,44,20,46,2,0,197,17,1
0,1,1,3,3,0,0,7,1,0
0,1,1,3,3,0,0,6,1,0
0,5,65,47,109,1,0,325,28,1
0,1,3,3,4,0,0,11,1,1
0,1,3,3,4,0,0,14,1,0
0,1,30,15,40,0,0,121,1,1
0,2,11,15,25,1,0,49,2,1
0,1,4,12,22,0,0,80,1,0
0,2,3,4,3,2,0,9,7,0
0,0,3,0,3,0,0,18,3,0
0,1,3,4,2,0,0,15,0,0
0,0,4,2,4,2,0,25,4,0
0.0722611,16,20,29,72,1,0,355,45,0
1,1,2,2,3,0,0,10,1,0
1,1,2,2,3,0,0,10,1,0
0,1,3,3,2,1,0,8,1,0
0,4,5,4,5,2,0,19,4,0
0,1,1,3,2,1,0,5,1,0
0,2,2,2,2,2,0,10,7,0
0,1,3,1,2,0,0,12,1,0
0,1,2,1,1,1,0,9,1,0
0,6,11,1,7,1,0,38,6,0
0,0,1,1,2,3,0,6,20,0
0,1,6,3,8,1,0,27,6,0
0,4,5,5,5,2,0,21,4,0
0.71712,4,27,17,39,1,0,281,36,0
0,3,4,3,4,1,0,20,3,0
0.955882,3,3,2,7,0,0,59,3,0
0.182755,2,59,12,50,0,0,427,23,0
0,1,1,4,4,1,0,7,1,0
0,1,1,4,4,1,0,6,1,0
0,1,1,4,4,1,0,6,1,0
0,1,3,4,2,1,0,13,1,0
0,1,11,2,9,0,0,42,2,0
0.886598,1,13,15,10,1,0,34,1,0
0,1,3,6,7,1,0,31,3,0
0.3125,1,20,4,13,1,0,80,11,0
0,2,9,8,15,3,0,51,41,1
0.420601,2,3,8,15,1,0,46,32,0
1,1,1,2,1,1,0,6,1,0
1,1,1,2,1,1,0,6,1,0
0,1,1,2,1,2,0,5,6,0
0,2,16,7,18,1,8,82,15,0
0,1,11,5,14,2,0,65,11,1
0,1,4,4,7,1,0,23,3,0
0,3,8,12,24,1,0,101,33,0
0,2,2,2,2,1,0,12,2,0
0,1,1,2,2,1,0,6,1,0
0,1,1,2,2,1,0,6,1,0
0,2,3,2,3,1,0,15,3,0
0,1,6,10,9,1,6,30,30,0
0,1,4,6,10,0,0,24,1,0
0,1,1,6,8,0,0,13,1,0
0,0,1,0,1,0,0,11,0,0
0.386473,1,19,4,12,1,0,72,8,0
0,1,6,8,9,3,0,34,17,1
0,2,4,6,11,1,0,18,2,1
0,1,1,2,2,1,0,10,1,0
0,1,12,4,16,1,0,72,12,0
0,1,6,10,16,2,0,36,15,0
0,1,62,81,110,1,0,356,47,1
0,1,4,3,4,1,0,24,2,0
0,1,42,34,78,1,0,203,37,0
0,2,4,5,6,2,6,17,15,0
0,1,1,1,1,1,0,7,1,0
0,0,3,5,5,3,22,14,15,0
0,1,15,12,22,1,0,68,7,0
0,2,9,8,17,1,0,79,36,0
0,1,1,6,7,1,0,10,1,0
0,1,1,4,5,1,0,10,1,0
0,2,3,3,3,1,0,15,3,0
0.119355,1,7,12,22,1,0,49,6,1
0.246667,6,17,4,14,1,0,83,13,0
0,1,4,5,11,2,1,17,16,0
0,1,6,9,18,2,2,38,16,0
0,1,5,4,5,0,0,25,1,0
0,1,2,3,3,1,0,15,1,0
0,1,5,4,9,2,0,32,5,0
0,3,7,6,18,2,13,37,15,1
0,1,2,4,6,1,0,13,2,1
0,1,8,6,12,4,0,41,24,0
0.187316,1,10,5,3,0,0,67,1,0
0,1,4,4,5,0,0,19,1,0
0.973333,1,3,4,5,0,0,17,1,0
0.473684,1,3,0,3,0,0,24,3,0
0,1,6,12,19,1,0,47,6,0
0,2,4,7,13,2,1,25,16,0
0,1,1,4,4,1,0,5,1,0
0.275862,1,20,7,34,0,0,171,16,0
0,1,1,1,1,1,0,6,1,0
0,1,1,2,1,1,0,6,1,0
0,0,0,0,0,0,0,3,0,0
0,1,19,6,37,0,0,222,19,0
0,1,2,1,2,1,0,12,1,0
0,1,1,1,1,1,0,6,1,0
0.382671,1,10,7,17,0,0,174,10,0
1,2,2,2,2,1,0,9,2,0
1,1,2,0,1,0,0,8,1,0
0.5088,1,9,7,16,0,0,139,9,0
1,2,2,2,2,1,0,9,2,0
1,1,2,0,1,0,0,8,1,0
0,4,59,12,73,0,0,398,50,0
0,3,20,3,19,0,0,170,19,1
0.217742,0,1,2,2,0,0,34,1,1
0.327273,1,15,1,12,0,0,58,8,0
0,0,4,1,4,0,0,22,4,1
0,0,6,0,6,0,0,30,6,1
0,3,10,0,10,0,0,61,10,0
0.15619,1,95,20,83,1,0,331,9,1
0,1,3,2,7,0,0,36,2,0
0,1,3,3,4,0,0,17,2,0
0.528302,2,26,3,15,1,2,122,7,1
1,1,1,1,1,0,0,6,1,1
0,2,11,7,17,1,2,65,3,0
0.0258014,3,69,31,79,1,0,361,32,1
0,1,5,3,6,0,0,26,1,0
0.0332709,2,72,56,96,2,0,398,19,1
0,1,8,10,18,0,0,44,1,1
0,1,1,4,2,1,0,6,1,1
0,1,9,11,16,0,0,56,1,1
0,1,1,3,2,1,0,6,1,0
0,1,8,6,7,0,0,38,1,1
0,1,1,5,2,1,0,8,1,1
0.771739,1,6,6,9,1,0,28,1,0
0,1,4,2,4,2,0,13,8,1
0,1,4,2,4,2,0,15,8,0
0,2,14,9,18,2,0,74,5,1
0.184028,1,22,7,19,2,0,112,7,0
0,1,3,4,11,0,0,35,3,0
0,1,3,2,2,0,0,12,1,0
0.760724,1,344,31,197,1,0,1469,21,0
1,1,4,1,2,0,0,15,1,0
0,1,1,1,1,1,0,9,1,0
0,1,5,7,10,2,0,27,7,0
0,0,2,2,2,1,1,13,2,0
0.494505,1,4,4,5,1,0,33,2,0
