CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,9,19,3,19,0,0,75,16,0
0,11,14,7,22,0,0,142,12,0
0,3,45,9,60,0,0,569,31,0
0,4,16,4,24,0,0,164,12,0
0,2,3,3,6,0,0,21,2,0
0.489583,1,7,1,2,0,0,44,1,0
0,0,1,0,1,0,0,7,1,0
0,0,1,0,1,0,0,7,1,0
0,1,3,3,8,1,0,15,4,0
0,2,9,2,12,0,2,43,4,0
0,0,5,4,3,0,0,23,1,0
0,1,5,4,11,1,0,25,5,1
0.287425,2,9,5,10,0,0,48,2,1
0,3,5,4,9,1,0,22,2,0
0,3,5,4,9,1,0,22,2,0
0.228137,1,22,6,20,0,0,98,1,0
0,2,4,3,6,0,0,21,2,0
0,3,4,5,13,1,0,26,2,0
0,2,26,7,16,0,0,121,2,0
0,2,6,4,5,0,0,50,2,0
0.244898,2,14,3,12,0,3,66,2,1
0,2,16,6,17,0,0,82,3,0
0,1,2,3,6,1,0,10,4,0
0.198347,3,23,8,20,0,2,108,3,0
0,1,6,8,10,1,0,40,4,1
0,2,4,4,8,0,0,24,2,0
0.355556,2,7,5,9,0,0,34,2,1
0,2,5,3,6,0,0,29,2,0
0,2,21,8,19,0,0,118,2,0
0,3,6,8,11,1,0,30,2,0
0,3,6,7,11,1,0,31,2,0
0.161572,2,33,9,26,0,4,149,2,1
0,3,6,8,12,1,0,30,2,0
0.214493,3,20,12,27,1,0,105,3,1
0,4,6,5,14,1,0,34,3,0
0,2,23,3,16,0,2,97,3,0
0,4,6,5,14,1,0,34,3,0
0,1,4,5,10,0,0,27,1,0
0,1,3,4,6,0,0,21,1,1
0,1,7,3,8,0,0,40,1,0
0,2,55,8,16,0,0,209,2,1
0,1,7,5,10,0,0,38,1,0
0,1,4,5,8,0,0,25,1,0
0,1,10,8,12,0,0,42,1,0
0,1,2,1,2,0,0,23,1,1
0,1,18,8,22,0,0,96,1,0
0,1,6,6,11,0,0,45,1,1
0,1,13,8,15,0,0,74,1,0
0,1,14,6,15,0,0,79,1,1
0,1,5,6,8,0,0,33,1,1
0,1,15,6,12,0,0,85,1,0
0,1,3,5,7,0,0,22,1,0
0,1,7,6,13,0,0,48,1,0
0.972973,1,3,4,6,0,0,22,1,0
0,1,10,7,16,0,0,49,1,1
0,2,28,13,33,0,0,174,3,1
0.972973,1,3,4,6,0,0,22,1,0
0.105727,2,15,11,25,0,0,87,2,1
0.171429,2,15,9,21,0,0,73,2,1
0,2,6,6,14,0,0,46,2,0
0,2,19,8,15,0,0,82,2,0
0.728659,1,23,5,15,1,0,89,4,0
0.374613,1,22,5,15,1,0,87,4,0
0.380952,1,31,5,18,1,0,112,4,0
0,1,13,4,14,1,0,57,4,0
0.219403,1,43,9,26,1,0,159,4,1
0.476519,1,52,5,22,1,0,156,4,0
0.463122,1,36,8,30,1,0,140,4,0
0,1,46,11,31,1,0,146,4,0
0,2,25,16,37,0,13,146,3,0
0,1,14,4,10,0,0,77,2,1
0.230769,1,28,8,21,1,0,108,4,0
0,1,24,5,16,1,0,95,4,0
0.508794,1,45,6,24,1,0,154,4,0
0.554241,1,34,5,18,1,0,124,4,0
0.390244,1,23,6,19,1,0,87,4,0
0,3,5,5,7,1,0,43,2,0
0,1,9,7,10,0,2,39,1,0
0,2,14,7,19,1,0,73,2,0
0,1,201,2,200,2,0,293,201,1
0,1,21,3,8,1,3,112,4,0
0,1,143,6,139,2,0,285,135,1
0,1,13,1,6,0,9,79,2,0
0,1,9,1,7,0,0,48,7,0
0.427374,1,15,4,8,1,0,87,5,0
0,1,16,2,7,1,0,107,4,0
0,1,11,2,6,1,0,71,4,0
0.356643,1,15,4,8,1,0,91,4,0
0,1,8,2,7,1,0,35,5,0
0,1,29,3,27,1,0,67,26,0
0.390317,1,92,6,32,1,0,427,3,1
0,3,12,5,11,0,0,61,6,0
0,2,65,11,37,1,0,684,11,1
0,1,1,1,1,0,0,6,1,0
