CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,1,10,3,5,1,0,81,2,0
0,1,6,2,10,0,0,82,6,0
0,1,5,1,5,1,0,40,3,0
0,0,14,2,7,0,0,137,3,0
0,1,1,0,1,0,0,6,1,0
0,2,5,2,10,0,0,78,3,0
0,0,2,3,9,0,0,45,1,0
0,0,2,0,2,0,0,19,2,0
0,0,1,0,1,0,0,11,1,0
0.480408,2,59,5,41,1,0,374,31,0
0,1,7,0,4,0,0,85,3,0
0.520374,1,54,5,39,1,0,335,29,0
0.238764,2,26,2,19,1,0,143,18,0
0,1,1,0,1,0,0,22,1,0
0.230978,2,27,2,21,1,0,149,20,0
0,0,2,0,2,0,0,11,0,0
0,2,4,1,4,0,0,24,2,0
0,4,5,7,9,1,0,24,4,0
0,1,2,1,3,0,0,20,1,0
0,0,3,0,3,0,0,17,0,0
0,2,2,1,5,0,0,15,2,0
0,1,29,3,28,1,0,164,27,0
0,1,3,2,2,0,0,12,1,0
0,2,2,1,5,0,0,18,2,0
0.35472,1,68,10,45,1,0,451,13,0
0,1,1,0,1,0,0,8,1,0
1,1,2,1,2,0,0,15,1,0
1,1,2,1,2,0,0,16,1,0
0,1,4,3,2,0,0,22,1,0
0,1,4,4,5,0,0,22,1,0
0,1,1,0,1,0,0,8,1,0
0,2,11,0,10,0,0,53,10,0
0,0,2,0,2,0,0,14,2,0
0,0,4,1,4,0,0,25,4,0
0,0,1,2,1,0,0,7,1,0
0,1,2,1,3,0,0,20,1,0
0,1,8,5,10,0,0,70,3,0
0,3,13,4,10,2,0,66,9,0
0,60,61,0,61,0,0,308,61,0
0.257761,1,66,11,33,3,0,360,16,0
0,1,6,0,4,0,0,25,4,0
0,1,14,5,23,0,0,167,6,0
0.236462,1,101,11,66,2,2,524,16,0
0.638889,2,4,1,4,0,0,30,0,0
1,1,2,2,4,0,0,13,1,0
1,1,2,2,4,0,0,13,1,0
0.161125,2,11,7,14,0,0,88,4,0
