CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,1,35,4,22,1,6,127,5,0
0,1,1,0,1,0,0,5,1,0
0,1,1,0,1,0,0,5,1,0
0.135593,1,23,3,10,0,0,129,10,0
0.196457,14,14,1,20,0,0,174,14,0
0,3,7,1,6,1,0,42,6,0
0,1,2,1,2,0,0,20,2,0
0,2,4,1,3,0,0,44,3,0
0,1,5,1,5,1,0,24,5,0
0,1,3,0,2,0,2,14,1,0
0.0802476,8,343,19,158,1,2,1944,66,0
0,8,21,11,29,2,0,85,32,0
0,1,1,3,4,1,0,6,5,0
0,1,2,2,5,2,0,9,6,0
0,9,21,11,28,2,0,87,32,0
0,1,1,3,4,1,0,6,5,0
0,1,2,2,4,2,0,9,6,0
0,6,11,5,18,0,0,44,6,0
0,1,3,3,6,2,0,13,6,0
0,1,2,2,4,2,0,10,6,0
0,1,28,6,39,1,0,116,23,0
0.0981798,12,101,9,72,1,2,287,30,0
0,2,3,3,7,2,0,15,4,0
0,2,3,2,7,2,0,13,4,0
0,4,17,5,15,0,2,53,4,0
0,2,3,3,7,2,0,15,4,0
0.46114,1,30,5,15,1,4,94,2,0
0,2,3,2,7,2,0,13,4,0
0,2,4,3,8,2,0,19,7,0
0,1,2,2,4,2,0,10,6,0
0,6,8,4,17,0,0,36,6,0
0.786676,1,124,6,62,0,1,537,45,0
0,1,69,1,38,0,2,314,22,0
0.0933014,1,42,2,32,1,0,237,24,0
0,1,10,2,11,0,0,35,7,0
0,2,11,3,19,2,0,98,72,0
0.369231,1,29,5,31,0,1,199,20,0
0,1,45,5,52,1,0,436,30,0
0,3,46,4,19,1,0,165,14,0
0,3,148,6,27,0,0,560,17,0
0,1,14,0,9,0,0,120,8,0
0,1,4,0,1,0,0,21,1,0
0,1,1,0,1,0,0,5,1,0
0,0,4,2,1,0,0,41,1,0
0,1,3,1,2,0,2,16,1,0
0,1,12,0,3,0,0,67,1,0
0,3,3,1,4,0,0,29,3,0
0,0,4,1,8,1,2,19,8,0
0,0,4,1,8,2,0,19,12,0
0,1,1,1,3,1,4,14,3,0
0,1,21,3,12,2,1,92,11,1
0,1,3,1,3,2,0,15,4,0
0,0,2,1,4,1,0,13,6,0
0.171429,1,37,3,13,0,1,180,8,0
0,0,1,0,1,0,0,8,1,0
0,1,11,1,6,0,0,88,5,0
0,0,4,1,8,1,0,18,8,0
0,2,2,1,2,2,0,7,3,0
0,1,3,1,3,2,0,15,4,0
0,0,2,0,2,0,0,24,1,0
0,4,4,0,4,0,0,13,0,0
0,1,14,2,10,0,0,70,6,1
0,1,7,3,6,1,1,36,3,0
0,1,4,0,4,0,3,19,0,0
0.485849,2,35,2,18,0,8,137,6,1
0,6,7,2,14,1,3,33,13,0
0,4,4,2,8,1,0,22,4,0
0,4,5,2,10,1,0,26,6,0
0,1,6,2,8,1,0,53,5,0
0.741259,1,11,1,6,0,1,44,1,0
0,1,4,2,3,1,0,18,3,0
0,2,105,10,39,0,1,443,8,0
0,1,2,0,1,0,0,8,1,0
0,0,1,1,1,0,0,9,0,0
0.222517,1,62,3,10,2,0,234,6,1
0,1,6,1,8,0,0,34,4,0
0,1,6,1,6,2,0,32,5,0
0,1,110,3,15,1,0,444,4,0
0,1,1,1,1,0,0,39,1,1
0.0930233,1,46,8,40,0,0,173,20,0
0,0,1,1,2,1,0,5,5,0
0,1,30,1,17,1,1,177,17,0
0,1,3,1,3,2,0,21,20,0
0,0,4,0,4,0,29,19,4,0
0,1,4,0,4,0,4,19,4,0
0,1,4,1,6,1,0,22,7,0
0.256342,1,20,1,4,0,0,111,1,0
0,0,0,0,0,0,0,10,0,0
0.101404,5,39,0,10,0,0,138,10,1
0,0,2,1,4,1,0,12,6,0
0.0588235,6,74,0,18,0,0,249,18,1
0,1,2,1,3,0,0,16,1,0
0,2,4,0,2,0,0,14,2,0
0.343558,1,11,2,11,0,3,75,9,0
0,1,9,0,3,0,0,72,1,0
0.0897308,3,96,2,30,0,0,279,29,0
0.152666,2,128,1,30,0,3,576,11,1
0,2,28,1,14,0,0,112,12,0
0.0589604,5,102,0,11,0,0,366,11,0
0,2,4,2,3,1,0,23,2,0
0,1,8,2,4,0,0,33,1,0
0,11,38,6,32,2,1,181,33,0
0,11,36,3,27,3,0,142,50,0
0,1,4,0,3,0,0,36,3,0
0,2,51,1,9,0,0,198,6,0
0,1,8,1,16,0,2,86,8,0
0,0,3,3,1,0,0,25,1,0
0,8,29,1,21,1,0,147,9,0
0,2,17,1,9,1,0,79,9,0
0,9,9,2,17,1,0,48,17,0
0,9,9,2,17,1,0,47,17,0
0,1,5,3,13,0,0,42,5,0
0,1,5,2,13,0,0,50,5,0
0,1,5,2,13,0,0,38,5,0
0,1,5,2,13,0,0,37,5,0
0.534296,1,5,2,13,0,0,55,5,0
0,1,5,2,13,0,0,38,5,0
0,1,5,2,13,0,0,36,5,0
0,1,5,2,13,0,0,38,5,0
0,1,5,2,13,0,0,37,5,0
0,1,5,2,13,0,0,37,5,0
0,1,5,2,13,0,0,38,5,0
0,7,15,5,24,1,0,85,15,0
0,6,16,2,16,1,0,72,14,0
0,6,14,2,16,1,0,69,14,0
0,7,14,4,19,1,0,72,14,0
0.543716,8,14,4,20,1,0,96,14,0
0,8,14,3,20,1,0,82,14,0
0,8,14,4,30,1,0,93,14,0
0,7,14,5,21,1,0,71,14,0
0,7,14,5,21,1,0,71,14,0
0,7,14,4,19,1,0,77,14,0
0,7,14,4,19,1,0,81,14,0
0,8,14,2,14,1,0,64,14,0
0,7,14,4,19,1,0,73,14,0
0.506329,8,20,3,22,1,0,141,14,0
0,1,5,2,13,0,0,37,5,0
0,1,6,2,13,0,0,45,5,0
0,1,10,2,9,0,0,53,5,0
0,5,15,3,18,1,2,64,9,0
0,1,30,2,24,0,0,283,12,0
0,2,12,2,9,0,2,62,2,0
0,0,2,1,4,2,28,9,9,0
0,1,5,2,5,2,1,35,9,0
0,5,9,3,12,1,1,38,8,0
0,1,5,1,9,2,0,27,14,0
0,2,17,1,12,1,3,77,10,0
0.69697,1,6,0,3,0,0,23,3,0
0,1,22,0,19,0,0,95,19,0
0,1,5,0,4,0,0,20,4,0
0.567129,3,125,0,27,0,0,627,24,0
0.90764,1,139,0,25,0,0,1057,25,0
0,7,25,1,11,0,0,86,9,0
0,1,14,0,6,0,0,128,6,0
0.928237,4,7,1,13,0,0,278,7,0
0,1,2,0,2,0,0,28,2,0
0,2,6,0,2,0,0,49,2,0
0,1,12,0,5,0,0,58,4,0
0.536585,10,10,1,12,0,0,105,10,0
0,1,18,0,11,0,0,70,11,0
0,1,19,0,12,0,0,76,12,0
0,1,6,1,1,1,0,43,1,0
0,1,2,1,2,1,0,12,2,0
0.129032,10,10,5,25,0,0,168,10,0
0.227545,1,12,2,6,0,0,61,1,0
0,1,1,1,1,0,0,16,1,0
0,5,17,3,19,1,0,96,17,0
0,1,33,7,33,0,0,125,11,0
0,34,48,11,52,1,0,232,48,0
0,2,11,6,12,2,0,56,9,0
0,3,13,4,14,1,0,64,8,0
0.242481,1,59,19,72,0,0,528,24,0
0.0959326,11,319,67,203,3,0,1994,87,1
0,1,2,7,7,0,0,19,1,0
0,1,1,6,5,0,0,18,1,0
0,1,1,5,5,0,0,17,1,0
0,1,6,8,11,1,0,28,3,0
0,3,87,27,169,3,0,678,83,1
0,1,1,1,1,0,0,9,0,0
0,0,0,0,0,0,0,5,0,0
0.10114,5,325,84,308,2,1,1898,114,1
0,1,2,1,2,0,0,9,1,0
0,1,1,1,2,0,0,5,1,0
0,1,1,1,2,0,0,5,1,0
0,10,13,3,12,1,0,40,11,0
0,1,64,15,26,0,0,274,7,0
0,1,1,0,1,0,0,6,1,0
0,5,10,1,9,1,1,42,10,0
0,0,4,0,2,0,0,27,2,0
0,4,73,25,68,1,0,423,41,0
0,2,4,1,5,0,0,20,2,0
0.230769,1,18,6,20,1,2,119,15,1
0,1,16,7,26,0,2,137,11,0
0,0,1,2,2,1,0,5,1,0
0,0,1,2,2,1,0,5,1,0
0,0,1,2,2,1,0,5,1,0
0,1,1,3,2,1,0,6,1,0
0,1,8,5,9,1,0,41,1,0
0,1,1,3,1,1,0,6,1,0
0,3,6,7,16,2,0,44,18,1
0,1,7,4,5,1,0,23,2,0
0,1,4,5,6,1,0,21,1,0
0,2,11,11,19,0,0,82,4,0
0.175238,2,17,9,35,0,0,182,11,0
0,14,14,3,14,1,0,66,14,0
0,2,23,15,42,1,0,132,20,0
0,3,25,14,37,1,0,105,16,0
0,1,2,4,3,2,0,11,16,1
0,1,3,2,2,1,0,11,3,1
0,1,2,2,2,1,0,11,3,0
0,1,3,2,4,1,0,31,2,0
0,2,56,5,26,1,1,214,14,0
0,1,12,10,15,1,4,60,25,0
0,0,2,1,4,2,0,13,8,0
0,3,13,1,7,0,0,49,5,0
0,2,12,12,10,0,0,66,7,0
0,1,4,1,4,0,1,23,4,0
0,3,28,10,24,2,2,117,21,0
0,2,26,14,35,3,4,145,24,1
0.137931,2,17,18,25,2,0,82,27,0
0,2,12,13,21,2,0,69,27,1
0,2,4,2,7,4,0,20,27,0
0,2,12,6,20,4,0,60,34,0
0,0,9,1,7,1,0,45,9,0
0,1,100,35,184,0,1,411,89,0
0,1,53,10,107,1,0,213,142,0
0,2,51,21,36,0,0,256,16,0
0,0,6,5,6,0,1,24,3,0
0.84375,0,8,2,5,1,0,40,2,0
0.678392,0,9,2,5,1,0,51,2,0
0,0,2,2,3,1,0,11,2,0
0,3,42,10,30,1,0,173,24,1
0,1,3,4,7,1,5,13,7,1
0,1,23,5,17,2,0,83,26,1
0,1,16,12,19,2,0,59,9,1
0,1,13,9,15,2,0,70,10,0
0,1,8,7,9,2,0,39,9,0
0,1,26,15,24,2,0,117,11,1
0,1,14,9,14,2,0,57,9,1
0,0,6,1,6,1,2,32,6,0
0,0,23,1,15,0,0,79,13,0
0,1,1,1,1,1,0,8,1,0
0,1,1,1,1,1,0,5,1,0
0,1,1,1,1,1,0,5,1,0
0,1,1,1,1,1,0,5,1,0
0,1,2,1,1,1,0,8,1,0
0,1,1,1,1,1,0,5,1,0
0,1,1,1,1,1,0,5,1,0
0,1,1,1,1,1,0,5,1,0
0,1,1,1,1,1,0,5,1,0
0,0,2,2,4,1,0,15,5,0
0,3,77,24,63,1,1,451,29,1
0,0,3,4,6,1,0,27,8,0
0,0,2,2,4,1,0,13,5,0
0,0,5,2,5,1,0,36,5,0
0,0,2,0,2,0,0,13,2,0
0,1,3,1,3,0,3,27,3,0
0,0,1,1,2,2,0,6,7,0
0,0,1,1,2,2,0,6,7,0
0,0,5,3,6,1,0,47,5,0
0,0,11,4,13,2,0,61,17,0
0,0,8,2,6,0,2,49,5,0
0,1,7,1,8,1,0,37,9,0
0,5,20,6,17,0,0,83,9,1
0,3,34,17,42,3,1,206,28,1
0,1,8,6,10,0,0,52,3,0
0,1,19,4,24,0,3,134,12,1
0,1,8,8,15,4,0,29,28,0
0.335294,1,14,0,3,0,0,44,3,0
0,3,8,4,9,0,0,43,5,0
0,3,81,34,148,3,1,355,130,0
0,1,3,4,5,0,0,13,1,0
0,2,69,17,130,2,3,323,66,0
0,1,3,6,8,1,0,18,1,0
0,2,4,1,3,0,0,21,3,0
0,2,5,3,10,1,0,28,16,0
0.106349,3,65,35,77,5,2,429,152,1
0,1,1,1,2,0,0,5,1,0
0.372483,5,20,12,27,6,0,96,156,1
0.300716,1,228,26,140,6,1,1057,221,0
0,1,10,2,12,0,0,53,3,0
0,2,4,3,8,1,0,23,15,0
0.340491,4,21,13,28,7,0,103,228,0
0.0717842,2,181,43,171,2,0,737,82,0
0.359015,1,79,30,52,2,0,275,41,0
0,0,1,2,2,6,0,6,162,0
0,4,6,8,14,6,0,42,167,1
0.0474252,2,215,77,211,4,1,1026,141,1
0,1,33,14,25,0,0,132,2,0
0.152403,6,63,21,65,5,2,298,161,1
0,1,20,8,15,1,0,81,8,0
0,1,25,6,11,1,0,101,6,0
0,1,20,1,9,0,0,96,9,0
0,1,2,1,2,0,0,20,2,0
0,0,2,2,3,0,5,13,1,0
0,2,115,20,72,3,0,448,64,0
