CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,1,6,1,4,0,0,30,1,0
0,1,2,3,4,1,0,21,8,0
0,1,3,1,3,0,0,23,1,0
0,2,2,2,4,1,0,16,8,0
0,1,12,0,6,0,0,52,6,0
0,0,2,0,2,0,0,11,2,0
0,0,3,0,3,0,0,13,3,0
0,0,0,0,0,0,0,2,0,0
0,1,10,0,8,0,0,48,8,0
0,1,10,2,11,0,0,80,7,1
0,2,5,3,13,1,0,35,11,0
0,2,17,2,10,0,0,115,5,0
0.6375,1,7,3,12,1,0,67,11,0
0.183711,1,47,13,35,1,0,292,5,0
0.241135,1,16,7,13,0,0,129,1,0
0,1,1,3,5,1,0,27,7,0
0,1,2,7,12,1,0,58,7,0
0,1,1,7,11,1,0,43,7,0
0,1,28,7,22,0,0,163,3,0
0,2,5,4,6,0,0,32,3,0
0,2,4,5,7,0,0,29,3,0
0,1,3,2,3,1,0,20,3,0
0,1,13,8,18,1,0,101,7,0
0.108033,1,22,1,18,0,0,121,13,0
0,1,1,2,7,1,0,19,7,0
0,1,36,37,54,2,0,224,2,0
0,1,2,2,4,2,9,13,4,0
0,1,4,1,9,1,0,39,9,1
0.484076,1,7,6,15,1,6,53,8,0
0,1,2,3,5,2,0,14,9,0
0,2,11,6,15,0,0,73,2,0
0,1,5,4,10,0,0,29,2,0
0,1,2,4,7,2,0,22,9,0
0,1,8,6,9,0,0,101,4,0
0,1,14,3,15,0,0,62,1,0
0,1,3,3,9,2,0,23,9,0
0.841975,1,31,6,45,2,0,363,31,0
0.841975,1,31,6,45,2,0,363,31,0
0,1,5,4,14,2,0,49,12,0
0,1,1,2,2,1,0,11,5,0
0,1,1,2,1,1,0,8,5,0
0,1,9,7,8,2,0,56,6,0
0,2,9,10,18,3,0,62,5,1
0,1,7,0,3,0,0,24,3,0
0,1,6,0,5,0,0,30,4,0
0,0,4,5,11,3,5,31,4,0
0,1,7,7,14,1,0,39,6,0
0.225664,1,15,9,20,2,0,113,7,0
0,3,13,13,28,4,0,97,5,1
0,1,13,6,11,0,0,83,2,0
0,1,3,4,6,1,0,15,5,0
0.414141,2,3,6,12,3,0,28,5,1
0,1,9,18,26,2,0,74,2,1
0,1,4,0,2,0,0,21,1,0
0,1,4,6,7,0,0,45,1,0
0.244147,1,3,6,8,0,0,53,1,0
0,1,4,9,11,0,0,29,1,0
0.21988,1,3,7,8,0,0,61,1,0
0,1,5,10,11,0,0,31,1,0
0,1,20,13,22,0,0,109,1,0
0,1,5,4,5,0,0,31,1,0
0,1,15,10,26,0,0,140,1,0
0,1,4,7,12,3,2,28,4,1
0,1,1,2,2,1,0,8,4,0
0,1,3,5,5,1,0,21,5,0
0,1,1,2,2,1,0,11,5,0
0,1,1,2,1,1,0,7,5,0
0,1,1,2,1,1,0,7,5,0
0,1,3,3,3,1,0,20,5,0
0.282178,2,4,10,15,3,0,44,5,1
