CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,0,4,4,8,1,0,22,14,0
0.102713,5,26,3,19,0,0,150,14,0
0,0,1,0,1,0,0,9,1,0
0.462871,5,20,0,9,0,1,146,2,0
0,1,1,0,1,0,0,5,1,0
0.703704,1,5,0,2,0,0,27,1,0
0.197674,3,14,1,8,0,0,85,6,0
0,0,1,0,1,0,0,6,1,0
0.296825,6,21,3,11,0,0,220,7,0
0,1,1,0,1,0,0,5,1,0
0.703704,1,5,0,2,0,0,27,1,0
0,2,16,9,17,0,1,59,10,0
0,4,8,0,4,0,0,70,2,0
0,1,1,0,1,0,0,6,1,0
0,1,3,0,1,0,0,17,1,0
0,1,2,0,1,0,0,14,1,0
0,1,2,0,2,0,0,14,1,0
0,3,20,0,3,0,0,86,1,0
0,1,2,0,2,0,0,15,1,0
0,0,2,2,2,1,0,19,3,0
0,1,2,0,1,0,0,6,1,0
0,1,1,0,1,0,0,6,1,0
0,0,9,1,7,0,0,39,5,0
0,1,3,2,3,1,0,20,3,0
0,1,1,0,1,0,0,6,1,0
0,1,2,0,1,0,0,6,1,0
0,1,1,0,1,0,0,6,1,0
0,1,4,0,4,0,2,19,3,0
0,3,4,3,4,1,2,19,20,0
0,7,12,7,14,1,0,63,24,0
0,1,2,3,2,2,0,16,21,0
0,5,7,3,5,1,0,35,22,0
0,7,7,2,7,1,0,45,25,0
0,2,3,3,3,2,0,21,22,0
0,3,33,6,30,0,4,185,20,0
0,0,1,0,1,0,0,7,1,0
0.941176,2,5,0,3,0,0,31,3,0
0,1,2,0,2,0,0,21,2,0
0,1,2,0,2,0,0,24,2,0
0,2,4,2,4,1,0,32,8,0
0,0,3,1,3,1,0,14,7,0
0,0,3,1,3,1,0,29,7,0
0,0,2,1,2,1,0,11,6,0
0,1,1,0,1,0,0,11,1,0
0,0,3,1,3,1,0,29,7,0
0,1,4,1,5,0,7,39,4,0
0,7,25,7,11,0,0,211,7,1
0,1,2,0,1,0,0,8,1,0
0,2,3,2,3,2,0,29,8,0
0,5,6,0,5,0,0,31,5,0
0,5,6,0,5,0,0,31,5,0
0,5,7,0,5,0,0,29,5,0
0,5,7,0,5,0,0,29,5,0
0,5,7,0,5,0,0,29,5,0
0,5,7,0,5,0,0,29,5,0
0,2,2,0,2,0,0,13,2,0
0,2,2,0,2,0,0,14,2,0
0,0,3,1,3,1,0,20,16,0
0,1,2,3,2,4,0,13,8,0
0,4,5,0,4,0,0,24,4,0
0,4,5,0,4,0,0,24,4,0
0,4,5,0,4,0,0,24,4,0
0,15,60,2,22,0,0,255,19,0
0,4,22,4,4,2,0,66,4,0
0,4,12,0,8,0,0,65,6,0
0,0,3,1,3,1,0,19,16,0
0,1,2,3,2,4,0,13,8,0
0,3,11,0,3,0,0,29,3,0
0,3,7,0,3,0,0,22,3,0
0,3,8,0,3,0,0,22,3,0
0,3,5,0,3,0,0,19,3,0
0,3,6,0,3,0,0,18,3,0
0,1,14,0,8,0,0,44,7,0
0,0,9,0,7,0,0,60,0,0
0,1,1,1,1,0,0,22,1,0
0,2,2,0,2,0,0,9,2,0
0,3,3,1,3,0,0,39,3,0
0,0,2,4,6,0,4,13,0,0
0.0650591,2,67,43,68,1,0,560,22,1
0,0,0,0,0,0,0,5,0,0
0,1,1,1,1,0,0,8,1,0
0,2,2,10,6,1,0,13,2,0
0,2,2,9,7,1,0,11,2,0
0,1,1,3,2,0,0,7,1,0
0,0,0,1,0,0,0,12,0,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,3,0,0
0,1,2,7,3,0,0,12,1,0
0,1,4,2,1,0,0,26,1,0
0,0,3,0,3,0,2,30,3,0
0.0747996,2,44,27,50,2,0,292,26,0
1,2,3,4,4,0,0,12,2,0
0,2,3,5,4,0,0,12,2,0
0,2,3,5,6,0,0,13,2,0
0,2,2,3,3,0,0,11,2,0
1,2,3,4,4,0,0,12,2,0
0,2,2,1,3,0,0,11,2,0
0,2,2,3,3,0,0,11,2,0
0,1,3,3,3,0,0,31,1,0
0,2,2,3,2,0,2,21,2,0
0,3,4,2,4,1,0,22,4,0
0,0,0,1,0,0,0,3,0,0
0,1,2,1,3,0,0,13,2,0
0.150943,6,6,11,6,0,0,193,6,0
0,12,49,7,16,0,5,327,14,0
0,0,2,0,2,0,0,11,2,0
0,1,4,0,2,0,0,20,1,0
0,4,14,2,5,0,0,86,1,0
0,0,2,1,2,1,0,12,2,0
0,1,6,0,3,0,0,23,3,0
0.0261158,2,138,30,121,1,5,1113,52,0
0,1,7,8,10,0,0,55,3,0
0,7,10,4,7,0,0,57,7,0
0,2,41,19,52,1,1,240,21,0
0,5,16,5,10,0,0,69,10,0
0.0407407,19,52,6,22,1,5,432,20,0
0,1,5,3,2,0,0,48,1,0
0,13,58,9,15,1,4,403,15,0
0,1,33,0,15,0,4,150,15,0
0,0,3,1,5,1,1,30,6,0
0,1,9,1,4,1,0,48,8,0
0,1,3,1,1,1,0,8,1,0
0,1,1,1,1,1,0,6,1,0
0,1,1,3,2,1,0,6,1,0
0,0,3,1,5,1,1,30,6,0
0,4,4,6,8,2,0,22,55,0
0,1,35,13,28,2,0,187,12,0
0,1,1,2,1,1,0,6,1,0
0,3,4,2,4,1,0,22,4,0
0,1,33,26,42,3,0,226,13,0
0,1,1,1,1,1,0,6,0,0
0,1,1,1,1,1,0,7,0,0
0,1,1,1,1,1,0,6,0,0
0,1,1,1,1,1,0,6,0,0
0,0,1,0,1,0,0,7,0,0
0.504132,1,16,5,13,4,0,75,9,0
0,0,1,0,1,0,0,7,0,0
0,1,1,5,3,2,0,9,21,0
