CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0.0938761,9,176,15,78,2,2,1407,35,1
0,1,65,4,27,0,2,336,17,0
0,0,11,4,14,0,0,172,11,0
0,1,17,1,16,0,3,184,15,0
0,0,7,1,7,0,16,76,7,1
0,0,4,1,4,1,4,42,11,0
0,2,113,18,84,0,0,925,26,0
0,4,34,8,26,2,7,298,12,1
0,1,4,1,4,0,0,43,3,0
0,1,25,2,12,0,0,204,5,0
0,1,75,10,39,0,0,598,5,1
0.0686084,6,215,10,82,1,3,1564,31,1
0,0,1,1,1,0,2,13,1,0
0,0,1,1,1,0,1,17,1,0
0,0,0,2,0,1,4,3,2,0
0,0,0,2,0,1,1,3,2,0
0,0,1,1,1,0,2,11,1,0
0,0,1,1,1,0,2,13,1,0
0,0,2,2,2,0,2,18,2,0
0,0,3,0,3,0,0,33,3,0
0,0,4,2,7,1,0,43,19,0
0,0,14,0,14,0,1,132,14,0
0.123508,1,166,23,58,0,0,1120,24,1
0,1,17,1,12,0,0,147,9,0
0,0,1,0,1,0,0,141,0,1
0.104218,1,136,18,59,1,0,993,5,1
0,1,8,4,10,3,0,62,16,1
0,1,23,1,4,0,0,132,3,0
0,13,218,32,203,1,1,2287,103,1
0,1,12,2,11,0,30,144,10,0
0,10,49,8,37,0,2,496,17,1
0.0633037,1,65,3,30,0,0,582,18,1
0,1,59,10,34,0,0,434,22,1
0,0,2,2,2,1,3,22,9,0
0,1,55,8,39,1,0,424,24,1
0,3,43,8,57,1,139,449,29,0
0.386207,1,17,8,13,2,0,131,36,0
0,0,1,1,1,0,11,9,1,0
0,0,5,1,5,0,2,42,5,0
0,1,87,15,92,2,0,638,48,1
0,0,2,1,3,1,0,24,17,0
0,0,2,1,3,1,0,23,17,0
0,1,50,13,33,2,0,421,12,1
0,0,3,2,3,2,2,27,32,0
0.29902,1,23,4,6,0,0,94,1,0
0,0,1,0,1,0,1,7,1,0
0,4,19,2,12,0,7,168,5,0
0,0,4,3,7,1,12,46,8,0
0,0,1,0,1,0,21,12,1,0
0,2,17,3,8,1,0,118,9,0
0,1,24,5,18,2,0,171,16,0
0,1,10,3,9,2,0,90,12,0
0,1,9,3,10,1,0,80,9,0
0.0247046,1,32,11,31,2,0,338,24,0
0,1,23,5,19,2,0,178,14,0
0,1,22,6,20,2,0,172,15,0
0,1,22,8,24,2,0,177,15,0
0,1,17,4,15,2,0,127,13,0
0,1,41,7,26,2,0,283,15,1
0,0,2,1,4,1,0,22,11,0
0,2,20,2,6,1,0,115,9,0
0,1,14,4,14,2,0,117,13,0
0,1,19,5,17,2,0,150,13,0
0,1,14,4,14,2,0,118,13,0
0,1,30,5,19,2,0,203,14,0
0.131162,2,35,18,28,1,0,329,24,0
0,1,30,12,21,0,0,196,7,1
0,0,6,0,1,0,0,38,1,0
0,4,37,4,33,0,0,325,28,0
0,1,6,4,4,1,0,30,2,0
0,1,28,12,45,1,0,293,20,1
0.0421166,1,17,11,27,1,0,200,19,0
0,1,2,3,5,1,0,15,2,0
0,1,14,4,10,1,1,92,2,0
0.206107,1,6,5,12,2,0,50,4,0
0,0,1,2,1,0,2,16,1,0
0,1,8,0,7,0,1,68,7,0
0,1,6,1,6,1,0,30,10,0
0,1,8,3,8,1,0,60,2,0
0,0,1,0,1,0,1,14,1,0
0,0,1,0,1,0,0,13,1,0
0,1,46,3,14,0,0,315,1,1
0,1,62,0,10,0,0,412,9,1
0.053528,1,20,2,2,3,0,145,12,0
0,1,44,7,24,2,0,279,12,0
0,1,26,5,16,1,0,146,8,1
0.0326894,1,26,12,40,3,0,213,13,1
0,0,3,1,5,3,0,39,12,0
0,0,1,1,2,3,0,5,36,0
0.125996,1,95,14,76,2,4,758,62,1
0,3,36,13,46,2,2,342,41,0
0,1,95,16,90,2,0,662,48,1
0.156272,3,11,6,17,2,0,113,32,0
0,2,12,9,25,2,0,123,32,1
0,0,6,3,5,2,3,51,33,0
0,4,19,10,28,4,0,186,153,1
0,1,79,12,45,2,0,431,45,1
0,2,8,7,12,3,0,70,36,0
0,2,3,5,8,3,0,36,36,0
0,1,11,4,8,2,0,56,33,0
0,1,17,5,15,2,0,159,31,0
0,1,16,4,10,2,0,132,34,0
0,1,26,9,39,2,0,205,43,0
0.0284091,1,95,14,44,3,0,573,85,1
0,1,28,14,51,4,0,221,94,1
0,1,29,7,26,2,0,180,39,1
0.0138675,1,87,25,60,2,0,546,49,1
0,1,10,5,14,2,0,76,36,0
0.089647,1,157,21,84,2,2,946,56,1
0,1,22,8,23,2,0,167,37,0
0.188235,1,19,6,16,3,0,127,74,0
0.397516,1,12,4,13,2,0,80,34,0
0,0,1,1,2,3,0,8,63,0
0,2,17,9,27,3,3,134,43,0
0,1,14,4,11,2,0,82,34,0
0.0643642,1,71,16,53,4,1,517,58,1
0,1,115,37,101,3,0,643,107,1
0,1,12,3,7,2,0,76,31,0
0,1,19,24,35,3,0,120,75,1
0,1,1,3,2,2,0,15,30,0
0,1,5,4,7,2,0,37,32,0
0.15,1,14,11,24,5,0,116,112,1
0,1,11,7,14,2,0,106,36,0
0,1,7,6,10,2,0,49,17,1
0,1,25,6,20,2,0,196,36,0
0,1,86,16,92,2,1,666,59,1
0.0994764,1,94,14,56,0,1,748,25,0
0,1,40,18,58,1,0,286,12,0
0,1,110,27,78,3,4,680,78,1
0,0,5,0,5,0,5,38,5,0
0,1,15,3,14,1,0,135,8,0
0,1,36,7,18,2,0,160,36,0
0,1,54,18,43,2,1,335,39,1
0,1,13,5,12,2,0,66,33,0
0,1,39,16,46,3,0,305,83,1
0,2,6,6,9,3,0,59,36,0
0,2,3,4,7,3,0,32,36,0
0.236318,1,33,7,24,2,0,270,42,0
0,1,42,10,24,2,0,311,38,1
0,1,14,8,16,2,0,99,32,0
0,1,20,9,24,2,0,129,37,0
0,2,48,7,34,2,1,379,48,1
0.0385157,2,112,23,78,4,2,906,108,1
0.0296912,1,121,24,158,2,1,888,72,1
0.0213476,1,138,16,108,3,1,944,136,1
0.0262591,1,242,36,191,2,0,1714,109,1
0.161654,1,8,5,10,0,0,90,0,0
0.168627,2,22,3,13,1,0,143,5,0
0.0790068,1,22,2,8,2,0,158,36,0
0,1,37,20,34,2,0,208,42,1
0,0,1,2,3,3,0,11,37,0
0,1,23,14,37,2,0,187,39,1
0,1,28,9,25,2,1,192,36,1
0,2,7,3,8,1,2,67,7,0
0.545455,1,4,5,9,2,0,39,12,0
0.0711462,3,62,17,45,3,0,354,48,1
0,2,62,13,63,2,0,339,36,1
0,1,31,9,24,2,0,254,36,0
0,1,52,5,40,0,0,410,16,1
0,1,20,7,14,2,0,152,34,1
0,0,1,0,1,0,0,10,1,0
0,1,21,11,23,2,0,162,36,1
0,1,49,28,83,2,25,389,68,0
0,1,9,4,8,2,0,62,31,0
0.0985782,1,64,11,36,3,0,334,57,1
0,1,10,4,8,2,0,61,32,0
0,2,23,6,26,2,2,169,36,1
0,1,46,7,19,2,0,335,37,1
0,1,24,8,28,2,0,152,39,0
0,1,48,15,40,2,0,385,44,0
0,1,8,11,15,3,0,65,36,0
0.208232,1,29,1,9,0,0,175,5,0
0.0341297,1,86,8,56,2,0,571,54,1
0.156584,1,25,2,19,1,3,202,9,1
0,8,26,11,34,2,0,253,45,1
0,2,49,9,36,2,0,320,17,1
0.180572,1,110,19,64,0,0,756,30,1
0,1,9,5,12,2,0,62,33,0
0,1,58,12,55,3,0,435,83,1
0,1,13,8,15,2,0,93,36,0
0,3,85,16,79,3,0,647,112,1
0,1,81,15,43,3,0,614,67,1
0,0,1,1,2,3,0,12,61,0
0,1,3,3,3,2,1,27,31,0
0,1,52,11,38,3,0,453,55,1
0,1,14,3,14,2,0,149,38,0
0,1,18,0,10,0,0,149,8,1
0,1,83,16,82,2,0,545,55,1
0,2,36,15,62,2,0,326,40,1
0.0586618,1,106,27,108,3,0,705,77,1
0,1,6,1,4,0,0,54,1,0
0,0,1,4,3,6,0,14,59,0
0,1,10,5,13,2,0,103,36,1
0,1,50,18,46,2,0,288,42,1
0,0,0,1,0,4,0,2,78,0
0.146341,1,7,5,10,2,0,80,32,0
0,0,0,1,0,5,1,2,58,0
0,1,23,7,24,2,2,153,36,1
0,1,8,11,22,3,0,100,41,1
0,1,41,16,31,2,0,226,39,1
0,1,12,10,23,3,0,117,43,1
0,1,15,6,19,2,0,127,38,1
0.104895,2,19,10,25,5,0,182,115,1
0,1,19,6,19,2,0,143,35,0
0,0,3,0,3,0,1,40,3,0
0,0,1,2,1,1,1,7,4,0
0,0,1,2,1,2,1,8,5,0
0,0,1,0,1,0,2,7,1,0
0,0,1,1,1,0,1,7,1,0
0,4,107,28,93,3,0,909,100,1
0,1,113,10,61,2,0,616,44,1
0.0163551,1,237,33,120,3,1,1588,95,1
0,1,12,9,20,2,0,118,3,0
0,1,2,7,13,2,0,40,3,0
0,0,2,2,2,0,1,16,2,0
0,1,28,14,9,0,0,145,1,0
0.112721,1,110,16,83,1,10,601,3,1
0,1,17,8,25,2,0,115,4,1
0,1,4,8,9,2,0,52,3,0
0,1,3,5,5,2,0,36,3,0
0,1,7,9,21,2,0,56,3,0
0.355662,1,31,8,27,2,0,194,3,0
0.166667,1,11,8,24,2,0,83,3,0
0.536885,1,11,8,20,2,0,84,3,0
0,1,3,6,10,2,0,30,3,0
0,1,3,3,3,2,0,18,32,0
0,1,21,4,14,1,0,98,5,0
0,0,1,1,1,0,33,8,1,0
0,1,26,22,30,1,7,269,31,0
0,1,7,2,5,1,0,48,4,0
0,1,9,2,6,1,0,61,5,0
0,1,7,3,8,1,0,68,4,0
0,1,10,5,12,1,0,55,5,0
0.242938,1,26,7,21,1,0,152,18,0
0,1,9,4,6,1,0,55,13,0
0,1,3,2,4,1,0,28,3,0
0,1,4,3,3,1,0,26,12,0
0,1,7,7,13,3,0,53,46,0
0,1,18,4,9,1,0,154,14,0
0,1,8,5,9,1,0,58,13,1
0,1,3,4,5,1,0,26,12,0
0,1,15,7,11,2,0,99,20,1
0,1,4,3,3,1,0,26,12,0
0,1,14,6,13,1,0,98,17,0
