CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,0,1,1,2,1,0,6,5,0
0,0,1,0,1,0,21,12,1,1
0,0,1,3,1,1,20,17,2,1
0,0,0,0,0,0,0,4,0,0
0,0,35,18,35,1,1,303,37,1
0,0,1,1,1,0,11,9,1,1
0,0,4,0,4,0,4,17,4,0
0,1,4,2,6,1,8,25,7,1
0,0,2,4,4,3,0,11,52,0
0,0,3,3,3,0,1,26,3,0
0,0,2,0,2,0,0,7,0,0
0,0,0,2,0,1,4,2,2,0
0,0,0,0,0,0,0,4,0,0
0,0,14,7,14,0,3,102,14,1
0,0,2,0,2,0,0,6,0,1
0,0,26,4,26,0,1,202,26,1
0,3,21,0,6,0,0,97,6,0
0,1,18,2,18,0,0,96,14,1
0,0,2,2,3,2,0,15,9,0
0,0,3,3,6,1,0,19,7,1
0,0,1,1,1,0,49,10,1,0
0,0,2,3,3,1,0,12,6,1
0,0,1,0,1,0,0,5,0,0
0,0,2,1,2,0,9,6,2,0
0,0,0,0,0,0,0,4,0,0
0,0,0,1,0,0,0,5,0,0
0,0,0,1,0,0,0,5,0,0
0,0,2,1,2,0,1,6,2,0
0,1,5,1,6,1,0,28,7,0
0,0,3,4,7,2,0,20,10,1
0,0,2,4,6,2,0,16,9,1
0,0,3,3,5,2,0,25,10,0
0,0,22,1,22,0,1,157,22,1
0,0,2,0,2,0,0,7,0,0
0,0,2,1,3,1,0,13,6,1
0,0,2,1,3,1,0,15,6,1
0,1,6,2,7,2,0,32,10,1
0,0,2,1,3,1,0,13,6,0
0,1,6,2,7,2,0,32,10,1
0,0,6,1,5,1,0,38,8,1
0,0,0,0,0,0,0,4,0,0
0,0,1,1,1,0,0,9,0,0
0,0,3,2,3,2,1,34,5,0
0,0,2,0,2,0,11,23,2,0
0,0,1,1,1,0,304,9,1,0
0,0,2,0,2,0,0,7,0,0
0,0,4,5,4,1,3,24,7,0
0,0,33,6,33,1,1,370,35,1
0,0,0,0,0,0,0,4,0,0
0,0,1,0,1,0,0,5,0,0
0,0,0,0,0,0,0,4,0,0
0,0,3,1,5,1,0,18,7,1
0,2,12,3,11,0,1,68,10,0
0,0,3,3,3,0,1,17,3,1
0,0,4,0,4,0,17,18,4,0
0,0,3,2,5,1,1,22,7,1
0,0,3,1,6,1,2,16,7,0
0,0,3,1,6,1,0,16,7,0
0,0,2,0,2,0,14,16,2,0
0,0,2,1,2,0,9,26,2,0
0,0,2,2,4,2,2,10,9,0
0,4,12,11,16,1,0,71,11,0
0,0,0,0,0,0,0,3,0,0
0.135065,1,24,13,33,2,2,132,65,0
0,1,12,7,17,0,2,57,10,0
0,1,6,2,7,1,0,39,9,0
0,2,32,7,34,2,0,164,27,0
0,1,3,0,3,0,3,17,3,0
0.33121,1,7,2,7,1,0,51,8,0
0,4,20,3,21,0,0,107,16,0
0,2,6,1,6,1,1,32,9,0
0,2,14,3,10,2,0,75,10,0
0,1,21,7,14,1,1,96,3,0
0,1,4,8,11,3,0,26,17,0
0,2,26,10,32,2,1,151,15,0
0,0,2,3,4,2,0,12,9,0
0,2,14,5,17,0,0,75,14,0
0,1,14,9,19,2,0,72,16,0
0,1,9,7,11,2,0,40,11,0
0,1,24,18,34,2,0,135,16,0
0,1,8,4,9,1,7,41,3,0
0,9,11,4,21,0,0,92,10,1
0,18,38,13,52,0,1,233,28,1
0,1,2,2,2,1,0,11,2,0
0,1,22,15,36,0,0,163,19,1
0,1,42,17,59,2,0,246,41,1
0,0,4,3,4,0,1,25,4,1
0,1,7,6,10,2,0,32,7,1
0,1,5,3,5,1,6,22,5,1
0.253938,30,47,5,41,0,0,362,33,1
0,1,45,10,72,2,0,455,64,1
0,1,11,6,13,2,0,56,14,1
0,2,2,4,2,2,0,9,5,1
0,1,2,1,2,2,0,10,52,0
0.476499,13,17,7,19,0,0,133,16,0
0,0,1,2,1,0,0,9,1,0
0,1,3,2,3,1,6,12,2,0
0.754951,4,12,3,12,0,0,96,11,1
0,0,1,1,1,0,3,5,1,0
0,1,34,16,53,1,541,208,51,1
0,1,27,5,45,1,1,187,24,1
0,0,1,1,1,0,0,7,0,0
0,0,1,1,1,0,0,6,0,0
0,0,1,1,1,0,0,6,0,0
0,0,1,1,1,0,0,6,0,0
0,0,1,1,1,0,0,6,0,0
0,0,1,1,1,0,0,6,0,0
0,1,84,6,63,1,0,563,47,0
0,0,3,1,6,1,0,14,7,0
0,1,3,5,4,1,0,15,3,0
0,1,1,4,2,1,0,6,1,0
0,0,1,1,1,0,0,6,0,0
0,1,16,6,20,1,0,97,8,0
0,1,17,1,8,1,0,69,8,0
0,0,2,2,3,1,0,11,2,0
0,1,1,3,1,1,0,6,1,0
0,0,2,1,3,2,0,12,9,0
0,1,21,3,9,0,0,70,4,0
0,2,15,4,17,0,0,109,11,0
0,0,2,1,2,0,3,6,2,0
0,0,1,1,1,0,3,4,1,0
0,0,2,2,3,1,0,12,2,0
0,1,1,3,1,1,0,6,1,0
0,0,2,2,3,1,0,12,2,0
0,1,1,3,1,1,0,6,1,0
0.099187,2,75,12,60,1,0,417,40,1
0,1,37,12,46,1,0,245,27,0
0,1,4,2,3,3,5,22,24,0
0,1,17,5,12,5,3,87,41,0
0,1,6,5,10,4,0,34,84,0
0,1,1,4,2,3,0,7,22,0
0,0,1,4,2,4,1,10,25,0
0,1,2,1,2,0,0,16,1,0
0,4,17,14,27,4,0,129,42,0
0,1,9,9,12,6,0,51,28,0
0,1,2,6,8,5,1,14,26,0
0,1,2,3,3,3,0,14,14,0
0,1,3,0,3,0,0,27,2,0
0,0,1,1,1,0,1,13,1,0
0,1,7,2,2,1,0,31,2,0
0,0,2,3,3,2,0,15,9,0
0,0,1,4,1,0,1,4,1,0
0,2,9,10,19,3,0,53,27,0
0,2,22,9,30,5,0,106,48,0
0,1,5,6,10,2,0,23,38,0
0,0,3,2,3,0,2,8,3,0
0,2,94,27,55,0,0,426,8,1
0,1,16,5,17,0,0,75,10,0
0.0682819,1,31,15,40,2,0,167,19,1
0,1,5,11,13,0,0,33,2,1
0,1,8,7,11,1,0,39,7,0
0,1,6,7,6,1,2,29,1,0
0,1,4,5,6,1,0,37,4,1
0,0,9,0,9,0,0,42,9,0
0,2,42,10,29,0,0,224,14,1
0,1,10,4,11,0,0,51,4,0
0,0,5,0,5,0,1,12,5,0
0,0,2,1,3,1,0,12,6,0
0,0,6,2,6,0,0,33,6,0
0,0,1,2,1,0,1,4,1,0
0,1,10,5,12,0,0,78,5,0
0,1,24,11,24,1,1,100,12,0
0,1,4,8,7,2,0,18,2,1
0,2,4,6,9,2,0,29,3,0
0,2,33,15,24,1,0,170,5,0
0,7,33,10,30,0,0,176,11,0
0,1,5,8,9,3,0,31,26,0
0,0,0,0,0,0,0,21,0,0
0.21791,1,16,9,22,3,0,91,16,0
0,7,36,15,43,2,0,172,55,0
0,4,27,6,32,2,0,127,50,0
0,1,2,2,3,2,0,12,15,0
0,1,21,6,22,3,0,97,35,0
0.0776596,3,36,19,50,3,0,222,16,0
0.222689,0,15,8,15,0,0,105,5,0
0,2,6,10,14,3,0,36,25,0
0.0644391,1,9,13,25,2,0,85,3,0
0,7,31,12,39,1,0,142,27,0
0.0498155,2,16,19,39,2,0,113,9,0
0,1,2,0,1,0,0,38,1,0
0,0,1,0,1,0,1,11,1,0
0,3,7,1,4,0,0,41,3,0
0,1,13,1,5,0,2,46,0,0
0,1,3,3,7,1,0,50,2,0
0,2,5,1,4,0,0,46,2,0
0,1,4,5,10,1,0,53,2,0
0,1,19,0,8,0,2,114,2,0
0,2,7,0,4,0,2,42,1,0
0.5,2,5,3,4,0,0,24,3,0
0.486957,2,5,2,5,0,0,28,3,0
0,1,2,0,2,0,0,13,2,0
0,1,10,1,4,0,0,52,2,0
0.411111,1,6,0,2,0,0,29,2,0
0.420455,1,5,0,2,0,0,28,2,0
0,1,15,1,7,1,0,75,3,0
0,1,7,2,6,1,0,58,3,0
0,1,20,1,7,1,0,95,3,0
0,1,17,2,6,1,0,81,3,0
0,1,7,1,3,1,2,42,4,0
0,1,23,2,8,0,0,169,3,0
0,1,10,1,5,0,0,39,3,0
0,0,4,0,4,0,1,30,4,0
0,1,4,4,4,0,0,25,1,0
0,0,14,2,11,2,0,87,5,0
0,1,4,0,4,0,0,24,4,0
0,0,10,1,7,2,0,52,5,0
0,0,4,0,4,0,1,19,4,0
0,5,18,1,6,0,0,65,0,0
0,1,1,1,1,0,0,6,1,0
0,1,20,7,15,0,0,96,10,0
0,2,25,12,24,0,0,149,10,0
0,0,1,0,1,0,0,33,0,0
0,1,19,4,14,0,0,85,11,0
0.727891,1,8,1,4,0,2,38,0,0
0,0,1,2,1,1,0,8,1,0
0,0,1,2,1,1,0,6,1,0
0,1,1,2,3,0,0,7,1,0
0.214654,1,61,11,32,0,0,257,12,0
0,2,21,2,5,0,0,87,2,0
0,1,3,0,2,0,0,21,2,0
0,1,4,0,2,0,0,25,2,0
0,0,0,0,0,0,0,3,0,0
0,3,7,0,6,0,0,29,6,0
0,3,6,1,6,0,0,31,6,0
0,1,6,0,6,0,0,28,6,0
0,0,3,1,4,0,0,20,3,0
0,0,7,1,3,0,0,32,0,0
0,2,12,2,11,0,0,86,6,0
0,0,4,2,4,0,1,26,4,0
0,1,1,6,4,3,0,8,22,0
0,1,10,7,17,3,0,59,14,1
0,4,27,14,40,3,0,164,92,1
0,2,19,6,22,1,2,96,12,1
0,1,7,2,9,2,0,40,18,0
0,1,1,4,3,3,0,8,22,0
0.47651,4,8,8,11,2,0,38,30,1
0.196721,1,10,8,11,3,0,41,15,0
0,0,3,2,3,0,0,22,3,0
0,1,7,3,8,3,0,33,27,0
0,1,3,4,8,3,0,20,14,0
0,5,18,15,29,2,0,82,34,0
0,1,3,6,7,3,0,27,24,1
0.0874126,1,81,10,44,4,0,387,41,1
0,5,80,19,75,3,0,407,76,1
0,1,10,6,12,2,0,49,38,0
0,1,8,3,9,3,0,39,32,0
0,0,3,2,3,0,1,34,3,0
0.154687,1,28,14,30,3,0,162,16,0
0.273904,1,53,15,37,5,0,260,50,0
0,2,4,10,10,4,0,22,39,0
0,0,4,1,5,1,0,28,8,0
0.324468,1,19,12,18,4,0,93,15,0
0,3,19,1,13,0,0,99,5,0
0,1,1,1,1,0,0,6,1,0
0,2,14,10,25,3,0,72,29,0
0,5,42,4,38,0,0,192,35,0
0,7,42,10,38,4,2,199,48,0
0,3,4,1,4,0,0,23,3,0
0,2,15,9,24,3,2,69,37,0
0,0,4,5,7,2,0,22,37,0
0,2,16,4,16,3,0,79,35,0
0.48366,1,17,12,24,3,2,82,13,0
0.254369,1,55,14,37,5,0,265,50,0
0,2,9,10,19,4,0,52,40,0
0.168067,1,19,12,18,4,0,87,15,0
0,1,10,0,3,0,0,66,2,0
0,1,13,2,8,1,0,62,7,0
0,1,5,3,6,2,0,24,10,0
0,1,7,7,7,1,0,29,3,0
0,1,14,8,9,0,0,55,1,1
0,1,18,8,16,1,3,90,7,0
0,0,1,1,1,0,2,11,1,0
0,0,2,1,3,2,0,10,9,0
0,1,19,5,18,2,0,96,18,0
0,1,7,5,7,3,0,45,24,0
0,2,11,7,16,6,0,77,48,0
0,4,4,0,4,0,0,20,4,0
0,1,13,0,13,0,0,69,13,0
0,1,2,1,2,1,0,17,2,0
0,1,7,5,12,0,1,49,3,0
