CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,2,19,1,11,0,0,103,7,0
0.222222,1,8,1,5,0,0,58,2,0
0.0640341,1,44,2,21,0,0,319,5,0
0,1,13,1,8,0,0,87,5,0
0.26383,2,23,0,2,0,0,130,2,0
0,1,11,0,6,0,0,63,6,0
0.371385,1,35,1,14,0,0,213,7,1
0.967742,0,4,1,1,0,0,24,0,0
0,0,1,1,1,0,0,7,0,0
0.967742,0,4,1,1,0,0,25,0,0
0,1,10,1,5,0,6,85,3,0
0.503632,1,17,5,12,1,0,133,6,0
0.380542,1,30,3,16,0,0,260,4,0
0,1,4,2,4,1,0,31,5,0
0,1,23,5,15,1,0,106,5,0
0.594737,1,17,5,11,1,0,99,5,0
0.61,1,22,2,10,1,0,128,5,0
0.19891,1,17,6,13,1,0,101,5,0
0,2,10,0,4,0,0,63,4,1
0,1,3,1,2,0,0,25,1,0
0,1,7,0,2,0,0,43,2,0
0,1,3,2,3,1,0,17,2,0
0,1,12,2,4,1,0,28,2,0
0,1,7,2,4,1,0,24,2,0
0,1,13,0,13,0,0,74,13,0
0,1,11,6,4,0,0,49,3,0
0,1,15,2,11,0,0,95,2,0
0,0,1,1,1,0,4,7,1,0
0,1,14,2,4,1,0,28,2,0
0,4,21,0,12,0,0,192,9,0
0.166667,3,54,0,16,0,0,325,8,0
0,1,19,0,8,0,0,144,8,0
