CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0.0655106,1,93,37,134,0,0,812,70,0
0,1,68,30,137,0,0,408,57,0
0.0557276,1,68,26,86,0,0,440,1,1
0,1,15,0,12,0,0,71,12,0
0,1,22,8,20,3,0,111,16,0
0,1,16,7,15,3,0,78,14,0
0,1,9,4,10,2,0,73,21,0
0,2,56,12,51,0,0,285,19,0
0,1,13,3,14,2,0,77,8,0
0,1,12,9,21,2,0,66,40,0
0,1,33,17,58,2,0,229,40,0
0,1,88,12,54,1,0,508,34,0
0.0665054,1,55,8,37,1,0,201,23,1
0,1,21,3,10,3,0,122,38,0
0,1,8,3,7,3,0,45,38,0
0,0,10,12,21,2,2,58,35,0
0,1,12,3,9,1,0,61,12,0
0,1,10,5,12,1,0,60,11,0
0,1,25,1,36,0,0,124,18,0
0.35119,1,10,4,10,1,0,45,11,0
0.0600462,1,47,8,45,1,0,243,32,0
0,1,28,3,22,0,0,158,14,0
0.3125,1,16,6,19,1,0,74,17,1
0,1,31,12,38,1,0,139,19,1
0,1,42,9,39,1,0,175,30,0
0.235294,1,21,5,22,1,0,98,21,1
0.209964,1,17,8,17,1,0,76,14,0
0.066383,1,69,14,77,1,5,366,35,1
0.0969932,1,63,10,84,1,0,337,50,0
0.0251799,1,72,13,56,1,0,381,33,1
0,1,52,14,63,1,0,285,35,0
0,1,72,11,85,1,0,373,50,0
0,1,11,6,29,2,0,76,42,0
0,6,54,11,52,0,21,266,7,0
0,1,21,3,15,1,0,99,17,0
0,0,9,1,10,0,0,45,9,0
0,0,1,1,1,1,0,7,2,0
0.178102,1,51,8,37,0,0,345,27,0
0.13784,4,74,9,42,0,0,373,24,1
0,1,10,1,12,0,3,44,9,0
0,0,4,0,4,0,3,36,4,0
0,0,1,1,1,1,0,7,2,0
0,0,5,0,2,0,2,34,2,0
0,1,18,2,11,0,0,103,10,0
0,1,4,1,4,0,1,19,4,0
0,2,10,2,10,1,0,43,14,0
0,1,5,0,2,0,0,27,1,0
0.0328384,1,174,46,185,1,0,1033,49,1
0,2,17,4,22,1,0,93,17,0
0,0,3,5,3,0,1,9,3,0
0,1,11,6,11,0,0,82,3,0
0,0,1,2,1,0,2,5,1,0
0,0,1,2,1,0,1,4,1,0
0,1,6,3,16,0,0,50,4,1
0,0,8,14,8,0,1,128,8,1
0,0,6,1,6,0,1,16,6,0
0,1,18,13,20,0,0,100,2,0
0,0,2,2,2,1,1,7,13,0
0,1,1,3,2,1,1,6,1,0
0,1,16,16,46,0,0,157,3,0
0,0,1,1,1,1,1,5,11,0
0,1,20,3,21,0,0,207,20,0
0,0,1,2,1,0,1,16,1,0
0,1,18,7,16,1,0,68,10,0
0,1,5,3,6,1,0,25,4,0
0,1,16,7,24,0,7,88,6,0
0,1,14,9,8,1,0,74,2,0
0,0,1,1,1,0,5,3,1,0
0,1,3,3,10,1,3,20,8,0
0,0,4,7,15,2,0,37,11,0
0,0,2,4,5,2,0,16,10,0
0,0,2,2,3,1,0,14,8,0
0,0,3,5,8,2,0,26,11,0
0,1,3,4,4,2,0,26,12,0
0,1,5,4,12,1,2,46,10,0
0,0,1,3,2,2,0,12,11,0
0,0,4,8,11,2,0,52,11,0
0,0,2,4,10,2,0,21,9,0
0,0,3,5,14,1,2,32,8,0
0,0,2,2,5,1,2,14,7,0
0,0,1,4,2,2,0,10,9,0
0,0,1,2,2,2,0,8,8,0
0,0,5,4,7,2,0,61,13,0
0,0,3,3,9,1,2,23,8,0
0,0,1,3,2,2,0,7,9,0
0,1,12,24,56,0,0,136,2,0
0,0,8,5,8,1,1,19,17,0
0,3,11,2,10,0,0,43,10,0
0,1,17,4,23,2,2,59,18,0
0,1,10,6,20,2,2,62,14,0
0,0,9,3,9,1,2,69,14,0
0,1,27,3,16,3,0,149,21,0
0,0,2,0,2,0,2,16,2,0
0,1,23,5,36,3,0,128,30,0
0,2,15,7,17,2,0,93,18,0
0.0363843,1,103,15,83,2,0,532,41,1
0,1,2,4,4,3,0,10,19,0
0,1,2,4,4,3,0,10,19,0
0.0517986,2,119,31,144,2,0,613,72,1
0,0,6,2,6,1,1,42,11,0
0,0,25,8,25,1,1,98,30,0
0,0,1,1,1,0,2,18,1,0
