CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,13,13,2,14,1,0,151,13,0
0,0,5,0,5,0,0,63,5,0
0,0,13,0,13,0,1,217,13,0
0.0201101,1,558,1,130,0,0,4336,27,0
0,1,60,13,43,0,0,477,9,0
0.171642,2,29,2,18,1,24,354,14,0
0,0,2,3,4,1,2,32,9,0
0.0611247,2,24,4,14,0,0,157,6,0
0.276364,3,22,8,24,2,0,192,26,0
0,2,14,4,14,0,0,75,3,0
0.0731707,2,38,17,54,0,0,471,17,0
0.130178,1,13,10,19,2,0,128,22,0
0,1,33,12,30,0,2,279,7,0
0.0605923,6,263,39,199,1,0,1975,163,0
0.0463918,2,36,14,30,0,0,341,6,0
0,0,0,1,1,0,0,121,0,0
0,0,1,1,1,0,22,23,1,0
0,1,5,1,5,0,15,59,3,0
0,1,3,5,5,1,1,23,18,0
0,5,13,4,18,1,6,147,16,0
0,1,19,7,17,0,0,183,6,0
0.0844083,3,165,39,187,1,0,1135,30,1
0,5,39,8,29,0,5,553,17,0
0,2,30,8,22,0,0,283,4,0
0.110212,22,171,25,116,0,0,1712,66,0
0,0,1,0,1,0,2,9,1,0
0,1,67,6,32,0,0,474,10,0
0,1,7,0,7,0,2,72,5,0
0,1,15,4,11,0,2,138,7,0
0.120253,1,39,8,25,1,2,329,15,0
0.130952,1,13,7,14,1,0,136,11,0
0.12357,1,11,8,17,2,0,98,13,0
0,1,10,3,7,1,0,74,20,0
0,1,16,10,17,1,0,113,2,0
0,1,1,3,3,1,0,7,1,0
0.0635897,8,61,16,63,0,0,631,22,0
0,1,9,2,8,0,0,79,2,0
0.0888435,38,238,19,121,0,0,1653,65,0
0.0852535,1,55,9,27,0,1,391,18,0
0,2,10,6,13,0,1,72,2,0
0,4,36,0,17,0,0,332,17,0
0,1,22,2,16,0,0,166,12,0
0,0,4,0,4,0,1,27,4,0
0,2,25,11,26,0,0,206,6,0
0.025058,1,176,28,108,0,0,1334,26,0
0,1,25,0,15,0,0,163,2,0
0,0,2,0,2,0,1,6,2,0
0,2,68,10,50,0,0,459,18,0
0,0,1,0,1,0,1,4,1,0
0,2,15,5,14,0,0,120,6,0
0,1,18,6,16,0,0,179,7,0
0,1,18,12,14,1,0,63,1,0
0,2,8,3,10,0,0,86,7,0
0.217936,10,164,4,36,0,0,947,24,0
0.00961538,3,276,55,197,1,0,2026,64,1
0,1,35,9,20,0,0,253,2,0
0.288221,1,33,10,20,2,0,307,8,0
0,0,2,2,2,0,1,18,2,0
0.0433317,1,37,21,50,0,0,320,14,0
0,1,21,6,22,0,0,181,5,0
0.0491921,3,187,47,151,1,0,1325,42,0
0.0445545,1,83,20,62,0,0,523,11,0
0,1,43,8,30,0,0,317,17,0
0.0217114,1,45,17,48,1,0,330,13,0
0,1,41,9,35,1,0,246,17,0
0,1,31,20,41,2,0,270,19,0
0,2,12,9,17,2,0,70,24,0
0,0,4,5,8,2,0,37,19,0
0,1,13,7,13,2,0,106,22,0
0,2,13,8,15,2,0,109,20,0
0.316514,1,43,10,15,2,0,148,19,0
0,1,41,9,14,2,0,186,19,0
0,1,18,10,12,2,0,109,20,0
0,1,3,8,9,2,0,29,20,0
0,1,8,10,12,2,0,67,20,0
0.194444,1,16,14,19,2,0,92,19,0
0.261682,1,17,10,10,2,0,104,19,0
0,0,1,1,2,2,0,9,19,0
0,1,5,5,8,2,0,34,20,0
0,1,11,5,10,2,0,79,21,0
0,1,9,6,9,2,0,42,20,0
0,1,7,8,12,2,0,44,19,0
0,1,21,6,8,2,0,103,20,0
0,1,19,13,22,2,0,144,20,0
0.361111,1,13,12,15,2,0,64,19,0
0,1,2,7,7,2,0,18,20,0
0,1,13,8,14,2,0,81,20,0
0.102848,1,41,17,35,2,0,264,19,0
0,0,2,1,3,2,0,7,19,0
0,1,3,7,7,2,0,18,19,0
0,1,6,5,8,2,0,29,20,0
0,1,3,5,6,2,0,16,19,0
0,1,3,4,5,2,0,14,20,0
0,1,18,9,13,2,0,100,20,0
0,1,3,5,6,2,0,19,19,0
0,1,3,5,7,2,0,19,19,0
0,1,19,16,19,2,0,152,19,0
0,1,32,9,18,2,0,180,25,0
0,1,10,10,16,2,0,71,20,0
0.158683,1,24,10,23,2,0,97,19,0
0,2,7,7,11,2,0,56,20,0
0,1,12,8,7,2,0,60,19,0
0,1,13,6,20,2,0,140,56,0
0.0800801,8,58,9,40,0,1,514,19,0
0,0,2,0,2,0,2,17,2,0
0,1,46,19,37,0,1,375,9,0
0,1,16,2,14,0,0,89,13,0
0,1,12,1,6,0,0,89,5,0
0,0,6,10,5,0,1,49,4,0
0,2,22,27,47,1,0,252,6,0
0,1,134,31,87,1,0,1028,6,0
0,1,3,0,3,0,0,17,3,0
0,0,1,1,2,1,0,3,4,0
0,3,11,4,9,0,1,66,6,0
0,2,10,0,4,0,0,60,4,0
0,0,6,0,6,0,1,8,6,0
0,0,8,10,9,1,0,71,13,0
0,1,24,3,20,0,2,126,9,0
0,1,21,7,30,2,0,204,60,0
0,1,156,21,114,1,0,1138,47,0
0,0,1,0,1,0,0,7,1,0
0,1,17,1,16,0,0,119,0,0
0,1,95,8,93,1,0,175,92,0
0.0267559,1,98,0,31,0,0,539,25,0
0,1,37,11,27,1,0,217,3,0
0.0995025,1,18,0,7,0,0,78,3,0
0,1,153,19,59,0,0,971,8,0
0,0,2,1,2,0,2,6,2,0
0.0372869,3,216,20,114,1,2,1628,49,0
0,0,7,0,7,0,1,38,7,0
0.469283,1,38,2,13,1,0,259,19,0
0.396809,3,2031,50,418,1,0,5784,88,0
0,0,0,0,0,0,13,272,0,0
0.45125,1,732,4,61,1,0,2104,7,0
0,0,0,0,0,0,1,83,0,0
0.316865,1,275,7,51,1,0,1043,29,0
0,2,141,17,66,0,0,916,14,0
0,0,2,0,2,0,0,5,2,0
0,1,5,1,4,0,1,43,3,0
0,1,18,0,6,0,0,171,2,0
0,0,1,2,1,1,0,12,1,0
0,5,31,7,19,1,38,161,18,0
0,5,15,1,6,0,0,85,5,0
0,1,14,6,17,1,0,107,19,0
0,2,36,13,26,0,2,291,8,0
0,2,2,0,2,0,0,75,2,0
0.632576,1,19,0,6,0,0,130,4,0
0,1,110,7,24,0,0,488,2,0
0,1,6,4,5,0,3,34,3,0
0,1,4,5,5,1,0,27,6,0
0,1,20,5,18,0,0,114,7,0
0,1,7,3,5,1,0,67,12,0
0,2,21,4,11,0,1,152,4,0
0,1,120,11,61,1,0,713,29,0
0,2,68,13,51,1,0,481,37,0
0,0,1,0,1,0,1,3,1,0
0,1,4,4,7,1,0,37,7,0
0,1,7,1,4,1,0,72,3,0
0,2,7,4,7,1,0,30,10,0
0,2,14,3,6,0,0,86,3,0
0,1,29,0,11,0,0,250,10,0
0,0,5,1,5,0,1,94,5,0
0.141812,2,72,6,43,1,0,916,7,0
0,0,17,1,17,0,1,250,17,0
0.084012,1,271,7,48,1,0,1734,17,0
0,0,0,0,0,0,1,237,0,0
0,0,0,1,0,0,0,30,0,0
0,1,24,1,8,0,0,225,0,0
0,1,21,4,6,0,0,248,1,0
0.0447761,0,100,1,23,0,0,660,18,0
0,0,2,1,1,1,0,18,3,0
0,8,8,2,8,1,1,107,8,0
0,7,7,2,7,1,0,93,7,0
0,0,7,1,7,0,1,94,7,0
0,0,8,1,8,0,3,106,8,0
0,1,17,0,8,0,0,82,6,0
0,0,4,1,4,0,0,34,4,0
0,1,26,1,14,0,0,203,9,0
0,1,3,2,4,1,0,38,3,0
0,0,2,2,3,1,0,24,9,0
0,0,9,2,5,1,0,65,9,0
0,3,10,2,11,0,3,118,8,0
0,0,2,1,2,0,2,19,2,0
0,0,16,2,9,1,0,101,10,0
0.217104,1,356,28,212,0,1,2745,97,1
0,5,46,3,17,1,1,266,11,0
0.13155,1,61,5,21,0,0,320,15,0
0.287293,1,9,3,8,0,0,74,4,0
0.128492,1,49,8,27,0,0,324,14,0
0,1,8,12,14,3,0,82,11,0
0,1,48,11,33,2,4,412,9,0
0.449393,1,8,14,19,3,0,83,11,0
0.0619195,1,45,18,42,3,0,351,11,0
0.198058,1,26,13,35,3,0,193,11,0
0,1,9,11,18,2,0,106,8,0
0.0295405,1,48,6,27,0,0,308,13,1
0,4,4,2,4,1,1,19,4,0
0,0,4,1,4,0,2,33,4,0
0.0379213,2,38,15,45,1,0,269,12,0
0.18612,0,25,1,9,0,0,200,8,0
0,1,3,3,6,0,0,52,2,0
0.356531,1,16,8,15,2,1,156,14,0
0,1,27,17,26,0,0,218,3,0
0.211679,0,2,6,8,0,0,59,1,0
0,1,11,1,9,0,0,94,9,0
0,0,2,2,3,2,0,13,12,0
0.516393,2,3,7,7,1,0,77,7,0
0,1,3,6,8,0,0,36,2,0
0.0745098,1,20,2,11,0,0,95,7,0
0.209799,4,8,8,12,1,0,115,9,0
0.183333,0,4,3,5,0,0,38,3,0
0,1,54,17,50,1,0,359,10,0
0,3,34,12,28,0,1,266,8,0
0.400626,2,12,11,16,1,0,149,8,0
0,0,1,0,1,0,4,8,1,0
0.649315,1,31,9,23,2,0,208,33,0
0.0996885,3,37,3,19,0,0,442,13,0
0,1,17,5,12,0,0,102,3,0
0,0,1,0,1,0,2,10,1,0
0,0,5,2,5,0,2,8,5,0
0.0209732,2,22,8,19,0,0,134,9,0
0,5,78,17,68,1,1,586,34,0
0,3,110,21,59,2,0,715,42,0
0,2,2,8,3,1,0,14,2,0
0,0,2,5,2,0,1,5,2,0
0,1,55,19,44,1,0,230,7,0
0,0,1,1,1,0,0,12,1,0
0.290557,1,10,5,15,0,0,113,4,0
0.207254,1,5,5,5,1,0,48,9,0
0.313253,1,7,3,7,0,19,52,6,0
0.0986547,2,7,8,12,1,0,107,7,0
0.451216,2,150,2,30,0,0,1088,13,0
0.0814664,1,41,0,19,0,0,448,11,0
0.12446,2,25,11,30,1,0,264,14,0
0.0852535,3,36,9,17,1,0,325,7,0
0.283203,3,32,0,17,0,1,205,13,0
0.309168,1,36,0,20,0,1,231,16,0
0.0545455,2,15,9,20,1,0,132,10,0
0,1,12,2,8,0,0,92,5,0
0.0830258,2,19,6,15,1,0,284,7,0
0,3,36,8,19,0,0,300,8,0
0,2,23,2,15,1,0,141,13,0
0,0,2,1,2,0,1,6,2,0
0.283163,2,43,4,24,0,1,295,19,0
0,1,25,3,22,0,0,160,7,0
0,1,36,5,29,0,3,289,15,0
0.0932836,1,6,5,11,0,0,68,3,0
0.0687831,2,77,20,53,1,1,477,26,0
0,2,18,4,14,0,0,152,9,0
0,1,23,7,14,1,0,186,2,0
0.0541028,1,62,4,13,0,0,421,8,0
0,2,184,4,9,0,0,350,6,0
0,1,8,1,4,0,0,44,1,0
0.031348,1,15,14,23,1,0,160,6,0
0.16895,3,28,17,35,1,0,204,6,0
0,0,2,0,2,0,2,5,2,0
0,1,7,0,3,0,0,28,2,0
0.182158,2,59,10,47,1,2,451,12,0
0.0420875,1,47,20,36,1,0,376,13,0
0,2,14,10,13,1,0,154,7,0
0,3,30,19,24,1,0,202,6,0
0,2,9,1,7,0,8,94,7,0
0,1,12,10,18,1,0,151,8,0
0,1,7,1,7,0,0,103,6,0
0.0705128,1,15,2,9,0,0,176,5,0
0,5,48,17,42,1,0,375,12,0
0,1,16,4,16,1,0,136,10,0
0,3,7,5,12,1,1,94,10,0
0,3,9,6,10,1,0,115,7,0
0,1,11,2,6,0,0,79,3,0
0.370411,5,98,1,19,0,0,569,16,0
0,0,1,4,2,1,0,12,1,0
0,0,1,4,2,1,0,13,1,0
0.509615,0,1,4,2,1,0,11,1,0
0,0,1,4,2,1,0,15,1,0
0.486239,0,1,4,2,1,0,11,1,0
0.574257,0,1,4,2,1,0,12,1,0
0,0,1,4,2,1,0,13,1,0
0.5,0,1,4,2,1,0,12,1,0
0.695122,0,1,4,2,1,0,12,1,1
0.699386,0,1,4,2,1,0,11,1,1
0.695122,0,1,4,2,1,0,12,1,1
0,0,1,4,2,1,0,11,1,0
0,0,1,2,1,0,13,9,1,0
0,0,1,0,1,0,1,9,1,0
0,0,3,0,3,0,13,17,3,0
0.58,0,1,4,2,1,0,12,1,1
0,1,33,3,20,0,0,173,10,0
0,0,1,0,1,0,1,4,1,0
0,1,35,8,23,0,0,286,7,0
0,0,4,9,9,0,0,63,1,0
0.072227,1,15,15,21,0,0,164,3,1
0.0563166,1,30,19,41,1,0,313,13,1
0,0,8,0,8,0,1,28,8,0
0,1,7,5,9,0,0,84,4,0
0,1,11,4,8,1,2,79,6,0
0,2,10,6,13,2,0,82,8,0
0,1,15,6,10,1,0,108,2,0
0,0,2,2,2,0,8,55,2,0
0,0,1,2,1,0,4,18,1,0
0,8,8,7,12,0,0,64,8,0
0,1,11,6,9,2,0,59,7,0
0,1,15,4,8,1,0,84,4,0
0,1,7,4,2,1,0,34,1,0
0,6,45,6,27,0,2,386,19,0
0,0,2,3,2,1,0,14,2,0
0,0,1,2,1,0,3,4,1,0
0.457184,1,56,11,31,1,1,336,19,0
0,1,14,5,10,0,0,122,4,0
0,0,4,1,4,1,0,40,4,0
0,1,5,3,4,2,0,36,8,0
0,0,3,0,3,0,2,24,3,0
0,0,1,0,1,0,3,8,1,0
0,1,14,4,12,0,0,118,6,0
0,0,9,2,8,1,0,81,4,0
