CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,0,12,4,12,0,2,113,12,1
0,2,27,8,23,1,20,249,18,1
0,2,22,8,36,2,0,202,30,1
0,3,4,6,9,0,0,40,3,1
0,3,115,10,75,1,1,973,48,1
0,1,6,0,3,0,0,28,2,1
0,2,13,4,11,3,0,80,34,1
0.15087,1,28,8,23,4,0,221,47,1
0,1,2,2,3,1,0,10,1,1
0,1,11,5,8,0,0,83,1,1
0,1,24,7,27,3,4,276,42,1
0,3,21,6,22,2,0,232,13,1
0.102389,3,49,15,43,1,0,492,22,1
0,0,5,2,5,1,5,58,6,1
0,1,20,1,6,1,2,114,14,1
0,1,13,5,18,0,0,229,10,1
0,0,5,3,9,2,4,108,52,1
0,1,17,2,10,0,0,114,4,1
0.153846,1,31,2,14,0,0,308,10,1
0,3,11,4,11,2,2,115,10,1
0,4,12,1,14,0,1,171,10,1
0,2,48,17,44,1,0,580,8,1
0,1,2,3,5,1,0,15,2,0
0,0,1,1,1,0,0,7,0,1
0,0,12,1,5,0,0,76,2,0
0,1,20,8,24,4,1,203,52,1
0,3,4,3,6,2,0,43,7,1
0,2,14,4,17,3,0,146,23,1
0.0886076,4,42,6,32,2,2,336,28,1
0.386014,0,1,4,4,0,0,129,0,1
0,1,14,3,14,0,0,134,1,1
0,0,11,3,15,0,0,107,0,1
0,1,2,1,4,0,0,20,1,1
0,1,5,3,8,0,0,101,1,1
0,1,4,4,7,0,0,48,1,1
0,1,9,8,14,0,0,146,1,1
0,1,38,4,29,0,0,298,15,1
0,1,20,3,11,0,0,146,4,1
0,1,14,3,7,0,0,61,3,1
0,1,30,6,19,1,0,122,6,1
0,1,35,7,18,0,0,207,6,1
0,0,5,0,3,0,0,27,3,1
0.497872,2,10,0,4,0,2,108,4,1
0,1,30,3,11,1,0,144,8,1
0,1,20,1,10,0,0,151,9,1
0,1,5,3,6,1,0,31,8,1
0,1,21,1,7,0,0,126,7,1
0,1,22,6,14,2,1,165,15,1
0,2,5,1,6,1,0,51,8,1
0,1,11,1,7,0,2,80,2,1
0,1,2,1,3,0,0,15,0,1
0.328244,2,23,1,6,1,0,112,8,1
0,2,9,1,6,0,0,119,3,1
0.253394,1,19,0,8,0,0,154,8,1
0,2,4,0,4,0,0,23,3,1
0,2,9,5,9,2,0,72,7,1
0,7,63,5,20,0,0,430,12,1
0.275132,1,13,2,5,0,8,76,2,1
0.108597,1,55,15,21,0,2,347,2,1
0,1,7,2,5,0,2,41,4,1
0,2,3,0,3,0,0,30,3,1
0,1,4,2,6,1,0,26,8,1
0.492063,3,8,1,6,0,0,53,5,1
0,1,2,0,1,0,0,13,1,1
0,1,6,0,1,0,0,41,1,1
0,2,33,7,27,2,0,275,32,1
0,2,15,2,8,0,4,100,6,1
0,1,3,2,6,0,0,28,2,1
0.510533,1,35,11,21,1,0,272,12,1
0.0687593,1,27,10,28,1,0,249,18,1
0.709122,1,27,9,14,1,0,206,11,1
0.0746753,1,26,8,27,1,0,234,13,1
0,0,1,0,1,0,0,11,0,1
0,1,2,1,3,0,0,47,1,1
0,2,4,3,4,1,0,72,2,1
0,3,24,10,40,2,0,229,25,1
0,1,6,3,7,1,0,82,28,1
0.0593525,2,32,1,18,0,0,231,16,1
0,0,1,0,1,0,0,38,1,1
0,2,32,1,27,0,2,360,26,1
0,0,1,1,1,0,4,16,1,1
0,2,2,2,2,1,0,46,2,1
0,1,1,3,8,0,0,50,1,1
0,2,10,2,13,1,0,81,30,1
0,1,28,0,23,0,0,206,22,1
0,1,36,7,32,0,0,251,4,1
0,1,24,4,35,0,0,254,14,1
0,1,26,3,22,0,0,200,14,0
0,0,8,1,9,0,0,119,7,1
0,0,4,1,3,0,0,94,2,1
0,1,5,0,4,0,0,92,4,1
0,1,39,2,31,0,0,224,13,1
0,2,17,1,7,0,0,112,3,1
0.126741,3,171,19,147,0,0,1358,22,1
0,1,4,2,6,0,0,98,1,0
0,2,12,0,6,0,3,110,1,1
0,0,1,1,4,1,0,52,2,1
0,0,5,1,6,1,0,93,4,1
0,0,1,1,4,1,0,48,2,1
0,2,17,5,14,0,0,167,8,1
0.135802,2,12,1,9,0,0,127,8,1
0,0,1,0,1,0,0,39,1,1
0,1,2,0,2,0,0,41,2,1
0,0,3,3,5,0,0,65,1,1
0,1,3,0,1,0,0,49,1,1
0.45977,2,25,0,14,0,1,132,12,1
0,0,4,0,4,0,0,51,4,1
0,1,5,5,9,1,0,66,3,1
0.180328,4,42,4,30,0,0,295,14,1
0,1,9,6,13,0,0,112,4,1
0,3,9,3,6,0,0,105,3,1
0,3,26,0,20,0,0,159,16,1
0.0893683,1,27,4,27,1,0,221,15,1
0,0,2,1,3,1,0,50,5,1
0,1,8,1,9,0,1,111,3,1
0,1,13,1,9,0,0,126,8,1
0,4,4,0,4,0,1,44,4,1
0,1,60,11,51,0,0,403,4,1
0,1,36,0,17,0,0,255,11,1
0,1,1,4,2,1,0,12,1,0
0.376694,2,26,5,19,2,0,175,26,1
0,1,8,8,11,0,0,75,1,1
0.0686275,3,44,10,42,2,0,334,35,1
0.220994,1,7,4,8,0,0,52,1,1
0,2,34,5,24,2,0,275,31,1
0,2,23,4,18,2,0,171,26,1
0,1,10,5,10,0,0,59,2,1
0,1,16,9,15,0,0,125,2,1
0,3,67,7,26,2,0,332,30,1
0,2,10,4,12,2,0,62,21,1
0,1,5,7,12,0,0,48,1,1
0,1,5,4,14,0,0,44,1,1
0,1,14,6,21,0,0,86,1,1
0.470588,1,5,4,13,0,0,44,1,1
0,3,24,6,22,2,0,129,28,1
0.533333,2,4,5,14,0,0,44,1,1
0,1,2,1,2,1,0,13,1,1
0,0,1,0,1,0,5,8,1,1
0,2,19,4,15,0,0,168,8,1
0,1,4,2,2,1,0,50,2,1
0.540541,1,6,2,3,1,0,69,2,1
0,1,5,1,2,1,0,33,2,1
0,1,6,0,2,0,0,48,1,0
0,1,7,1,4,0,0,58,1,1
0,1,15,3,10,0,0,109,1,0
0,7,7,0,7,0,0,32,7,1
0,1,10,0,3,0,0,88,1,1
0,1,17,5,16,0,0,127,1,0
0,4,7,3,7,2,0,36,21,1
0,1,5,0,3,0,0,36,1,1
0,0,7,1,7,0,3,47,7,1
0,0,1,1,1,0,5,33,1,1
0,0,2,2,2,1,0,14,2,1
0,0,0,0,0,0,0,10,0,1
0,0,6,4,6,1,2,53,7,1
0,1,2,2,2,1,3,48,2,1
0,0,2,2,2,0,1,15,2,1
0,0,25,1,5,0,0,214,5,1
0,0,1,1,1,0,4,6,1,1
0,0,15,6,15,0,1,71,15,1
0,1,36,11,29,0,0,350,12,1
0,3,3,0,3,0,0,14,3,1
0,0,1,0,1,0,5,35,1,1
0,0,2,2,2,0,1,9,2,1
0,0,1,1,1,0,1,10,1,1
0,0,5,4,6,3,0,48,56,1
0,0,4,1,6,0,0,30,3,1
0,0,1,1,1,0,1,7,1,1
0,1,10,1,9,0,0,59,8,1
0,1,12,0,3,0,0,99,1,0
0,2,5,6,10,0,0,50,3,1
0,1,3,3,8,0,0,31,1,1
0,2,2,1,4,0,0,16,1,1
0,1,8,3,8,0,0,46,1,1
0,2,14,3,13,0,0,79,1,1
0,1,1,2,5,0,0,12,1,1
0,1,7,3,9,0,0,61,1,0
0.112,1,17,6,16,0,0,135,6,1
0,1,6,3,7,0,0,45,1,1
0,1,1,1,2,0,0,7,1,1
0,1,5,2,7,0,0,35,1,1
0.607784,2,8,5,22,0,0,81,1,1
0.208333,1,6,4,9,0,0,53,1,1
0.348993,1,6,0,2,0,0,40,2,1
0.124661,2,20,2,12,0,0,139,7,1
0.186441,1,22,3,17,0,0,157,7,0
0,1,1,5,5,1,0,9,1,1
0,1,5,4,8,3,0,30,56,0
0,1,2,3,3,1,0,11,2,0
0,1,3,2,3,2,0,36,4,1
0,1,6,3,7,5,0,57,56,1
0,3,10,6,13,2,0,93,8,1
0,1,5,3,4,0,0,27,1,0
0,1,5,3,5,0,0,40,2,0
0,1,10,5,8,2,0,65,6,1
0,1,2,3,2,1,0,14,2,1
0,1,9,3,10,0,0,73,1,1
0,1,13,3,9,2,0,84,8,1
0.475177,1,7,2,7,0,0,46,1,1
0,2,99,20,65,1,0,750,11,1
0,2,3,1,7,0,0,24,3,1
0,3,10,4,15,2,0,112,8,1
0,1,2,3,6,1,0,15,2,0
0,1,4,1,5,0,0,21,3,1
0,1,5,2,11,0,0,39,1,1
