CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,1,2,0,2,0,0,9,1,0
0,1,5,1,5,0,48,52,3,1
0,1,8,3,7,2,0,39,9,1
0,2,59,1,20,0,0,220,12,1
0,1,14,2,13,2,3,74,9,1
0.676385,1,84,3,8,2,0,226,9,0
0,2,3,4,6,1,0,16,4,1
0,1,8,2,10,2,0,40,10,1
0,1,5,3,5,2,0,35,8,0
0,1,2,1,3,3,1,12,10,0
0,1,4,3,6,2,0,20,8,0
0,1,2,1,3,4,0,12,11,1
0,1,9,2,9,1,0,54,8,1
0,1,4,4,11,2,0,19,8,0
0.0533333,1,176,0,27,0,0,487,13,0
0,2,3,4,6,1,0,15,4,1
0,1,12,2,10,2,7,76,14,0
0,1,8,7,15,1,0,62,9,1
0,1,15,4,19,2,0,146,17,1
0,1,2,4,5,2,0,16,8,0
0,1,89,2,53,0,0,742,45,1
0,1,3,1,5,1,48,20,6,1
0,3,6,2,8,0,26,72,4,1
0,1,4,1,4,1,9,24,6,1
0,2,3,4,6,1,0,15,4,1
0,1,2,1,3,3,0,12,10,1
0,0,11,0,3,0,0,87,3,1
0,1,19,8,31,1,0,228,20,1
0,1,11,3,8,2,0,45,8,0
0,1,15,4,25,2,0,168,15,1
0.492051,6,70,1,25,0,0,674,10,0
0.320285,1,62,5,24,1,3,318,25,1
0,2,12,0,7,0,0,63,6,1
0,1,28,1,7,0,0,220,6,1
0.194595,1,47,3,22,0,0,286,17,0
0.168498,1,48,6,19,2,0,329,38,1
0,0,1,1,1,0,8,10,1,0
0,1,7,0,3,0,0,72,2,1
0,0,24,1,24,0,3,167,24,1
0,1,1,2,1,1,0,6,1,0
0,1,7,2,4,1,0,39,4,0
0,1,10,0,2,0,0,93,2,1
0,1,4,2,2,1,0,37,2,0
0,1,15,5,7,0,0,92,0,1
0.175743,1,11,2,7,0,0,105,5,0
0,4,17,4,11,1,0,114,20,0
0,1,10,2,7,0,0,63,6,0
0,1,4,1,5,0,0,36,3,0
0,1,86,18,53,0,0,536,8,1
0,5,26,7,25,1,0,167,24,0
0,1,24,6,23,0,0,195,5,0
