CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0.0748059,6,96,9,30,1,2,332,15,1
0,0,1,0,1,0,1,3,1,0
0,1,33,3,21,0,0,278,20,1
0.135381,2,195,12,48,1,0,695,16,0
0,0,3,1,5,1,0,13,6,0
0,1,11,1,11,0,0,50,8,1
0,0,3,0,3,0,1,6,3,0
0,1,13,0,9,0,0,80,9,0
0,0,1,0,1,0,1,18,1,1
0,1,2,0,2,0,0,13,2,0
0,1,4,1,4,1,0,41,4,0
0,0,2,0,2,0,1,45,2,0
0,0,0,0,0,0,2,2,0,0
0,1,7,0,6,0,0,27,4,1
0,1,31,9,24,0,0,168,11,1
0,0,11,7,10,0,0,49,8,0
0,1,4,1,4,1,0,29,4,0
0,1,7,1,5,1,0,47,5,0
0,3,265,32,171,0,0,2002,45,1
0,0,3,0,3,0,1,13,3,0
0,0,15,4,15,0,2,55,15,0
0,0,6,1,6,0,0,46,0,0
0,0,4,0,4,0,0,47,0,0
0,0,3,0,3,0,0,13,0,0
0,0,0,0,0,0,0,4,0,0
0.0315503,3,259,12,85,1,5,1295,22,1
0,0,3,0,3,0,1,11,3,0
0,0,1,0,1,0,0,9,1,0
0,1,18,1,10,0,0,90,4,1
0,0,16,4,16,0,1,96,16,1
0,0,1,1,1,0,1,7,1,0
0,0,11,3,7,1,0,71,4,0
0,1,16,1,15,0,0,82,13,0
0,0,19,0,12,0,0,94,11,0
0.338129,2,11,2,12,2,0,67,24,0
0,1,14,0,10,0,0,66,10,0
0,0,1,0,1,0,2,4,1,0
0.216028,5,26,4,24,2,0,130,25,0
0.0839002,5,33,2,23,2,0,135,26,0
0.0457921,8,44,4,35,2,0,210,25,0
0,3,22,2,19,2,0,95,24,0
0,0,3,0,3,0,0,18,3,0
0,1,7,2,4,0,0,38,2,0
0,0,3,0,3,0,0,18,3,0
0,1,23,8,15,0,0,120,7,0
0,0,17,3,10,0,0,132,3,0
0,1,30,1,6,0,0,85,4,0
0,1,3,0,3,0,0,15,2,0
0,2,14,0,3,0,0,65,3,0
0,2,3,0,2,0,0,20,2,0
0,0,2,0,2,0,0,16,2,0
