CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,2,15,9,11,1,1,115,2,1
0,1,25,5,27,2,0,188,31,1
0.0698152,1,51,7,48,1,0,409,46,1
0.119891,1,11,6,21,2,0,128,30,1
0.192982,1,7,5,15,1,2,98,20,1
0.0477742,3,36,7,43,2,0,397,51,1
0,1,3,1,4,2,0,39,19,1
0.181058,1,14,5,22,1,0,164,28,1
0.0536649,1,35,5,35,1,0,316,40,1
0.156489,1,11,5,16,1,0,117,22,1
0,2,14,4,19,1,1,136,17,1
0.0433213,1,28,6,24,1,0,150,24,1
0.19305,1,12,5,20,1,0,152,26,1
0,1,20,7,26,1,0,195,30,1
0.232134,2,88,8,20,0,0,909,5,1
0,1,15,7,27,1,0,152,24,1
0.678288,1,9,1,10,0,0,593,2,1
0,1,12,1,11,0,2,69,10,1
0,1,10,10,12,0,0,74,1,1
0,0,4,0,4,0,0,44,4,1
0,0,5,1,6,2,0,30,21,1
0,5,21,4,24,0,15,213,18,1
0,0,1,1,1,0,1,8,1,1
0,0,2,1,2,0,2,20,2,1
0,0,1,1,2,2,0,18,17,1
0,2,12,4,19,1,3,92,16,1
0.102459,1,24,5,20,1,0,193,24,1
0.181058,1,15,6,23,1,0,180,28,1
0,1,15,6,24,1,0,159,28,1
0.118211,2,13,6,24,1,0,134,24,1
0,2,2,2,2,1,0,13,2,1
0.0769231,2,19,5,27,1,0,163,25,1
0,1,10,0,3,0,0,104,1,0
0,1,25,1,11,0,0,210,10,0
0,0,0,0,0,0,0,169,0,0
0,1,26,5,24,0,0,313,13,0
0,2,11,2,12,2,0,94,21,0
0,3,62,12,83,3,0,640,105,0
0,0,5,0,5,0,4,76,5,0
0.54386,1,10,0,8,0,4,118,8,0
0,0,4,1,8,1,0,50,12,0
0,0,2,3,5,2,0,31,10,0
0,0,4,1,8,1,0,46,9,0
0,0,4,1,8,1,0,46,12,0
0,1,8,6,12,1,1,89,14,0
0,1,19,13,34,1,1,258,31,1
0,1,59,14,46,1,0,661,35,0
0,0,4,1,8,1,0,46,12,0
0,0,4,1,8,1,0,50,9,0
0,0,4,1,8,1,0,46,12,0
0,1,48,11,22,0,1,367,8,1
0.0824053,2,43,12,47,0,1,636,20,0
0,3,8,10,12,0,0,90,3,0
0,0,1,1,2,3,0,17,10,0
0.159867,1,55,10,34,0,1,580,14,1
0,1,28,8,56,2,2,295,56,0
0,1,57,7,67,3,0,718,111,1
0,0,10,2,9,0,0,254,7,1
0,5,14,7,19,0,0,183,8,0
0,0,4,1,8,1,0,52,9,0
0,0,1,3,4,2,2,25,9,0
0.209945,8,29,0,14,0,0,326,13,1
0,0,4,0,2,0,1,474,2,0
0.271693,1,99,10,22,1,0,512,7,1
0,0,3,1,4,1,2,49,8,0
0,0,1,1,2,3,0,17,10,0
0.585417,2,9,0,7,0,0,361,7,0
0,1,9,1,9,0,0,162,6,1
0.738197,2,145,133,147,0,0,545,5,1
0,1,7,4,10,0,0,57,4,0
0.162726,1,32,10,23,0,0,213,6,0
0.123871,1,20,9,36,0,0,325,4,1
0,0,1,1,1,0,6,9,1,0
0.410673,2,37,85,40,0,0,327,6,1
0,1,6,2,4,1,0,27,1,0
0,1,11,9,13,1,0,82,4,1
0,0,1,1,1,0,1,9,1,0
0,1,2,3,2,1,0,33,2,1
0,1,18,8,14,0,0,165,5,1
0,0,1,1,1,0,3,9,1,0
0,1,10,5,8,0,0,103,3,0
0,0,5,0,5,0,0,62,5,0
0,3,19,22,28,0,5,122,3,0
0,2,17,12,26,2,0,99,7,1
0,1,2,6,25,0,0,38,1,1
0,1,16,4,24,0,0,123,4,0
0,1,16,4,24,0,0,100,4,0
0,2,181,32,104,0,0,930,7,1
0.796296,1,7,17,31,1,0,94,3,1
0,0,0,0,0,0,2,4,0,0
0,0,5,1,5,0,0,12,5,0
0.698758,1,7,16,32,1,0,103,3,1
0.240506,1,8,17,39,1,0,131,3,1
0.166906,3,325,60,355,1,0,3079,101,1
0.59596,1,8,12,26,1,0,101,3,1
0.168085,1,8,21,47,1,1,139,5,1
0.395105,1,249,58,263,1,0,2169,50,1
0,1,49,1,27,0,0,191,27,1
0,3,32,8,32,1,4,259,25,1
0.647226,1,26,7,37,1,0,273,31,1
0.482866,1,18,7,26,1,0,173,23,1
0.553922,1,12,5,17,1,0,129,17,1
0.645559,1,44,7,52,1,0,464,49,1
0.611524,1,20,5,28,1,0,219,25,1
0.608133,1,20,5,28,1,0,222,25,1
0.588542,1,12,5,17,1,0,112,17,1
0.270789,1,22,4,28,1,0,287,27,1
0.300699,1,11,4,15,1,0,88,16,1
0.520599,1,24,7,32,1,0,240,29,1
0,3,9,4,12,1,0,61,14,1
