CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,0,1,0,1,0,1,8,1,0
0,1,16,3,10,0,4,95,4,0
0,0,2,1,2,0,12,16,2,0
0,0,4,1,4,0,2,31,4,0
0,0,52,5,52,0,4,340,52,0
0,2,70,10,31,0,0,323,21,1
0,0,3,1,3,1,1,23,5,0
0,0,0,0,0,0,0,245,0,1
0,0,3,0,3,0,0,17,3,1
0,1,11,2,11,0,0,56,2,1
0,1,30,2,26,0,0,147,24,0
0,1,84,4,21,0,0,406,9,1
0.265416,1,124,14,74,1,0,800,47,1
0,1,14,9,12,0,0,99,2,1
0,0,1,0,1,0,5,9,1,0
0,1,58,6,17,2,2,256,2,1
0.404494,1,25,8,11,2,2,155,2,0
0,1,3,5,5,2,7,17,2,0
0,1,3,4,6,2,7,15,2,0
0.358744,3,8,5,7,1,23,63,2,0
0.201166,3,16,7,14,1,22,91,2,0
0,1,15,8,15,2,0,89,2,0
0,1,11,7,15,2,0,58,2,0
0.302326,1,10,7,9,2,0,68,2,0
0,1,1,2,2,3,0,6,15,0
0,1,1,2,2,3,0,16,3,0
0,1,3,5,6,3,0,22,2,0
0,1,39,4,17,2,0,143,2,0
0,1,14,6,17,2,0,81,2,0
0.426136,1,17,4,12,2,0,94,2,0
0,1,13,4,14,2,0,56,2,0
0,1,8,5,9,2,0,63,2,0
0,1,8,3,7,2,0,43,2,0
0.45,1,4,4,6,2,0,44,2,0
0,1,6,5,6,2,0,46,2,0
0,0,3,1,3,0,1,26,3,0
0.47081,1,27,6,19,1,0,209,8,0
0,0,2,1,2,0,1,18,2,0
0,1,2,3,4,3,0,17,2,0
0.838235,1,4,4,6,3,0,23,2,0
0,1,2,3,4,3,0,16,2,0
0.838235,1,4,4,6,3,0,23,2,0
0,1,2,3,3,2,0,18,2,0
0,1,4,3,5,2,0,22,2,0
0,1,10,5,10,1,0,60,2,0
0,1,12,2,7,0,0,55,1,0
0.125413,1,29,5,17,2,0,143,2,1
0,1,17,4,15,2,0,90,2,1
0,1,20,7,15,3,0,113,2,0
0,1,12,7,16,3,0,68,2,0
0,1,16,6,12,2,0,74,2,0
0,1,11,4,10,2,0,55,2,0
0,1,2,4,4,3,0,17,2,0
0.84507,1,4,5,7,3,0,24,2,0
0.173077,1,11,7,15,2,0,85,2,0
0,1,9,5,12,2,0,63,2,0
0,1,8,4,7,2,0,48,2,0
0,1,9,3,9,2,0,38,2,0
0,0,2,1,2,0,1,14,2,0
0.273885,1,22,4,12,1,0,172,5,1
0,0,12,4,8,0,0,79,1,0
0,0,2,1,2,0,3,16,2,0
0.183746,1,14,3,9,0,0,108,3,1
0,1,17,1,3,0,0,89,2,0
0,1,2,4,4,3,0,19,2,0
0.84507,1,4,5,7,3,0,23,2,0
0.261173,1,42,6,13,2,0,188,2,0
0,1,24,4,13,2,0,118,2,0
0.204317,2,26,1,7,0,0,158,3,1
0.118812,1,17,6,10,2,0,62,2,0
0,1,10,4,11,2,0,47,2,0
0.208594,1,56,8,34,0,0,293,1,0
0.300275,1,43,10,33,0,0,202,1,0
0.353211,1,22,6,12,2,0,111,2,0
0,1,12,4,10,2,0,50,2,0
0,1,12,2,7,0,0,68,1,0
0,1,5,2,5,0,0,42,1,0
0,1,6,3,4,0,0,34,1,1
0,1,3,2,2,0,0,15,1,1
0,1,4,5,5,2,0,29,2,0
0,1,5,5,7,2,0,27,2,0
0.460123,1,16,7,10,3,0,82,3,0
0.362205,1,17,7,14,3,0,84,3,0
0,0,3,1,3,0,1,25,3,0
0.420705,1,23,4,17,0,0,186,7,0
0,0,1,1,1,0,1,12,1,0
0,2,9,2,7,0,0,88,6,1
0.197628,1,8,7,11,2,0,62,2,0
0,1,10,7,12,2,0,56,2,0
0,1,2,4,4,3,0,20,2,0
0.84507,1,4,5,7,3,0,24,2,0
0,1,44,26,55,1,0,228,5,1
0,1,17,16,21,1,0,115,2,1
0,1,4,3,5,0,0,28,1,0
0,1,6,3,4,0,0,39,1,0
0,1,14,5,11,0,0,76,1,0
0,1,7,3,9,0,0,55,1,0
0,1,19,5,11,3,0,98,2,0
0.40367,1,10,8,13,3,0,52,2,0
0,0,0,0,0,0,0,58,0,1
0,0,1,2,3,0,0,15,1,0
0,1,1,2,2,0,0,21,1,0
0,1,13,5,13,2,0,72,2,1
0.615385,1,12,5,14,2,0,55,2,1
0.53719,1,7,8,10,3,0,53,6,1
0.575758,1,5,8,9,2,0,42,4,0
0.276596,1,12,6,15,2,1,75,4,1
0.269504,1,13,6,12,1,1,56,3,0
0.144177,2,58,14,36,1,6,308,2,0
0,3,30,17,22,0,6,166,2,1
0,1,5,4,6,2,0,30,3,0
0,1,4,5,5,1,0,28,2,0
0,1,4,3,5,2,0,22,3,0
0.885246,1,3,5,3,1,0,20,2,0
