CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0.180451,1,18,15,25,1,0,289,23,1
0,1,12,2,11,3,1,137,37,0
0,2,11,2,14,0,0,229,11,0
0,4,5,1,8,0,0,41,5,0
0.0394737,1,63,13,34,0,0,493,11,0
0,0,10,0,2,0,0,65,2,0
0,1,55,2,38,0,0,435,34,0
0,1,4,0,3,0,0,46,3,0
0,1,4,1,4,0,0,37,2,0
0,0,3,0,2,0,0,31,0,0
0,3,4,2,6,0,0,57,4,0
0.288557,1,14,1,8,0,0,123,6,0
0.272494,8,27,11,52,1,0,447,24,1
0.275325,1,30,8,53,1,0,492,28,1
0.552773,2,43,10,16,0,0,311,14,0
0,0,0,0,0,0,5,4,0,0
0,0,3,1,3,0,7,27,3,0
0.0566667,1,42,20,30,0,0,410,8,0
0.268041,0,1,1,1,1,6,27,1,0
0.381356,0,3,3,3,1,2,67,3,1
0.270833,0,1,1,1,1,6,22,1,0
0,0,1,1,1,1,5,20,1,0
0,0,1,1,1,1,7,23,1,0
0,1,2,1,2,3,0,24,2,0
0,1,2,1,2,3,0,24,2,0
0,1,2,1,2,3,0,24,2,0
0,1,2,1,2,3,0,24,2,0
0,1,4,5,7,2,0,59,2,1
0,1,4,1,1,2,0,37,1,0
0,1,3,1,7,1,0,33,8,0
0,1,8,3,4,2,0,84,2,0
0,1,8,7,10,2,0,120,5,0
0,9,26,3,21,0,0,327,18,0
0,3,22,3,17,2,5,213,32,0
0,1,28,8,54,2,3,242,28,1
0,0,5,0,5,0,3,42,5,0
0,1,20,8,25,3,0,173,37,1
0,0,0,4,0,1,2,4,27,0
0,1,32,8,52,2,0,305,28,1
0,4,21,5,19,1,1,234,19,1
0,0,2,1,2,0,2,13,2,0
0,0,17,2,17,0,2,124,17,1
0,0,3,2,3,0,1,26,3,0
0.0591966,1,34,11,30,3,0,247,36,1
0.0361446,1,24,1,9,0,0,269,3,0
0,0,3,0,3,0,4,20,3,0
0,0,3,1,6,1,0,32,7,0
0,0,1,1,2,1,0,7,5,0
0,0,8,3,10,1,0,106,12,0
0,0,16,5,18,1,0,185,13,0
0,0,3,1,6,1,0,33,7,0
0,0,5,3,7,1,0,61,9,0
0,0,4,1,5,0,6,54,4,0
0,1,34,2,20,0,0,309,13,0
0,1,40,0,18,0,0,303,14,0
0,0,3,2,3,0,1,20,3,0
0,1,5,7,12,1,0,45,3,0
0,0,1,4,1,0,1,6,1,0
