CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0.272727,1,11,0,8,0,0,120,8,1
0.1189,2,48,3,25,0,0,655,21,1
0,0,7,3,7,0,1,61,7,1
0,1,5,9,7,1,0,43,14,1
0,0,8,6,9,0,3,106,5,1
0,3,28,18,26,1,0,181,7,1
0.110363,1,31,19,22,1,0,342,6,1
0,1,3,1,4,1,2,69,7,1
0.429119,1,72,14,29,2,0,488,8,1
0.328582,1,68,16,29,2,0,478,8,1
0,0,24,2,4,0,0,91,3,1
0,1,10,1,4,0,0,75,3,1
0.355487,1,25,3,12,0,0,254,8,1
0.236915,1,21,8,18,0,0,206,7,1
0.0362465,1,118,12,29,0,0,939,5,1
0.921107,1,58,2,20,0,0,579,0,1
0,0,10,0,9,0,1,88,0,1
0.705455,0,9,1,8,1,0,59,0,1
0,1,6,1,4,0,0,51,2,1
0,1,22,6,6,0,0,88,1,1
0,1,31,19,40,0,0,264,7,1
0,1,6,1,3,0,4,53,0,1
0,2,7,6,4,0,0,66,2,1
0.22762,13,108,3,46,0,0,1071,36,1
0.472428,6,47,13,30,1,0,554,6,1
0.41989,15,43,2,22,1,0,348,18,1
0.410758,6,25,3,16,1,0,197,6,1
0,5,26,3,13,1,0,288,9,1
0,8,25,12,33,0,0,347,9,1
0.997531,8,24,3,12,0,0,210,8,1
0.921107,1,58,2,20,0,0,579,0,1
0,1,13,10,17,0,0,158,2,1
0,1,45,10,25,0,0,367,6,1
0,0,10,0,9,0,1,88,0,1
0.705455,0,9,1,8,1,0,59,0,1
0,0,14,0,14,0,2,123,14,1
0,1,9,3,8,0,0,94,4,1
0.194898,1,237,15,172,4,2,1575,127,1
0.0383315,1,59,6,27,1,0,539,16,1
0,6,35,1,19,1,0,296,18,1
0.108844,1,12,1,8,0,0,183,6,1
0.921107,1,58,2,20,0,0,579,0,1
0,2,7,0,5,0,0,65,5,1
0,1,15,0,13,0,0,247,12,1
0.306262,1,101,15,51,5,0,1052,137,1
0.181176,1,16,5,10,5,0,196,130,1
0,2,68,5,25,0,0,402,9,1
0,0,10,0,9,0,1,88,0,1
0.705455,0,9,1,8,1,0,59,0,1
0.134559,1,164,20,78,0,0,1346,33,1
0,2,3,5,15,3,0,71,199,1
0,1,13,6,22,3,0,143,200,1
0,1,1,5,11,3,0,41,198,1
0,1,7,7,5,4,0,35,200,1
0,3,36,25,19,4,0,137,202,1
0.681818,2,2,5,8,4,0,47,200,1
0.681818,2,2,5,8,4,0,47,200,1
0,0,2,3,2,4,0,25,200,1
0.225979,1,27,8,28,3,1,265,200,1
0.11,1,10,10,20,3,0,113,198,1
0,2,40,17,47,4,1,314,201,1
0,1,5,6,15,3,0,57,198,1
0,1,15,8,35,3,0,186,210,1
0.94186,1,2,7,10,3,1,41,198,1
0.94186,1,2,8,10,4,0,41,199,1
0,0,0,1,0,3,0,4,197,1
0,2,8,7,28,3,0,109,199,1
0,1,1,5,6,4,0,25,199,1
0,2,7,5,20,3,7,92,199,1
0,2,2,5,8,4,0,52,200,1
0,0,0,1,0,5,0,5,201,1
0.103006,5,144,26,113,1,0,1623,38,1
0.417643,1,113,11,36,0,0,971,21,1
0,1,4,3,6,4,0,54,215,1
0.199201,1,163,12,62,0,0,1620,1,1
0.117541,2,99,5,42,0,1,799,3,1
0.0605505,9,36,9,36,2,11,342,197,1
0.248492,2,6,57,19,1,0,864,5,1
0.878788,1,6,2,4,2,0,56,10,1
0.10197,1,6,0,3,0,2,1474,2,1
0.105389,1,6,1,3,0,0,2438,2,1
0.105389,1,6,1,3,0,0,2437,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0,0,0,1,0,1,0,3,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0,0,1,1,1,1,0,2304,3,1
0.105389,1,6,1,3,0,0,2439,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0.105389,1,6,1,3,0,0,2439,2,1
0,0,0,1,0,1,1,4,1,1
0,0,9,1,9,0,1,107,9,1
0,0,2,4,4,0,0,43,1,1
0.159509,4,29,7,30,0,0,233,6,1
0.0403458,1,62,14,33,1,0,585,14,1
0,1,6,4,6,1,2,64,7,1
