CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0.328767,1,17,6,15,0,1,185,11,0
0.219178,7,18,5,20,0,1,259,16,0
0,0,8,0,6,0,0,87,6,0
0.716895,1,24,1,5,0,0,173,0,1
0,0,2,0,2,0,0,23,2,0
0.922353,2,31,8,30,0,1,369,16,0
0.385542,3,10,8,12,0,1,172,8,0
0,1,4,0,4,0,0,54,0,0
0.133858,2,31,4,32,7,0,182,127,1
0,0,23,4,26,7,0,149,123,1
0.182796,0,21,4,24,7,0,121,117,1
0,0,3,4,7,7,0,30,103,1
0,0,5,4,8,7,0,41,105,1
0,0,7,4,11,7,0,54,107,1
0,0,13,4,16,7,0,89,113,1
0,1,32,14,25,1,0,199,10,1
0.333333,0,17,5,18,7,0,100,113,1
0,1,49,16,16,1,0,407,3,1
0,0,3,3,6,7,0,30,103,1
0,1,4,5,5,2,0,56,12,1
0,0,3,3,6,7,0,30,103,1
0,0,3,4,7,7,0,30,103,1
0.0968801,4,79,24,60,7,0,677,158,1
0,1,38,8,34,6,52,261,100,1
0,0,1,4,2,7,0,18,102,1
0,0,7,4,11,7,0,49,107,1
0,0,0,0,0,0,7,3,0,1
0,2,19,8,25,7,0,128,117,1
0,0,17,4,23,7,0,114,117,1
0,0,5,4,8,7,0,42,105,1
0,0,9,4,15,7,0,66,109,1
0,0,3,4,6,7,0,30,103,1
0,0,3,4,6,7,0,30,103,1
0,0,3,4,7,7,0,30,103,1
0,0,21,4,25,7,0,137,121,1
0,0,27,4,33,7,0,174,127,1
0.154971,4,43,5,45,7,0,260,139,1
0,0,3,4,6,7,0,30,104,1
0,0,5,4,9,7,0,42,105,1
0.382022,0,9,5,8,7,0,51,106,1
0.386364,0,9,4,8,7,0,51,106,1
0,0,19,4,24,7,0,126,119,1
0,0,5,6,8,7,0,42,104,1
0,0,3,3,6,7,0,30,103,1
0,0,9,4,12,7,0,67,109,1
0,0,5,4,8,7,0,43,105,1
0,0,7,4,13,7,0,54,107,1
0.0669014,0,36,5,41,7,0,227,136,1
0,0,5,4,11,7,0,42,105,1
0.271386,0,27,14,35,7,0,176,116,1
0,0,3,4,6,7,0,30,103,1
0,0,9,4,13,7,0,66,109,1
0,0,3,4,7,7,0,30,103,1
0,0,3,4,6,7,0,30,103,1
0.479167,0,18,9,27,7,0,126,115,1
0,4,28,13,40,7,0,189,123,1
0,0,7,4,12,7,0,54,107,1
0,0,3,4,6,7,0,30,103,1
0.0809524,0,44,7,43,7,0,248,131,1
0.21519,0,17,4,18,7,0,98,113,1
0.303191,1,73,17,55,7,0,363,135,1
0.0696721,1,41,19,40,7,0,229,119,1
0.122302,1,26,12,27,7,0,148,112,1
0.149123,3,27,5,29,7,0,162,124,1
0.901961,0,6,8,11,7,0,55,103,1
0,0,5,4,10,7,0,42,105,1
0.507353,1,13,5,9,2,0,61,5,1
0,0,8,1,8,3,1,19,51,1
0,0,4,1,4,3,1,19,49,1
0,0,4,1,4,3,1,13,49,1
0,0,2,1,2,3,1,9,47,1
0,0,2,1,2,3,1,9,47,1
0,0,2,1,2,3,1,9,47,1
0,0,14,1,14,3,1,56,59,1
0,0,0,1,0,1,1,2,3,1
0,0,10,1,10,3,1,22,55,1
0,0,0,1,0,2,1,2,42,1
0,0,4,1,4,2,36,17,45,1
0,0,2,1,2,3,1,9,47,1
0,0,4,1,4,3,1,16,49,1
0,0,8,1,8,3,1,19,53,1
0,0,0,1,0,3,1,2,45,1
0,0,2,1,2,3,1,9,47,1
0,0,18,1,18,3,1,70,63,1
0,0,20,1,20,3,1,76,65,1
0,0,10,1,10,3,1,36,55,1
0,0,0,1,0,3,1,2,45,1
0,0,2,1,2,3,1,7,47,1
0,0,4,1,4,3,1,17,49,1
0,0,8,1,8,3,1,31,53,1
0,0,6,1,6,3,1,26,51,1
0,0,4,1,4,3,1,11,49,1
0,0,0,1,0,3,1,2,45,1
0,0,0,1,0,3,1,2,45,1
0,0,16,1,16,3,1,59,61,1
0,0,4,1,4,3,1,11,49,1
0,0,2,1,2,3,1,9,47,1
0,0,2,1,2,3,1,9,47,1
0,0,8,1,8,3,1,31,53,1
0,0,2,1,2,3,1,9,47,1
0,0,6,1,6,3,1,11,51,1
0,0,4,1,4,3,1,16,49,1
0,0,0,1,0,3,1,2,45,1
0,0,2,1,2,3,1,9,47,1
0,0,2,1,2,3,1,9,47,1
0,0,11,4,14,7,0,47,103,1
0,0,9,4,12,7,0,39,101,1
0,0,9,4,12,7,0,39,101,1
0,0,7,4,10,7,0,31,99,1
0,0,7,4,10,7,0,31,99,1
0,0,7,4,10,7,0,31,99,1
0,0,19,4,24,7,0,79,111,1
0,1,2,11,5,2,0,22,11,1
0,0,15,4,18,7,0,63,107,1
0,1,5,41,4,7,0,78,138,1
0,0,15,3,14,6,35,55,96,1
0,0,7,4,10,7,0,31,99,1
0,0,9,4,12,7,0,39,101,1
0,0,13,4,16,7,0,55,105,1
0,0,5,4,8,7,0,23,97,1
0,0,7,4,10,7,0,31,99,1
0,0,23,4,26,7,0,95,115,1
0,0,25,4,32,7,0,103,117,1
0,0,15,4,20,7,0,62,107,1
0,0,5,4,8,7,0,23,97,1
0,0,7,4,10,7,0,31,99,1
0,0,9,4,12,7,0,39,101,1
0,0,13,4,16,7,0,55,105,1
0,0,11,4,14,7,0,47,103,1
0,0,9,4,12,7,0,39,101,1
0,0,5,4,8,7,0,23,97,1
0,0,5,4,8,7,0,23,97,1
0,0,21,4,28,7,0,86,113,1
0,0,9,4,12,7,0,39,101,1
0,0,7,4,10,7,0,31,99,1
0,0,7,4,10,7,0,31,99,1
0,0,13,4,18,7,0,55,105,1
0,0,7,4,10,7,0,31,99,1
0,0,11,4,14,7,0,47,103,1
0,0,9,4,12,7,0,39,101,1
0,0,5,4,8,7,0,23,97,1
0,0,7,4,10,7,0,31,99,1
0,0,7,4,10,7,0,31,99,1
0.389254,4,132,12,87,3,2,992,60,1
0,0,36,4,13,4,1,192,60,1
0.246401,1,56,8,39,2,0,430,14,1
0,0,3,4,4,6,1,38,77,1
0,1,32,5,24,4,3,320,64,1
0,2,12,3,14,3,2,119,53,1
0,0,3,5,4,5,1,38,73,1
0.61326,3,18,9,11,1,0,121,4,1
0.0661435,19,208,42,170,5,1,1674,119,1
0.365132,9,37,23,22,1,2,196,10,1
0.158257,1,40,4,14,1,1,172,4,1
0,1,4,4,12,4,0,75,61,1
0,1,11,5,13,5,0,106,61,1
0.45098,1,3,5,7,7,0,61,78,1
0.45098,1,3,5,7,6,0,61,74,1
0.158012,1,240,26,103,7,0,1834,188,1
0.154412,1,10,9,23,6,0,142,84,1
0.176,1,5,9,16,6,0,92,74,1
0.643939,1,6,7,16,6,0,87,90,1
0.459459,1,9,8,17,7,0,109,90,1
0.522059,1,4,5,16,6,0,90,82,1
0.64557,1,4,5,12,6,0,80,72,1
0,0,1,1,1,1,14,10,26,1
0,1,3,4,10,4,0,69,54,1
0,1,3,5,8,6,0,63,69,1
0,1,3,5,9,6,0,68,77,1
0,0,4,4,6,5,0,41,72,1
0.15436,7,174,32,88,6,3,1213,137,1
0,1,27,8,29,5,1,276,83,1
0,1,7,6,13,5,1,86,73,1
0.234323,1,106,19,89,5,4,789,89,1
0,0,27,5,13,6,1,176,89,1
0,1,25,5,20,5,1,227,81,1
0,2,10,9,20,5,1,188,71,1
0,1,2,0,1,0,0,13,0,1
0.121047,1,65,5,36,1,1,442,9,1
0.134355,15,118,13,95,2,3,1163,48,1
0.166096,1,54,5,23,1,0,327,9,1
0,0,1,2,1,0,0,21,0,1
0.435484,0,14,5,12,3,1,127,53,1
0.363585,2,138,10,76,4,7,925,70,1
0,0,9,5,10,5,1,106,68,1
0,0,1,1,2,1,0,5,2,1
0.176415,1,310,12,85,1,0,1873,26,1
0,1,13,9,18,5,2,115,76,1
0.434024,1,85,3,31,1,0,469,15,1
0,3,10,2,10,1,1,100,10,1
0,1,6,3,7,2,0,82,16,1
0,0,4,1,4,0,1,42,4,1
0,0,1,1,1,0,2,14,1,1
0,0,5,1,5,0,1,33,5,1
0,0,10,3,10,1,0,63,22,1
0,0,11,3,11,1,0,119,23,1
0,0,1,0,1,0,0,193,1,1
0,0,16,5,16,1,0,129,28,1
0,0,8,1,8,1,0,56,20,1
0,0,20,10,20,1,1,197,32,1
0,0,8,2,8,0,0,118,8,1
0,0,4,1,4,1,0,24,16,1
0,0,12,1,12,0,6,103,12,1
0,0,2,1,2,0,0,19,2,1
0,0,6,1,6,1,0,58,11,1
0,0,4,4,4,1,1,71,16,1
0,0,1,0,1,0,0,31,1,1
0,0,1,2,1,1,0,17,13,1
0,0,3,3,3,0,1,24,3,1
0,0,10,5,10,0,0,93,10,1
0,0,2,1,2,1,0,25,7,1
0,0,13,4,13,1,0,124,18,1
0,0,5,2,5,0,3,88,5,1
0,0,12,7,12,0,2,203,12,0
0,0,3,1,3,0,0,69,3,0
0,0,1,1,1,0,0,40,1,0
0,0,3,4,3,0,1,49,3,0
0,0,14,0,14,0,1,141,14,0
0,0,12,3,12,0,2,184,12,0
0,0,1,1,1,1,0,11,2,0
0,0,6,2,6,0,1,83,6,0
0,0,2,3,2,1,0,12,12,0
0,0,3,2,3,1,0,20,13,0
0,0,1,2,1,1,0,8,11,0
0,1,13,1,8,0,0,333,5,1
0,1,1,0,1,0,0,22,1,1
0.123543,1,288,22,112,2,0,1863,16,1
0.100569,2,143,26,94,2,1,1145,15,1
0.0946124,2,35,16,36,3,0,448,24,1
0,0,2,2,2,0,2,37,2,1
0.289984,1,195,27,70,1,0,1412,25,1
0,0,14,3,14,2,1,256,19,1
0.0930233,1,29,10,21,1,0,387,13,1
0.0302307,1,106,18,72,2,0,772,29,1
0.0449062,1,199,16,52,1,2,1149,8,1
0.0702782,15,111,17,75,2,0,1121,64,1
0,1,2,2,6,0,0,42,2,1
0,1,15,1,11,0,0,198,10,1
0.0951121,2,355,41,205,2,0,2930,57,1
0,1,2,3,6,0,0,73,2,1
0,1,3,0,3,0,0,93,3,1
0,1,2,0,2,0,0,47,2,1
0,1,7,1,3,0,0,145,3,1
0.210526,1,12,2,12,1,0,122,8,1
0.93133,1,18,3,13,1,0,120,7,1
0.182857,1,12,4,14,1,0,114,9,1
0,2,11,1,10,0,7,103,6,1
0.21044,1,45,0,12,0,0,260,11,1
0.637363,1,9,3,11,1,0,72,7,1
0,0,1,1,1,0,3,21,1,1
0.417549,1,90,9,33,1,0,983,2,1
0,1,34,3,3,1,0,197,2,1
0.405063,1,53,3,4,1,0,285,2,1
0,2,5,3,5,1,7,72,3,0
0,1,3,1,3,1,0,130,3,0
0,0,3,1,3,0,1,58,3,0
0,0,1,3,1,0,1,20,1,0
0,1,27,11,14,1,0,491,4,0
0,4,13,8,17,2,0,124,12,1
0,4,18,7,18,2,0,156,13,1
0,3,26,7,19,2,0,201,13,1
0,0,4,1,7,1,0,43,10,0
0,0,10,1,13,1,0,74,16,0
0.168342,2,46,7,21,2,0,264,13,1
0,3,7,5,9,2,0,41,9,1
0,3,8,4,9,2,0,76,10,1
0,0,3,1,3,0,4,5,3,0
0.161446,2,46,4,13,2,0,316,10,1
0,0,2,0,2,0,0,9,2,1
0,2,14,0,10,0,0,180,10,1
0.397727,4,85,0,13,0,0,625,10,1
0,0,1,0,1,0,0,29,1,0
0,0,1,0,1,0,0,107,1,0
0,1,11,0,1,0,0,46,1,0
0,0,1,0,1,0,0,33,1,0
0,1,12,1,1,1,0,83,1,1
0,0,2,0,2,0,1,17,2,1
0,0,10,0,10,0,2,27,10,0
0,1,4,1,5,0,0,31,4,1
0,2,25,4,23,1,0,143,19,1
0.278633,1,59,10,25,0,2,1878,5,1
0,0,2,0,2,0,0,18,2,1
0.529032,1,59,0,8,0,0,207,5,1
0,1,34,1,13,0,0,150,6,1
