Run,Project,Feature_1,Feature_2,Feature_3
Run_1,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_2,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_3,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_4,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_5,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_6,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_7,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_8,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_9,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_10,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_11,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_12,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_13,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_14,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_15,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_16,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_17,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_18,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_19,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_20,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_21,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_22,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_23,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_24,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_25,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_26,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_27,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_28,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_29,BugPrediction_Eclipse,CC,LCOM5,WMC
Run_30,BugPrediction_Eclipse,CC,LCOM5,WMC
