Run,Project,Feature_1,Feature_2,Feature_3
Run_1,BugPrediction_Eclipse,DIT,CBO,RFC
Run_2,BugPrediction_Eclipse,DIT,CBO,RFC
Run_3,BugPrediction_Eclipse,DIT,CBO,RFC
Run_4,BugPrediction_Eclipse,DIT,CBO,RFC
Run_5,BugPrediction_Eclipse,DIT,CBO,RFC
Run_6,BugPrediction_Eclipse,DIT,CBO,RFC
Run_7,BugPrediction_Eclipse,DIT,CBO,RFC
Run_8,BugPrediction_Eclipse,DIT,CBO,RFC
Run_9,BugPrediction_Eclipse,DIT,CBO,RFC
Run_10,BugPrediction_Eclipse,DIT,CBO,RFC
Run_11,BugPrediction_Eclipse,DIT,CBO,RFC
Run_12,BugPrediction_Eclipse,DIT,CBO,RFC
Run_13,BugPrediction_Eclipse,DIT,CBO,RFC
Run_14,BugPrediction_Eclipse,DIT,CBO,RFC
Run_15,BugPrediction_Eclipse,DIT,CBO,RFC
Run_16,BugPrediction_Eclipse,DIT,CBO,RFC
Run_17,BugPrediction_Eclipse,DIT,CBO,RFC
Run_18,BugPrediction_Eclipse,DIT,CBO,RFC
Run_19,BugPrediction_Eclipse,DIT,CBO,RFC
Run_20,BugPrediction_Eclipse,DIT,CBO,RFC
Run_21,BugPrediction_Eclipse,DIT,CBO,RFC
Run_22,BugPrediction_Eclipse,DIT,CBO,RFC
Run_23,BugPrediction_Eclipse,DIT,CBO,RFC
Run_24,BugPrediction_Eclipse,DIT,CBO,RFC
Run_25,BugPrediction_Eclipse,DIT,CBO,RFC
Run_26,BugPrediction_Eclipse,DIT,CBO,RFC
Run_27,BugPrediction_Eclipse,DIT,CBO,RFC
Run_28,BugPrediction_Eclipse,DIT,CBO,RFC
Run_29,BugPrediction_Eclipse,DIT,CBO,RFC
Run_30,BugPrediction_Eclipse,DIT,CBO,RFC
