Run,Project,Feature_1,Feature_2,Feature_3
Run_1,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_2,BugPrediction_Equinox,WMC,CBO,RFC
Run_3,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_4,BugPrediction_Equinox,CC,LCOM5,WMC
Run_5,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_6,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_7,BugPrediction_Equinox,CC,LCOM5,WMC
Run_8,BugPrediction_Equinox,CC,LCOM5,WMC
Run_9,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_10,BugPrediction_Equinox,WMC,CBO,RFC
Run_11,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_12,BugPrediction_Equinox,CC,LCOM5,WMC
Run_13,BugPrediction_Equinox,CC,LCOM5,WMC
Run_14,BugPrediction_Equinox,CC,LCOM5,WMC
Run_15,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_16,BugPrediction_Equinox,CC,LCOM5,WMC
Run_17,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_18,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_19,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_20,BugPrediction_Equinox,CC,LCOM5,WMC
Run_21,BugPrediction_Equinox,CC,LCOM5,WMC
Run_22,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_23,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_24,BugPrediction_Equinox,WMC,CBO,RFC
Run_25,BugPrediction_Equinox,CC,WMC,CBO
Run_26,BugPrediction_Equinox,CC,LCOM5,WMC
Run_27,BugPrediction_Equinox,CC,LCOM5,WMC
Run_28,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_29,BugPrediction_Equinox,LCOM5,WMC,CBO
Run_30,BugPrediction_Equinox,CC,WMC,CBO
