Run,Project,Feature_1,Feature_2,Feature_3
Run_1,BugPrediction_Equinox,CBO,NPM,DIT
Run_2,BugPrediction_Equinox,CBO,RFC,NPM
Run_3,BugPrediction_Equinox,CBO,RFC,NPM
Run_4,BugPrediction_Equinox,CBO,RFC,NPM
Run_5,BugPrediction_Equinox,DIT,CBO,NPM
Run_6,BugPrediction_Equinox,CBO,DIT,NPM
Run_7,BugPrediction_Equinox,CBO,NPM,LOC
Run_8,BugPrediction_Equinox,CBO,LOC,RFC
Run_9,BugPrediction_Equinox,CBO,DIT,NPM
Run_10,BugPrediction_Equinox,CBO,RFC,NPM
Run_11,BugPrediction_Equinox,CBO,NPM,LOC
Run_12,BugPrediction_Equinox,CBO,LOC,NPM
Run_13,BugPrediction_Equinox,CBO,DIT,NPM
Run_14,BugPrediction_Equinox,CBO,LOC,DIT
Run_15,BugPrediction_Equinox,CBO,DIT,RFC
Run_16,BugPrediction_Equinox,CBO,NPM,DIT
Run_17,BugPrediction_Equinox,CBO,LOC,RFC
Run_18,BugPrediction_Equinox,CBO,DIT,RFC
Run_19,BugPrediction_Equinox,CBO,LOC,NPM
Run_20,BugPrediction_Equinox,CBO,DIT,LOC
Run_21,BugPrediction_Equinox,CBO,DIT,NPM
Run_22,BugPrediction_Equinox,CBO,LOC,NPM
Run_23,BugPrediction_Equinox,CBO,RFC,DIT
Run_24,BugPrediction_Equinox,CBO,DIT,NPM
Run_25,BugPrediction_Equinox,NPM,DIT,CBO
Run_26,BugPrediction_Equinox,CBO,NPM,LOC
Run_27,BugPrediction_Equinox,CBO,NPM,LOC
Run_28,BugPrediction_Equinox,NPM,RFC,CBO
Run_29,BugPrediction_Equinox,NPM,CBO,LOC
Run_30,BugPrediction_Equinox,CBO,NPM,DIT
