Run,Project,Feature_1,Feature_2,Feature_3
Run_1,BugPrediction_Mylyn,CC,WMC,CBO
Run_2,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_3,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_4,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_5,BugPrediction_Mylyn,LCOM5,WMC,CBO
Run_6,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_7,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_8,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_9,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_10,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_11,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_12,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_13,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_14,BugPrediction_Mylyn,LCOM5,WMC,CBO
Run_15,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_16,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_17,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_18,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_19,BugPrediction_Mylyn,LCOM5,WMC,CBO
Run_20,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_21,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_22,BugPrediction_Mylyn,LCOM5,WMC,CBO
Run_23,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_24,BugPrediction_Mylyn,LCOM5,WMC,CBO
Run_25,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_26,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_27,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_28,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_29,BugPrediction_Mylyn,CC,LCOM5,WMC
Run_30,BugPrediction_Mylyn,CC,LCOM5,WMC
