Run,Project,Feature_1,Feature_2,Feature_3
Run_1,BugPrediction_PDE,CC,LCOM5,WMC
Run_2,BugPrediction_PDE,CC,LCOM5,WMC
Run_3,BugPrediction_PDE,LCOM5,WMC,CBO
Run_4,BugPrediction_PDE,CC,LCOM5,WMC
Run_5,BugPrediction_PDE,CC,LCOM5,WMC
Run_6,BugPrediction_PDE,CC,LCOM5,WMC
Run_7,BugPrediction_PDE,LCOM5,WMC,CBO
Run_8,BugPrediction_PDE,CC,LCOM5,WMC
Run_9,BugPrediction_PDE,LCOM5,WMC,CBO
Run_10,BugPrediction_PDE,CC,LCOM5,WMC
Run_11,BugPrediction_PDE,CC,LCOM5,WMC
Run_12,BugPrediction_PDE,CC,LCOM5,WMC
Run_13,BugPrediction_PDE,CC,LCOM5,WMC
Run_14,BugPrediction_PDE,CC,LCOM5,WMC
Run_15,BugPrediction_PDE,CC,LCOM5,WMC
Run_16,BugPrediction_PDE,CC,LCOM5,WMC
Run_17,BugPrediction_PDE,CC,LCOM5,WMC
Run_18,BugPrediction_PDE,CC,LCOM5,WMC
Run_19,BugPrediction_PDE,CC,LCOM5,WMC
Run_20,BugPrediction_PDE,CC,LCOM5,WMC
Run_21,BugPrediction_PDE,LCOM5,WMC,CBO
Run_22,BugPrediction_PDE,LCOM5,WMC,CBO
Run_23,BugPrediction_PDE,CC,LCOM5,WMC
Run_24,BugPrediction_PDE,CC,LCOM5,WMC
Run_25,BugPrediction_PDE,CC,LCOM5,WMC
Run_26,BugPrediction_PDE,CC,LCOM5,WMC
Run_27,BugPrediction_PDE,CC,LCOM5,WMC
Run_28,BugPrediction_PDE,CC,LCOM5,WMC
Run_29,BugPrediction_PDE,CC,LCOM5,WMC
Run_30,BugPrediction_PDE,CC,LCOM5,WMC
