Run,Project,Feature_1,Feature_2,Feature_3
Run_1,BugPrediction_PDE,WMC,LOC,NPM
Run_2,BugPrediction_PDE,WMC,CBO,LOC
Run_3,BugPrediction_PDE,WMC,RFC,LOC
Run_4,BugPrediction_PDE,CC,WMC,RFC
Run_5,BugPrediction_PDE,WMC,RFC,LOC
Run_6,BugPrediction_PDE,WMC,CBO,LOC
Run_7,BugPrediction_PDE,CBO,DIT,LOC
Run_8,BugPrediction_PDE,WMC,CBO,NPM
Run_9,BugPrediction_PDE,WMC,LOC,NPM
Run_10,BugPrediction_PDE,CC,WMC,LOC
Run_11,BugPrediction_PDE,WMC,RFC,LOC
Run_12,BugPrediction_PDE,WMC,CBO,RFC
Run_13,BugPrediction_PDE,WMC,RFC,NPM
Run_14,BugPrediction_PDE,WMC,RFC,LOC
Run_15,BugPrediction_PDE,CC,WMC,RFC
Run_16,BugPrediction_PDE,CBO,RFC,LOC
Run_17,BugPrediction_PDE,WMC,LOC,NPM
Run_18,BugPrediction_PDE,CC,RFC,LOC
Run_19,BugPrediction_PDE,WMC,RFC,LOC
Run_20,BugPrediction_PDE,CC,WMC,CBO
Run_21,BugPrediction_PDE,WMC,LOC,NPM
Run_22,BugPrediction_PDE,WMC,CBO,RFC
Run_23,BugPrediction_PDE,WMC,LOC,NPM
Run_24,BugPrediction_PDE,WMC,CBO,RFC
Run_25,BugPrediction_PDE,WMC,RFC,LOC
Run_26,BugPrediction_PDE,CC,WMC,CBO
Run_27,BugPrediction_PDE,WMC,CBO,LOC
Run_28,BugPrediction_PDE,WMC,LOC,NPM
Run_29,BugPrediction_PDE,WMC,RFC,LOC
Run_30,BugPrediction_PDE,CC,WMC,LOC
