Run,Project,Feature_1,Feature_2,Feature_3
Run_1,BugPrediction_lucene,CC,LCOM5,WMC
Run_2,BugPrediction_lucene,CC,LCOM5,WMC
Run_3,BugPrediction_lucene,LCOM5,WMC,CBO
Run_4,BugPrediction_lucene,CC,LCOM5,WMC
Run_5,BugPrediction_lucene,LCOM5,WMC,CBO
Run_6,BugPrediction_lucene,CC,LCOM5,WMC
Run_7,BugPrediction_lucene,WMC,RFC,DIT
Run_8,BugPrediction_lucene,LCOM5,WMC,CBO
Run_9,BugPrediction_lucene,CC,LCOM5,WMC
Run_10,BugPrediction_lucene,CC,LCOM5,WMC
Run_11,BugPrediction_lucene,LCOM5,WMC,CBO
Run_12,BugPrediction_lucene,CC,LCOM5,WMC
Run_13,BugPrediction_lucene,LCOM5,WMC,CBO
Run_14,BugPrediction_lucene,CC,LCOM5,WMC
Run_15,BugPrediction_lucene,CC,LCOM5,WMC
Run_16,BugPrediction_lucene,LCOM5,WMC,CBO
Run_17,BugPrediction_lucene,CC,WMC,CBO
Run_18,BugPrediction_lucene,CC,LCOM5,WMC
Run_19,BugPrediction_lucene,CC,LCOM5,WMC
Run_20,BugPrediction_lucene,CC,LCOM5,WMC
Run_21,BugPrediction_lucene,CC,LCOM5,WMC
Run_22,BugPrediction_lucene,CC,WMC,CBO
Run_23,BugPrediction_lucene,CC,LCOM5,WMC
Run_24,BugPrediction_lucene,CC,LCOM5,WMC
Run_25,BugPrediction_lucene,CC,LCOM5,WMC
Run_26,BugPrediction_lucene,LCOM5,WMC,CBO
Run_27,BugPrediction_lucene,CC,LCOM5,WMC
Run_28,BugPrediction_lucene,LCOM5,WMC,CBO
Run_29,BugPrediction_lucene,WMC,CBO,RFC
Run_30,BugPrediction_lucene,LCOM5,WMC,CBO
