Run,Project,Feature_1,Feature_2,Feature_3
Run_1,BugPrediction_lucene,LCOM5,RFC,NPM
Run_2,BugPrediction_lucene,CC,CBO,RFC
Run_3,BugPrediction_lucene,WMC,CBO,RFC
Run_4,BugPrediction_lucene,LCOM5,CBO,RFC
Run_5,BugPrediction_lucene,CC,CBO,RFC
Run_6,BugPrediction_lucene,CC,CBO,RFC
Run_7,BugPrediction_lucene,WMC,RFC,NPM
Run_8,BugPrediction_lucene,CBO,RFC,NPM
Run_9,BugPrediction_lucene,WMC,CBO,RFC
Run_10,BugPrediction_lucene,CBO,RFC,NPM
Run_11,BugPrediction_lucene,CBO,RFC,NPM
Run_12,BugPrediction_lucene,CBO,RFC,LOC
Run_13,BugPrediction_lucene,WMC,CBO,RFC
Run_14,BugPrediction_lucene,CBO,RFC,NOC
Run_15,BugPrediction_lucene,CC,CBO,RFC
Run_16,BugPrediction_lucene,CBO,RFC,NPM
Run_17,BugPrediction_lucene,CBO,RFC,NPM
Run_18,BugPrediction_lucene,CC,CBO,RFC
Run_19,BugPrediction_lucene,CC,CBO,RFC
Run_20,BugPrediction_lucene,CBO,RFC,NPM
Run_21,BugPrediction_lucene,CC,CBO,RFC
Run_22,BugPrediction_lucene,CBO,RFC,LOC
Run_23,BugPrediction_lucene,CBO,RFC,LOC
Run_24,BugPrediction_lucene,CBO,RFC,NPM
Run_25,BugPrediction_lucene,CBO,RFC,NPM
Run_26,BugPrediction_lucene,WMC,CBO,RFC
Run_27,BugPrediction_lucene,CC,CBO,RFC
Run_28,BugPrediction_lucene,WMC,CBO,RFC
Run_29,BugPrediction_lucene,CC,CBO,RFC
Run_30,BugPrediction_lucene,CBO,RFC,LOC
