Run,Project,Feature_1,Feature_2,Feature_3
Run_1,BugPrediction_lucene,DIT,RFC,CBO
Run_2,BugPrediction_lucene,DIT,LCOM5,RFC
Run_3,BugPrediction_lucene,DIT,RFC,CBO
Run_4,BugPrediction_lucene,DIT,CBO,RFC
Run_5,BugPrediction_lucene,DIT,LCOM5,RFC
Run_6,BugPrediction_lucene,DIT,LCOM5,RFC
Run_7,BugPrediction_lucene,DIT,RFC,CBO
Run_8,BugPrediction_lucene,DIT,RFC,CBO
Run_9,BugPrediction_lucene,DIT,RFC,CBO
Run_10,BugPrediction_lucene,DIT,RFC,CBO
Run_11,BugPrediction_lucene,DIT,CBO,RFC
Run_12,BugPrediction_lucene,DIT,RFC,CBO
Run_13,BugPrediction_lucene,DIT,LCOM5,RFC
Run_14,BugPrediction_lucene,DIT,LCOM5,RFC
Run_15,BugPrediction_lucene,DIT,RFC,CBO
Run_16,BugPrediction_lucene,DIT,LCOM5,RFC
Run_17,BugPrediction_lucene,DIT,LCOM5,RFC
Run_18,BugPrediction_lucene,DIT,LCOM5,RFC
Run_19,BugPrediction_lucene,DIT,RFC,CBO
Run_20,BugPrediction_lucene,DIT,LCOM5,RFC
Run_21,BugPrediction_lucene,DIT,RFC,CBO
Run_22,BugPrediction_lucene,DIT,RFC,LCOM5
Run_23,BugPrediction_lucene,DIT,RFC,CBO
Run_24,BugPrediction_lucene,DIT,RFC,CBO
Run_25,BugPrediction_lucene,DIT,LCOM5,RFC
Run_26,BugPrediction_lucene,DIT,LCOM5,RFC
Run_27,BugPrediction_lucene,DIT,LCOM5,RFC
Run_28,BugPrediction_lucene,DIT,LCOM5,RFC
Run_29,BugPrediction_lucene,DIT,RFC,CBO
Run_30,BugPrediction_lucene,DIT,RFC,CBO
