Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_Android,WMC,CBO,NPM
Run_2,Github_Android,LCOM5,WMC,NPM
Run_3,Github_Android,CC,LCOM5,LOC
Run_4,Github_Android,NOC,LOC,NPM
Run_5,Github_Android,WMC,LOC,NPM
Run_6,Github_Android,WMC,CBO,LOC
Run_7,Github_Android,WMC,LOC,NPM
Run_8,Github_Android,WMC,LOC,NPM
Run_9,Github_Android,CC,WMC,LOC
Run_10,Github_Android,CBO,LOC,NPM
Run_11,Github_Android,WMC,DIT,LOC
Run_12,Github_Android,CC,WMC,NPM
Run_13,Github_Android,WMC,LOC,NPM
Run_14,Github_Android,WMC,CBO,NPM
Run_15,Github_Android,LCOM5,DIT,NPM
Run_16,Github_Android,WMC,DIT,LOC
Run_17,Github_Android,RFC,LOC,NPM
Run_18,Github_Android,LCOM5,LOC,NPM
Run_19,Github_Android,WMC,RFC,DIT
Run_20,Github_Android,CBO,LOC,NPM
Run_21,Github_Android,LCOM5,LOC,NPM
Run_22,Github_Android,LCOM5,LOC,NPM
Run_23,Github_Android,WMC,LOC,NPM
Run_24,Github_Android,WMC,CBO,NPM
Run_25,Github_Android,WMC,LOC,NPM
Run_26,Github_Android,LCOM5,LOC,NPM
Run_27,Github_Android,WMC,LOC,NPM
Run_28,Github_Android,WMC,LOC,NPM
Run_29,Github_Android,WMC,CBO,LOC
Run_30,Github_Android,DIT,LOC,NPM
