Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_JUnit,CC,LCOM5,WMC
Run_2,Github_JUnit,CC,LCOM5,WMC
Run_3,Github_JUnit,CC,LCOM5,WMC
Run_4,Github_JUnit,CC,LCOM5,WMC
Run_5,Github_JUnit,CC,LCOM5,WMC
Run_6,Github_JUnit,CC,LCOM5,WMC
Run_7,Github_JUnit,LCOM5,WMC,CBO
Run_8,Github_JUnit,CC,LCOM5,WMC
Run_9,Github_JUnit,CC,LCOM5,WMC
Run_10,Github_JUnit,CC,LCOM5,WMC
Run_11,Github_JUnit,CC,LCOM5,WMC
Run_12,Github_JUnit,CC,LCOM5,WMC
Run_13,Github_JUnit,CC,LCOM5,WMC
Run_14,Github_JUnit,CC,LCOM5,WMC
Run_15,Github_JUnit,CC,LCOM5,WMC
Run_16,Github_JUnit,CC,LCOM5,WMC
Run_17,Github_JUnit,CC,LCOM5,WMC
Run_18,Github_JUnit,CC,LCOM5,WMC
Run_19,Github_JUnit,CC,LCOM5,WMC
Run_20,Github_JUnit,LCOM5,WMC,CBO
Run_21,Github_JUnit,CC,LCOM5,WMC
Run_22,Github_JUnit,CC,LCOM5,WMC
Run_23,Github_JUnit,CC,LCOM5,WMC
Run_24,Github_JUnit,CC,LCOM5,WMC
Run_25,Github_JUnit,CC,LCOM5,WMC
Run_26,Github_JUnit,LCOM5,WMC,CBO
Run_27,Github_JUnit,CC,LCOM5,WMC
Run_28,Github_JUnit,CC,WMC,CBO
Run_29,Github_JUnit,CC,LCOM5,WMC
Run_30,Github_JUnit,CC,LCOM5,WMC
