Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_JUnit,WMC,RFC,LOC
Run_2,Github_JUnit,CC,RFC,LOC
Run_3,Github_JUnit,WMC,RFC,LOC
Run_4,Github_JUnit,CC,RFC,LOC
Run_5,Github_JUnit,LCOM5,WMC,LOC
Run_6,Github_JUnit,WMC,RFC,LOC
Run_7,Github_JUnit,WMC,RFC,LOC
Run_8,Github_JUnit,WMC,RFC,LOC
Run_9,Github_JUnit,WMC,RFC,LOC
Run_10,Github_JUnit,WMC,RFC,LOC
Run_11,Github_JUnit,RFC,DIT,NOC
Run_12,Github_JUnit,WMC,RFC,LOC
Run_13,Github_JUnit,CC,WMC,RFC
Run_14,Github_JUnit,WMC,RFC,LOC
Run_15,Github_JUnit,WMC,RFC,LOC
Run_16,Github_JUnit,WMC,RFC,LOC
Run_17,Github_JUnit,RFC,DIT,LOC
Run_18,Github_JUnit,CC,RFC,DIT
Run_19,Github_JUnit,WMC,RFC,LOC
Run_20,Github_JUnit,WMC,RFC,LOC
Run_21,Github_JUnit,RFC,DIT,LOC
Run_22,Github_JUnit,WMC,RFC,LOC
Run_23,Github_JUnit,WMC,RFC,LOC
Run_24,Github_JUnit,WMC,NOC,LOC
Run_25,Github_JUnit,WMC,RFC,LOC
Run_26,Github_JUnit,WMC,RFC,LOC
Run_27,Github_JUnit,WMC,RFC,LOC
Run_28,Github_JUnit,WMC,RFC,LOC
Run_29,Github_JUnit,LCOM5,RFC,LOC
Run_30,Github_JUnit,CC,WMC,RFC
