Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_JUnit,DIT,RFC,WMC
Run_2,Github_JUnit,DIT,RFC,WMC
Run_3,Github_JUnit,DIT,RFC,WMC
Run_4,Github_JUnit,DIT,RFC,CBO
Run_5,Github_JUnit,DIT,RFC,WMC
Run_6,Github_JUnit,DIT,RFC,WMC
Run_7,Github_JUnit,DIT,RFC,LOC
Run_8,Github_JUnit,DIT,RFC,WMC
Run_9,Github_JUnit,DIT,RFC,WMC
Run_10,Github_JUnit,DIT,RFC,WMC
Run_11,Github_JUnit,DIT,RFC,LOC
Run_12,Github_JUnit,DIT,RFC,WMC
Run_13,Github_JUnit,DIT,RFC,WMC
Run_14,Github_JUnit,DIT,RFC,WMC
Run_15,Github_JUnit,DIT,RFC,CBO
Run_16,Github_JUnit,DIT,RFC,CBO
Run_17,Github_JUnit,DIT,RFC,LOC
Run_18,Github_JUnit,DIT,RFC,LOC
Run_19,Github_JUnit,DIT,RFC,CBO
Run_20,Github_JUnit,DIT,RFC,CBO
Run_21,Github_JUnit,DIT,RFC,CBO
Run_22,Github_JUnit,DIT,RFC,WMC
Run_23,Github_JUnit,DIT,RFC,LOC
Run_24,Github_JUnit,DIT,RFC,LOC
Run_25,Github_JUnit,DIT,RFC,CBO
Run_26,Github_JUnit,DIT,RFC,WMC
Run_27,Github_JUnit,DIT,RFC,CBO
Run_28,Github_JUnit,DIT,RFC,WMC
Run_29,Github_JUnit,DIT,RFC,LOC
Run_30,Github_JUnit,DIT,RFC,LOC
