Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_Neo4j,LCOM5,CBO,RFC
Run_2,Github_Neo4j,CC,LCOM5,CBO
Run_3,Github_Neo4j,LCOM5,CBO,NPM
Run_4,Github_Neo4j,CBO,RFC,DIT
Run_5,Github_Neo4j,CC,LCOM5,DIT
Run_6,Github_Neo4j,LCOM5,CBO,RFC
Run_7,Github_Neo4j,LCOM5,CBO,RFC
Run_8,Github_Neo4j,LCOM5,CBO,RFC
Run_9,Github_Neo4j,CC,CBO,LOC
Run_10,Github_Neo4j,CC,CBO,DIT
Run_11,Github_Neo4j,CC,CBO,NOC
Run_12,Github_Neo4j,WMC,CBO,NPM
Run_13,Github_Neo4j,CC,LCOM5,RFC
Run_14,Github_Neo4j,CC,CBO,RFC
Run_15,Github_Neo4j,CBO,RFC,DIT
Run_16,Github_Neo4j,WMC,CBO,RFC
Run_17,Github_Neo4j,LCOM5,CBO,RFC
Run_18,Github_Neo4j,CC,CBO,RFC
Run_19,Github_Neo4j,CC,CBO,RFC
Run_20,Github_Neo4j,LCOM5,CBO,DIT
Run_21,Github_Neo4j,LCOM5,CBO,DIT
Run_22,Github_Neo4j,CC,WMC,CBO
Run_23,Github_Neo4j,RFC,LOC,NPM
Run_24,Github_Neo4j,LCOM5,CBO,RFC
Run_25,Github_Neo4j,CBO,RFC,NOC
Run_26,Github_Neo4j,LCOM5,CBO,RFC
Run_27,Github_Neo4j,CC,CBO,RFC
Run_28,Github_Neo4j,LCOM5,CBO,LOC
Run_29,Github_Neo4j,CBO,RFC,LOC
Run_30,Github_Neo4j,WMC,CBO,LOC
