Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_Neo4j,DIT,CBO,LCOM5
Run_2,Github_Neo4j,DIT,CBO,CC
Run_3,Github_Neo4j,DIT,CBO,LCOM5
Run_4,Github_Neo4j,DIT,CBO,RFC
Run_5,Github_Neo4j,DIT,CBO,RFC
Run_6,Github_Neo4j,DIT,CBO,LCOM5
Run_7,Github_Neo4j,DIT,CBO,RFC
Run_8,Github_Neo4j,DIT,CBO,RFC
Run_9,Github_Neo4j,DIT,CBO,RFC
Run_10,Github_Neo4j,DIT,CBO,LCOM5
Run_11,Github_Neo4j,DIT,CBO,RFC
Run_12,Github_Neo4j,DIT,CBO,LCOM5
Run_13,Github_Neo4j,DIT,CBO,LCOM5
Run_14,Github_Neo4j,DIT,CBO,RFC
Run_15,Github_Neo4j,DIT,LCOM5,CBO
Run_16,Github_Neo4j,DIT,CBO,CC
Run_17,Github_Neo4j,DIT,LCOM5,CBO
Run_18,Github_Neo4j,DIT,CBO,RFC
Run_19,Github_Neo4j,DIT,CBO,RFC
Run_20,Github_Neo4j,DIT,CBO,RFC
Run_21,Github_Neo4j,DIT,LCOM5,RFC
Run_22,Github_Neo4j,DIT,CBO,LCOM5
Run_23,Github_Neo4j,DIT,CBO,RFC
Run_24,Github_Neo4j,DIT,CBO,LCOM5
Run_25,Github_Neo4j,DIT,LCOM5,CC
Run_26,Github_Neo4j,DIT,CBO,RFC
Run_27,Github_Neo4j,DIT,CBO,RFC
Run_28,Github_Neo4j,DIT,CBO,LCOM5
Run_29,Github_Neo4j,DIT,CBO,LCOM5
Run_30,Github_Neo4j,DIT,CBO,LCOM5
