Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_Netty,CC,LCOM5,WMC
Run_2,Github_Netty,LCOM5,WMC,CBO
Run_3,Github_Netty,LCOM5,WMC,CBO
Run_4,Github_Netty,LCOM5,WMC,CBO
Run_5,Github_Netty,CC,LCOM5,WMC
Run_6,Github_Netty,CC,LCOM5,WMC
Run_7,Github_Netty,CC,LCOM5,WMC
Run_8,Github_Netty,CC,LCOM5,WMC
Run_9,Github_Netty,LCOM5,WMC,CBO
Run_10,Github_Netty,LCOM5,WMC,CBO
Run_11,Github_Netty,LCOM5,WMC,CBO
Run_12,Github_Netty,CC,LCOM5,WMC
Run_13,Github_Netty,LCOM5,WMC,CBO
Run_14,Github_Netty,CC,WMC,CBO
Run_15,Github_Netty,CC,LCOM5,WMC
Run_16,Github_Netty,CC,LCOM5,WMC
Run_17,Github_Netty,CC,LCOM5,WMC
Run_18,Github_Netty,CC,LCOM5,WMC
Run_19,Github_Netty,CC,LCOM5,WMC
Run_20,Github_Netty,CC,LCOM5,WMC
Run_21,Github_Netty,LCOM5,WMC,CBO
Run_22,Github_Netty,CC,LCOM5,WMC
Run_23,Github_Netty,LCOM5,WMC,CBO
Run_24,Github_Netty,LCOM5,WMC,CBO
Run_25,Github_Netty,CC,LCOM5,WMC
Run_26,Github_Netty,LCOM5,WMC,CBO
Run_27,Github_Netty,LCOM5,WMC,CBO
Run_28,Github_Netty,CC,LCOM5,WMC
Run_29,Github_Netty,CC,LCOM5,WMC
Run_30,Github_Netty,LCOM5,WMC,CBO
