Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_ceylon,LCOM5,WMC,CBO
Run_2,Github_ceylon,WMC,CBO,RFC
Run_3,Github_ceylon,LCOM5,WMC,CBO
Run_4,Github_ceylon,LCOM5,WMC,CBO
Run_5,Github_ceylon,CC,LCOM5,WMC
Run_6,Github_ceylon,CC,LCOM5,WMC
Run_7,Github_ceylon,LCOM5,WMC,CBO
Run_8,Github_ceylon,WMC,CBO,RFC
Run_9,Github_ceylon,CC,LCOM5,WMC
Run_10,Github_ceylon,LCOM5,WMC,CBO
Run_11,Github_ceylon,LCOM5,WMC,CBO
Run_12,Github_ceylon,CC,LCOM5,WMC
Run_13,Github_ceylon,LCOM5,WMC,CBO
Run_14,Github_ceylon,LCOM5,WMC,CBO
Run_15,Github_ceylon,LCOM5,WMC,CBO
Run_16,Github_ceylon,CC,LCOM5,WMC
Run_17,Github_ceylon,LCOM5,WMC,CBO
Run_18,Github_ceylon,CC,LCOM5,WMC
Run_19,Github_ceylon,CC,LCOM5,WMC
Run_20,Github_ceylon,LCOM5,WMC,CBO
Run_21,Github_ceylon,CC,LCOM5,WMC
Run_22,Github_ceylon,LCOM5,WMC,CBO
Run_23,Github_ceylon,LCOM5,WMC,CBO
Run_24,Github_ceylon,LCOM5,WMC,CBO
Run_25,Github_ceylon,LCOM5,WMC,CBO
Run_26,Github_ceylon,LCOM5,WMC,CBO
Run_27,Github_ceylon,CC,LCOM5,WMC
Run_28,Github_ceylon,LCOM5,WMC,CBO
Run_29,Github_ceylon,LCOM5,WMC,CBO
Run_30,Github_ceylon,CC,LCOM5,WMC
