Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_ceylon,WMC,LOC,NPM
Run_2,Github_ceylon,CC,WMC,LOC
Run_3,Github_ceylon,WMC,LOC,NPM
Run_4,Github_ceylon,CC,WMC,LOC
Run_5,Github_ceylon,WMC,LOC,NPM
Run_6,Github_ceylon,WMC,LOC,NPM
Run_7,Github_ceylon,CC,WMC,LOC
Run_8,Github_ceylon,WMC,LOC,NPM
Run_9,Github_ceylon,WMC,LOC,NPM
Run_10,Github_ceylon,CC,WMC,LOC
Run_11,Github_ceylon,WMC,LOC,NPM
Run_12,Github_ceylon,WMC,LOC,NPM
Run_13,Github_ceylon,WMC,RFC,LOC
Run_14,Github_ceylon,WMC,RFC,LOC
Run_15,Github_ceylon,WMC,LOC,NPM
Run_16,Github_ceylon,WMC,LOC,NPM
Run_17,Github_ceylon,CC,WMC,RFC
Run_18,Github_ceylon,WMC,LOC,NPM
Run_19,Github_ceylon,WMC,LOC,NPM
Run_20,Github_ceylon,WMC,LOC,NPM
Run_21,Github_ceylon,WMC,LOC,NPM
Run_22,Github_ceylon,CC,WMC,NPM
Run_23,Github_ceylon,WMC,RFC,LOC
Run_24,Github_ceylon,WMC,RFC,LOC
Run_25,Github_ceylon,WMC,LOC,NPM
Run_26,Github_ceylon,WMC,LOC,NPM
Run_27,Github_ceylon,CC,WMC,LOC
Run_28,Github_ceylon,WMC,LOC,NPM
Run_29,Github_ceylon,WMC,RFC,LOC
Run_30,Github_ceylon,WMC,CBO,NPM
