Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_ceylon,RFC,DIT,NPM
Run_2,Github_ceylon,RFC,WMC,DIT
Run_3,Github_ceylon,RFC,DIT,NPM
Run_4,Github_ceylon,DIT,RFC,LOC
Run_5,Github_ceylon,WMC,DIT,RFC
Run_6,Github_ceylon,RFC,DIT,WMC
Run_7,Github_ceylon,DIT,RFC,WMC
Run_8,Github_ceylon,RFC,WMC,LOC
Run_9,Github_ceylon,RFC,WMC,DIT
Run_10,Github_ceylon,WMC,LOC,RFC
Run_11,Github_ceylon,RFC,DIT,WMC
Run_12,Github_ceylon,RFC,DIT,LOC
Run_13,Github_ceylon,RFC,DIT,WMC
Run_14,Github_ceylon,DIT,RFC,WMC
Run_15,Github_ceylon,RFC,DIT,LOC
Run_16,Github_ceylon,RFC,WMC,LOC
Run_17,Github_ceylon,WMC,RFC,LOC
Run_18,Github_ceylon,DIT,NPM,RFC
Run_19,Github_ceylon,RFC,WMC,LOC
Run_20,Github_ceylon,RFC,LOC,WMC
Run_21,Github_ceylon,DIT,RFC,WMC
Run_22,Github_ceylon,RFC,LOC,WMC
Run_23,Github_ceylon,RFC,LOC,WMC
Run_24,Github_ceylon,RFC,DIT,LOC
Run_25,Github_ceylon,NPM,RFC,DIT
Run_26,Github_ceylon,RFC,LOC,WMC
Run_27,Github_ceylon,DIT,RFC,WMC
Run_28,Github_ceylon,RFC,DIT,LOC
Run_29,Github_ceylon,RFC,WMC,DIT
Run_30,Github_ceylon,DIT,RFC,WMC
