Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_hazelcast,CBO,WMC,RFC
Run_2,Github_hazelcast,CBO,WMC,RFC
Run_3,Github_hazelcast,CBO,RFC,DIT
Run_4,Github_hazelcast,CBO,RFC,WMC
Run_5,Github_hazelcast,CBO,RFC,WMC
Run_6,Github_hazelcast,CBO,RFC,WMC
Run_7,Github_hazelcast,CBO,RFC,WMC
Run_8,Github_hazelcast,CBO,RFC,DIT
Run_9,Github_hazelcast,CBO,RFC,WMC
Run_10,Github_hazelcast,CBO,RFC,LOC
Run_11,Github_hazelcast,CBO,WMC,RFC
Run_12,Github_hazelcast,CBO,RFC,WMC
Run_13,Github_hazelcast,RFC,CBO,WMC
Run_14,Github_hazelcast,CBO,RFC,WMC
Run_15,Github_hazelcast,WMC,CBO,RFC
Run_16,Github_hazelcast,CBO,RFC,DIT
Run_17,Github_hazelcast,CBO,RFC,WMC
Run_18,Github_hazelcast,CBO,RFC,WMC
Run_19,Github_hazelcast,CBO,RFC,WMC
Run_20,Github_hazelcast,CBO,RFC,WMC
Run_21,Github_hazelcast,RFC,CBO,WMC
Run_22,Github_hazelcast,CBO,RFC,WMC
Run_23,Github_hazelcast,CBO,RFC,WMC
Run_24,Github_hazelcast,CBO,RFC,WMC
Run_25,Github_hazelcast,CBO,WMC,RFC
Run_26,Github_hazelcast,CBO,DIT,RFC
Run_27,Github_hazelcast,CBO,RFC,WMC
Run_28,Github_hazelcast,CBO,RFC,WMC
Run_29,Github_hazelcast,CBO,RFC,WMC
Run_30,Github_hazelcast,CBO,RFC,WMC
