Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_mapdb,LCOM5,WMC,NPM
Run_2,Github_mapdb,WMC,CBO,NPM
Run_3,Github_mapdb,WMC,RFC,NPM
Run_4,Github_mapdb,LCOM5,DIT,NPM
Run_5,Github_mapdb,WMC,RFC,NPM
Run_6,Github_mapdb,WMC,CBO,NPM
Run_7,Github_mapdb,CC,WMC,NPM
Run_8,Github_mapdb,WMC,RFC,NPM
Run_9,Github_mapdb,WMC,RFC,NPM
Run_10,Github_mapdb,WMC,RFC,NPM
Run_11,Github_mapdb,WMC,DIT,NPM
Run_12,Github_mapdb,CC,RFC,NPM
Run_13,Github_mapdb,CC,WMC,NPM
Run_14,Github_mapdb,CBO,NOC,NPM
Run_15,Github_mapdb,CC,DIT,NPM
Run_16,Github_mapdb,CC,WMC,NPM
Run_17,Github_mapdb,WMC,RFC,NPM
Run_18,Github_mapdb,WMC,RFC,NPM
Run_19,Github_mapdb,WMC,CBO,LOC
Run_20,Github_mapdb,CBO,RFC,NPM
Run_21,Github_mapdb,WMC,CBO,NPM
Run_22,Github_mapdb,WMC,RFC,NPM
Run_23,Github_mapdb,WMC,CBO,NPM
Run_24,Github_mapdb,WMC,RFC,NPM
Run_25,Github_mapdb,CC,WMC,NPM
Run_26,Github_mapdb,CC,RFC,NPM
Run_27,Github_mapdb,CC,WMC,NPM
Run_28,Github_mapdb,CC,WMC,NPM
Run_29,Github_mapdb,WMC,RFC,NPM
Run_30,Github_mapdb,WMC,RFC,NPM
