Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_mapdb,DIT,NOC,RFC
Run_2,Github_mapdb,DIT,NOC,NPM
Run_3,Github_mapdb,DIT,RFC,LOC
Run_4,Github_mapdb,DIT,NOC,NPM
Run_5,Github_mapdb,DIT,CBO,RFC
Run_6,Github_mapdb,DIT,NPM,CBO
Run_7,Github_mapdb,DIT,NOC,NPM
Run_8,Github_mapdb,DIT,NOC,RFC
Run_9,Github_mapdb,DIT,NOC,NPM
Run_10,Github_mapdb,DIT,RFC,CBO
Run_11,Github_mapdb,DIT,NOC,RFC
Run_12,Github_mapdb,DIT,NPM,RFC
Run_13,Github_mapdb,DIT,CBO,NOC
Run_14,Github_mapdb,DIT,RFC,CBO
Run_15,Github_mapdb,DIT,NPM,NOC
Run_16,Github_mapdb,DIT,RFC,CBO
Run_17,Github_mapdb,DIT,RFC,NPM
Run_18,Github_mapdb,DIT,RFC,NPM
Run_19,Github_mapdb,DIT,NPM,RFC
Run_20,Github_mapdb,DIT,NPM,NOC
Run_21,Github_mapdb,DIT,NPM,RFC
Run_22,Github_mapdb,DIT,WMC,NPM
Run_23,Github_mapdb,DIT,NPM,RFC
Run_24,Github_mapdb,DIT,NOC,NPM
Run_25,Github_mapdb,DIT,RFC,NPM
Run_26,Github_mapdb,DIT,RFC,CBO
Run_27,Github_mapdb,DIT,RFC,NOC
Run_28,Github_mapdb,DIT,NOC,NPM
Run_29,Github_mapdb,DIT,NPM,RFC
Run_30,Github_mapdb,DIT,NOC,RFC
