Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_mcMMO,CBO,RFC,LOC
Run_2,Github_mcMMO,CBO,RFC,LOC
Run_3,Github_mcMMO,CBO,RFC,LOC
Run_4,Github_mcMMO,WMC,CBO,LOC
Run_5,Github_mcMMO,WMC,CBO,RFC
Run_6,Github_mcMMO,WMC,CBO,LOC
Run_7,Github_mcMMO,CBO,RFC,LOC
Run_8,Github_mcMMO,CBO,RFC,LOC
Run_9,Github_mcMMO,CBO,RFC,LOC
Run_10,Github_mcMMO,WMC,CBO,RFC
Run_11,Github_mcMMO,LCOM5,WMC,LOC
Run_12,Github_mcMMO,WMC,CBO,LOC
Run_13,Github_mcMMO,WMC,RFC,LOC
Run_14,Github_mcMMO,CBO,RFC,LOC
Run_15,Github_mcMMO,CBO,RFC,LOC
Run_16,Github_mcMMO,WMC,CBO,RFC
Run_17,Github_mcMMO,CBO,RFC,LOC
Run_18,Github_mcMMO,WMC,RFC,LOC
Run_19,Github_mcMMO,CBO,RFC,LOC
Run_20,Github_mcMMO,LCOM5,WMC,LOC
Run_21,Github_mcMMO,WMC,RFC,LOC
Run_22,Github_mcMMO,WMC,RFC,LOC
Run_23,Github_mcMMO,WMC,CBO,RFC
Run_24,Github_mcMMO,WMC,RFC,LOC
Run_25,Github_mcMMO,RFC,LOC,NPM
Run_26,Github_mcMMO,CBO,RFC,LOC
Run_27,Github_mcMMO,CBO,RFC,LOC
Run_28,Github_mcMMO,CBO,RFC,LOC
Run_29,Github_mcMMO,CBO,RFC,LOC
Run_30,Github_mcMMO,CBO,RFC,LOC
