Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_mct17,CC,LCOM5,WMC
Run_2,Github_mct17,LCOM5,CBO,RFC
Run_3,Github_mct17,CC,LCOM5,WMC
Run_4,Github_mct17,LCOM5,WMC,CBO
Run_5,Github_mct17,CC,LCOM5,WMC
Run_6,Github_mct17,CC,LCOM5,WMC
Run_7,Github_mct17,LCOM5,WMC,CBO
Run_8,Github_mct17,CC,LCOM5,WMC
Run_9,Github_mct17,CC,LCOM5,WMC
Run_10,Github_mct17,LCOM5,WMC,CBO
Run_11,Github_mct17,CC,LCOM5,WMC
Run_12,Github_mct17,LCOM5,WMC,CBO
Run_13,Github_mct17,LCOM5,WMC,CBO
Run_14,Github_mct17,CC,LCOM5,WMC
Run_15,Github_mct17,CC,LCOM5,WMC
Run_16,Github_mct17,CC,LCOM5,WMC
Run_17,Github_mct17,CC,LCOM5,WMC
Run_18,Github_mct17,LCOM5,WMC,CBO
Run_19,Github_mct17,CC,LCOM5,WMC
Run_20,Github_mct17,CC,LCOM5,WMC
Run_21,Github_mct17,CC,LCOM5,WMC
Run_22,Github_mct17,CC,LCOM5,WMC
Run_23,Github_mct17,LCOM5,WMC,CBO
Run_24,Github_mct17,CC,LCOM5,WMC
Run_25,Github_mct17,CC,LCOM5,WMC
Run_26,Github_mct17,CC,LCOM5,WMC
Run_27,Github_mct17,CC,LCOM5,WMC
Run_28,Github_mct17,CC,LCOM5,WMC
Run_29,Github_mct17,CC,LCOM5,WMC
Run_30,Github_mct17,LCOM5,WMC,CBO
