Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_mct17,LCOM5,WMC,LOC
Run_2,Github_mct17,LCOM5,NOC,LOC
Run_3,Github_mct17,CC,LCOM5,LOC
Run_4,Github_mct17,LCOM5,WMC,LOC
Run_5,Github_mct17,LCOM5,WMC,LOC
Run_6,Github_mct17,LCOM5,WMC,LOC
Run_7,Github_mct17,LCOM5,WMC,LOC
Run_8,Github_mct17,LCOM5,WMC,LOC
Run_9,Github_mct17,LCOM5,WMC,CBO
Run_10,Github_mct17,NOC,LOC,NPM
Run_11,Github_mct17,WMC,DIT,LOC
Run_12,Github_mct17,LCOM5,WMC,RFC
Run_13,Github_mct17,CBO,RFC,LOC
Run_14,Github_mct17,DIT,LOC,NPM
Run_15,Github_mct17,DIT,NOC,LOC
Run_16,Github_mct17,RFC,DIT,LOC
Run_17,Github_mct17,LCOM5,WMC,LOC
Run_18,Github_mct17,LCOM5,WMC,LOC
Run_19,Github_mct17,LCOM5,LOC,NPM
Run_20,Github_mct17,LCOM5,WMC,LOC
Run_21,Github_mct17,LCOM5,RFC,LOC
Run_22,Github_mct17,LCOM5,NOC,LOC
Run_23,Github_mct17,WMC,DIT,LOC
Run_24,Github_mct17,LCOM5,WMC,LOC
Run_25,Github_mct17,LCOM5,NOC,LOC
Run_26,Github_mct17,LCOM5,WMC,RFC
Run_27,Github_mct17,LCOM5,RFC,LOC
Run_28,Github_mct17,CC,LOC,NPM
Run_29,Github_mct17,LCOM5,WMC,LOC
Run_30,Github_mct17,LCOM5,WMC,RFC
