Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_mct17,RFC,CBO,WMC
Run_2,Github_mct17,RFC,DIT,CBO
Run_3,Github_mct17,RFC,LOC,CBO
Run_4,Github_mct17,RFC,LOC,CBO
Run_5,Github_mct17,LOC,WMC,RFC
Run_6,Github_mct17,LOC,WMC,RFC
Run_7,Github_mct17,RFC,LOC,CBO
Run_8,Github_mct17,WMC,LOC,RFC
Run_9,Github_mct17,LOC,RFC,CBO
Run_10,Github_mct17,RFC,CBO,DIT
Run_11,Github_mct17,RFC,CBO,WMC
Run_12,Github_mct17,RFC,LOC,CBO
Run_13,Github_mct17,RFC,CBO,LOC
Run_14,Github_mct17,RFC,LOC,CBO
Run_15,Github_mct17,RFC,LOC,CBO
Run_16,Github_mct17,RFC,LOC,CBO
Run_17,Github_mct17,RFC,CBO,WMC
Run_18,Github_mct17,RFC,LOC,CBO
Run_19,Github_mct17,RFC,DIT,LOC
Run_20,Github_mct17,LOC,WMC,RFC
Run_21,Github_mct17,LOC,WMC,RFC
Run_22,Github_mct17,LOC,WMC,RFC
Run_23,Github_mct17,RFC,LOC,CBO
Run_24,Github_mct17,RFC,CBO,WMC
Run_25,Github_mct17,RFC,LOC,CBO
Run_26,Github_mct17,RFC,CBO,WMC
Run_27,Github_mct17,WMC,LOC,RFC
Run_28,Github_mct17,RFC,CBO,LOC
Run_29,Github_mct17,LOC,RFC,WMC
Run_30,Github_mct17,RFC,CBO,WMC
