Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_orientdb,WMC,DIT,NPM
Run_2,Github_orientdb,CBO,LOC,NPM
Run_3,Github_orientdb,CBO,LOC,NPM
Run_4,Github_orientdb,WMC,LOC,NPM
Run_5,Github_orientdb,WMC,LOC,NPM
Run_6,Github_orientdb,CC,LOC,NPM
Run_7,Github_orientdb,WMC,CBO,NPM
Run_8,Github_orientdb,CBO,RFC,NPM
Run_9,Github_orientdb,CC,WMC,NPM
Run_10,Github_orientdb,DIT,LOC,NPM
Run_11,Github_orientdb,CBO,LOC,NPM
Run_12,Github_orientdb,WMC,CBO,NPM
Run_13,Github_orientdb,CC,LOC,NPM
Run_14,Github_orientdb,WMC,DIT,NPM
Run_15,Github_orientdb,WMC,RFC,NPM
Run_16,Github_orientdb,CBO,DIT,NPM
Run_17,Github_orientdb,CBO,LOC,NPM
Run_18,Github_orientdb,CBO,LOC,NPM
Run_19,Github_orientdb,RFC,LOC,NPM
Run_20,Github_orientdb,CBO,LOC,NPM
Run_21,Github_orientdb,CBO,LOC,NPM
Run_22,Github_orientdb,CBO,LOC,NPM
Run_23,Github_orientdb,CBO,LOC,NPM
Run_24,Github_orientdb,RFC,LOC,NPM
Run_25,Github_orientdb,CBO,LOC,NPM
Run_26,Github_orientdb,LCOM5,WMC,NPM
Run_27,Github_orientdb,CBO,DIT,NPM
Run_28,Github_orientdb,CBO,RFC,NPM
Run_29,Github_orientdb,LCOM5,CBO,NPM
Run_30,Github_orientdb,RFC,LOC,NPM
