Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_oryx,CC,WMC,CBO
Run_2,Github_oryx,CC,LCOM5,CBO
Run_3,Github_oryx,CC,WMC,CBO
Run_4,Github_oryx,CC,LCOM5,WMC
Run_5,Github_oryx,CC,LCOM5,WMC
Run_6,Github_oryx,CC,CBO,RFC
Run_7,Github_oryx,LCOM5,WMC,CBO
Run_8,Github_oryx,CC,LCOM5,WMC
Run_9,Github_oryx,CC,WMC,CBO
Run_10,Github_oryx,CC,LCOM5,WMC
Run_11,Github_oryx,LCOM5,WMC,CBO
Run_12,Github_oryx,CC,LCOM5,WMC
Run_13,Github_oryx,CC,LCOM5,WMC
Run_14,Github_oryx,CC,WMC,CBO
Run_15,Github_oryx,CC,LCOM5,WMC
Run_16,Github_oryx,CC,LCOM5,WMC
Run_17,Github_oryx,CC,LCOM5,CBO
Run_18,Github_oryx,CC,LCOM5,WMC
Run_19,Github_oryx,CC,WMC,CBO
Run_20,Github_oryx,CC,LCOM5,WMC
Run_21,Github_oryx,CC,LCOM5,WMC
Run_22,Github_oryx,CC,LCOM5,WMC
Run_23,Github_oryx,CC,LCOM5,WMC
Run_24,Github_oryx,CC,LCOM5,WMC
Run_25,Github_oryx,CC,LCOM5,WMC
Run_26,Github_oryx,CC,LCOM5,WMC
Run_27,Github_oryx,CC,LCOM5,WMC
Run_28,Github_oryx,CC,LCOM5,WMC
Run_29,Github_oryx,CC,LCOM5,WMC
Run_30,Github_oryx,CC,LCOM5,WMC
